alloc,x,iteration,allocs,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
Kernel,1,0,314572,78,78,78,70,70,70,0,0
Kernel,1,1,314572,74,74,74,68,68,68,0,0
Kernel,1,2,314572,74,74,74,67,67,67,0,0
Kernel,1,3,314572,72,72,72,67,67,67,0,0
Kernel,2,0,314572,75,75,75,70,70,71,0,0
Kernel,2,1,314572,74,74,74,72,72,72,0,0
Kernel,2,2,314572,74,74,74,71,71,71,0,0
Kernel,2,3,314572,75,76,77,70,70,70,0,0
Kernel,4,0,314572,97,97,97,119,119,120,0,0
Kernel,4,1,314572,98,98,99,121,121,122,0,0
Kernel,4,2,314572,97,97,98,118,118,118,0,0
Kernel,4,3,314572,98,98,100,119,119,120,0,0
Kernel,6,0,314572,148,148,150,181,181,183,0,0
Kernel,6,1,314572,147,147,148,184,185,186,0,0
Kernel,6,2,314572,150,151,152,184,185,186,0,0
Kernel,6,3,314572,154,156,161,184,184,185,0,0
Kernel,8,0,314572,235,238,243,314,315,317,0,0
Kernel,8,1,314572,234,240,247,295,296,298,0,0
Kernel,8,2,314572,232,237,243,303,304,306,0,0
Kernel,8,3,314572,233,239,245,303,305,307,0,0
Kernel,10,0,314572,320,320,322,394,395,397,0,0
Kernel,10,1,314572,327,331,334,418,420,422,0,0
Kernel,10,2,314572,324,330,334,389,392,394,0,0
Kernel,10,3,314572,322,334,338,416,418,421,0,0
