alloc,x,iteration,allocs,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
Kernel,1,0,314572,147,147,147,147,147,147,0,0
Kernel,1,1,314572,113,113,113,113,113,113,0,0
Kernel,1,2,314572,113,113,113,113,113,113,0,0
Kernel,1,3,314572,112,112,112,112,112,112,0,0
Kernel,2,0,314572,114,129,144,114,129,144,0,0
Kernel,2,1,314572,112,130,148,112,130,148,0,0
Kernel,2,2,314572,113,128,143,113,128,143,0,0
Kernel,2,3,314572,110,128,146,110,128,146,0,0
Kernel,4,0,314572,114,133,152,114,133,152,0,0
Kernel,4,1,314572,110,116,123,110,116,123,0,0
Kernel,4,2,314572,113,116,121,113,116,121,0,0
Kernel,4,3,314572,108,114,120,108,114,120,0,0
Kernel,8,0,314572,114,125,155,114,125,155,0,0
Kernel,8,1,314572,115,119,123,115,119,123,0,0
Kernel,8,2,314572,116,117,119,116,117,119,0,0
Kernel,8,3,314572,116,117,119,116,117,119,0,0
Kernel,16,0,314572,120,130,160,120,130,160,0,0
Kernel,16,1,314572,119,127,132,119,127,132,0,0
Kernel,16,2,314572,120,127,140,120,127,140,0,0
Kernel,16,3,314572,118,124,134,118,124,134,0,0
Kernel,24,0,314572,122,129,159,122,129,159,0,0
Kernel,24,1,314572,127,144,159,127,144,159,0,0
Kernel,24,2,314572,123,131,137,123,131,137,0,0
Kernel,24,3,314572,123,126,132,123,126,132,0,0
Kernel,32,0,314572,130,143,160,130,143,160,0,0
Kernel,32,1,314572,129,130,134,129,130,134,0,0
Kernel,32,2,314572,127,129,134,127,129,134,0,0
Kernel,32,3,314572,128,132,137,128,132,137,0,0
Kernel,40,0,314572,137,141,165,137,141,165,0,0
Kernel,40,1,314572,138,139,142,138,139,142,0,0
Kernel,40,2,314572,134,138,146,134,138,146,0,0
Kernel,40,3,314572,135,139,151,135,139,151,0,0
Kernel,48,0,314572,143,146,170,143,146,170,0,0
Kernel,48,1,314572,145,152,159,145,152,159,0,0
Kernel,48,2,314572,143,150,170,143,150,170,0,0
Kernel,48,3,314572,144,154,171,144,154,171,0,0
Kernel,56,0,314572,144,172,237,144,172,237,0,0
Kernel,56,1,314572,154,189,241,154,189,241,0,0
Kernel,56,2,314572,156,182,239,156,182,239,0,0
Kernel,56,3,314572,165,190,246,165,190,246,0,0
Kernel,64,0,314572,161,210,265,161,210,265,0,0
Kernel,64,1,314572,166,207,248,166,207,248,0,0
Kernel,64,2,314572,160,206,257,160,206,257,0,0
Kernel,64,3,314572,159,203,241,159,203,241,0,0
Kernel,80,0,314572,156,230,260,156,230,260,0,0
Kernel,80,1,314572,152,231,252,152,231,252,0,0
Kernel,80,2,314572,157,228,245,157,228,245,0,0
Kernel,80,3,314572,156,226,244,156,226,244,0,0
Kernel,96,0,314572,251,261,280,251,261,280,0,0
Kernel,96,1,314572,248,254,261,248,254,261,0,0
Kernel,96,2,314572,249,253,257,249,253,257,0,0
Kernel,96,3,314572,249,250,253,249,250,253,0,0
