alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedF,1,0,629145,31,31,31,29,29,29,0,19
ArrayAlignedF,1,1,629145,31,31,31,29,29,29,0,19
ArrayAlignedF,1,2,629145,27,27,27,26,26,26,0,17
ArrayAlignedF,1,3,629145,27,27,27,26,26,26,0,17
ArrayUnalignedF,1,0,629145,30,30,30,26,26,26,0,18
ArrayUnalignedF,1,1,629145,27,27,27,27,27,27,0,17
ArrayUnalignedF,1,2,629145,28,28,28,29,29,29,0,18
ArrayUnalignedF,1,3,629145,29,29,29,29,29,29,0,18
ArrayAlignedD,1,0,629145,44,44,44,25,25,25,0,21
ArrayAlignedD,1,1,629145,42,42,42,24,24,24,0,21
ArrayAlignedD,1,2,629145,42,42,42,24,24,24,0,21
ArrayAlignedD,1,3,629145,42,42,42,24,24,24,0,21
ArrayUnalignedD,1,0,629145,44,44,44,26,26,26,0,22
ArrayUnalignedD,1,1,629145,42,42,42,23,23,23,0,20
ArrayUnalignedD,1,2,629145,42,42,42,24,24,24,0,21
ArrayUnalignedD,1,3,629145,42,42,42,23,23,23,0,20
ArrayAlignedF,2,0,629145,29,30,31,28,28,28,0,18
ArrayAlignedF,2,1,629145,29,29,29,28,28,28,0,18
ArrayAlignedF,2,2,629145,29,29,29,29,29,29,0,18
ArrayAlignedF,2,3,629145,29,29,29,28,28,28,0,18
ArrayUnalignedF,2,0,629145,77,77,77,66,72,78,0,47
ArrayUnalignedF,2,1,629145,82,82,82,91,92,94,0,55
ArrayUnalignedF,2,2,629145,77,78,80,74,79,85,0,50
ArrayUnalignedF,2,3,629145,79,79,80,84,84,84,0,52
ArrayAlignedD,2,0,629145,43,43,43,27,27,27,0,22
ArrayAlignedD,2,1,629145,63,64,66,26,26,27,0,29
ArrayAlignedD,2,2,629145,45,45,46,24,24,25,0,22
ArrayAlignedD,2,3,629145,42,42,43,25,25,25,0,21
ArrayUnalignedD,2,0,629145,97,97,98,90,90,91,0,59
ArrayUnalignedD,2,1,629145,97,97,98,66,70,74,0,53
ArrayUnalignedD,2,2,629145,97,97,97,89,89,89,0,59
ArrayUnalignedD,2,3,629145,94,94,94,68,72,76,0,52
ArrayAlignedF,4,0,629145,30,31,32,29,30,31,0,19
ArrayAlignedF,4,1,629145,30,30,30,29,29,29,0,19
ArrayAlignedF,4,2,629145,30,30,31,30,30,31,0,19
ArrayAlignedF,4,3,629145,30,30,31,30,30,30,0,19
ArrayUnalignedF,4,0,629145,130,136,139,155,165,169,0,95
ArrayUnalignedF,4,1,629145,75,92,101,58,105,133,0,64
ArrayUnalignedF,4,2,629145,126,134,138,155,164,168,0,95
ArrayUnalignedF,4,3,629145,76,93,102,59,105,132,0,65
ArrayAlignedD,4,0,629145,47,47,48,26,26,26,1,23
ArrayAlignedD,4,1,629145,50,50,51,25,25,26,1,24
ArrayAlignedD,4,2,629145,92,97,101,24,24,25,1,39
ArrayAlignedD,4,3,629145,60,60,61,25,25,26,1,27
ArrayUnalignedD,4,0,629145,130,137,143,153,159,164,1,95
ArrayUnalignedD,4,1,629145,138,144,150,114,126,132,1,86
ArrayUnalignedD,4,2,629145,143,145,148,149,158,165,1,96
ArrayUnalignedD,4,3,629145,146,154,161,113,123,129,1,89
ArrayAlignedF,6,0,629145,30,30,32,29,29,29,1,19
ArrayAlignedF,6,1,629145,30,30,30,29,29,30,1,19
ArrayAlignedF,6,2,629145,30,30,30,29,29,30,1,19
ArrayAlignedF,6,3,629145,30,30,30,29,29,29,1,19
ArrayUnalignedF,6,0,629145,183,200,210,181,226,240,1,137
ArrayUnalignedF,6,1,629145,194,204,212,220,240,248,1,141
ArrayUnalignedF,6,2,629145,178,198,207,163,226,241,1,136
