alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedF,1,0,629145,40,40,40,29,29,29,0,21
ArrayAlignedF,1,1,629145,39,39,39,29,29,29,0,21
ArrayAlignedF,1,2,629145,30,30,30,29,29,29,0,18
ArrayAlignedF,1,3,629145,30,30,30,29,29,29,0,18
ArrayUnalignedF,1,0,629145,30,30,30,29,29,29,0,18
ArrayUnalignedF,1,1,629145,30,30,30,29,29,29,0,18
ArrayUnalignedF,1,2,629145,30,30,30,29,29,29,0,18
ArrayUnalignedF,1,3,629145,29,29,29,28,28,28,0,18
ArrayLockedF,1,0,629145,24,24,24,24,24,24,0,15
ArrayLockedF,1,1,629145,24,24,24,24,24,24,0,15
ArrayLockedF,1,2,629145,24,24,24,24,24,24,0,15
ArrayLockedF,1,3,629145,24,24,24,24,24,24,0,15
ArrayAtomicF,1,0,629145,24,24,24,25,25,25,0,15
ArrayAtomicF,1,1,629145,25,25,25,25,25,25,0,16
ArrayAtomicF,1,2,629145,25,25,25,24,24,24,0,15
ArrayAtomicF,1,3,629145,24,24,24,24,24,24,0,15
TableF,1,0,629145,23,23,23,24,24,24,0,15
TableF,1,1,629145,24,24,24,25,25,25,0,15
TableF,1,2,629145,24,24,24,24,24,24,0,15
TableF,1,3,629145,23,23,23,24,24,24,0,15
ArrayAlignedP,1,0,629145,25,25,25,28,28,28,0,17
ArrayAlignedP,1,1,629145,26,26,26,29,29,29,0,17
ArrayAlignedP,1,2,629145,25,25,25,28,28,28,0,17
ArrayAlignedP,1,3,629145,25,25,25,28,28,28,0,17
ArrayUnalignedP,1,0,629145,25,25,25,28,28,28,0,17
ArrayUnalignedP,1,1,629145,25,25,25,28,28,28,0,17
ArrayUnalignedP,1,2,629145,25,25,25,29,29,29,0,17
ArrayUnalignedP,1,3,629145,25,25,25,28,28,28,0,17
ArrayLockedP,1,0,629145,20,20,20,24,24,24,0,14
ArrayLockedP,1,1,629145,20,20,20,25,25,25,0,14
ArrayLockedP,1,2,629145,20,20,20,25,25,25,0,14
ArrayLockedP,1,3,629145,20,20,20,25,25,25,0,14
ArrayAtomicP,1,0,629145,21,21,21,25,25,25,0,14
ArrayAtomicP,1,1,629145,20,20,20,25,25,25,0,14
ArrayAtomicP,1,2,629145,20,20,20,25,25,25,0,14
ArrayAtomicP,1,3,629145,20,20,20,25,25,25,0,14
TableP,1,0,629145,19,19,19,26,26,26,0,14
TableP,1,1,629145,20,20,20,26,26,26,0,14
TableP,1,2,629145,20,20,20,24,24,24,0,14
TableP,1,3,629145,18,18,18,24,24,24,0,13
