alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedF,1,0,629145,19,19,19,15,15,15,0,0
ArrayAlignedF,1,1,629145,19,19,19,15,15,15,0,0
ArrayAlignedF,1,2,629145,18,18,18,15,15,15,0,0
ArrayAlignedF,1,3,629145,18,18,18,15,15,15,0,0
ArrayUnalignedF,1,0,629145,18,18,18,15,15,15,0,0
ArrayUnalignedF,1,1,629145,18,18,18,15,15,15,0,0
ArrayUnalignedF,1,2,629145,18,18,18,15,15,15,0,0
ArrayUnalignedF,1,3,629145,18,18,18,15,15,15,0,0
ArrayLockedF,1,0,629145,14,14,14,12,12,12,0,0
ArrayLockedF,1,1,629145,13,13,13,12,12,12,0,0
ArrayLockedF,1,2,629145,14,14,14,12,12,12,0,0
ArrayLockedF,1,3,629145,13,13,13,11,11,11,0,0
ArrayAtomicF,1,0,629145,14,14,14,12,12,12,0,0
ArrayAtomicF,1,1,629145,14,14,14,12,12,12,0,0
ArrayAtomicF,1,2,629145,14,14,14,12,12,12,0,0
ArrayAtomicF,1,3,629145,37,37,37,12,12,12,0,0
TableF,1,0,629145,16,16,16,13,13,13,0,0
TableF,1,1,629145,15,15,15,12,12,12,0,0
TableF,1,2,629145,15,15,15,12,12,12,0,0
TableF,1,3,629145,15,15,15,12,12,12,0,0
ArrayAlignedP,1,0,629145,19,19,19,15,15,15,0,0
ArrayAlignedP,1,1,629145,18,18,18,15,15,15,0,0
ArrayAlignedP,1,2,629145,19,19,19,16,16,16,0,0
ArrayAlignedP,1,3,629145,19,19,19,15,15,15,0,0
ArrayUnalignedP,1,0,629145,19,19,19,15,15,15,0,0
ArrayUnalignedP,1,1,629145,39,39,39,36,36,36,0,0
ArrayUnalignedP,1,2,629145,20,20,20,40,40,40,0,0
ArrayUnalignedP,1,3,629145,25,25,25,38,38,38,0,0
ArrayLockedP,1,0,629145,39,39,39,13,13,13,0,0
ArrayLockedP,1,1,629145,39,39,39,12,12,12,0,0
ArrayLockedP,1,2,629145,20,20,20,13,13,13,0,0
ArrayLockedP,1,3,629145,14,14,14,13,13,13,0,0
ArrayAtomicP,1,0,629145,50,50,50,13,13,13,0,0
ArrayAtomicP,1,1,629145,14,14,14,13,13,13,0,0
ArrayAtomicP,1,2,629145,14,14,14,12,12,12,0,0
ArrayAtomicP,1,3,629145,14,14,14,12,12,12,0,0
