alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedF,0,0,629145,31,42,47,30,41,47,2,4
ArrayAlignedF,0,1,629145,30,42,46,29,39,44,2,4
ArrayAlignedF,0,2,629145,30,42,46,29,39,44,2,4
ArrayAlignedF,0,3,629145,34,45,49,30,40,44,2,5
ArrayUnalignedF,0,0,629145,153,216,248,214,291,324,2,33
ArrayUnalignedF,0,1,629145,154,222,253,207,303,335,2,34
ArrayUnalignedF,0,2,629145,153,218,254,215,291,325,2,33
ArrayUnalignedF,0,3,629145,153,221,252,204,304,333,2,34
ArrayLockedF,0,0,629145,25,31,33,57,62,66,2,5
ArrayLockedF,0,1,629145,25,30,33,53,61,67,2,5
ArrayLockedF,0,2,629145,25,30,33,64,69,75,2,6
ArrayLockedF,0,3,629145,25,31,34,37,45,48,2,4
ArrayAtomicF,0,0,629145,25,30,33,46,52,56,2,5
ArrayAtomicF,0,1,629145,25,31,33,63,70,77,2,6
ArrayAtomicF,0,2,629145,24,31,33,66,73,79,2,6
ArrayAtomicF,0,3,629145,24,30,33,52,59,64,2,5
TableF,0,0,629145,24,30,33,66,75,81,2,6
TableF,0,1,629145,24,30,32,54,58,62,2,5
TableF,0,2,629145,25,31,34,43,49,53,2,4
TableF,0,3,629145,23,30,32,51,56,59,2,5
ArrayAlignedP,0,0,629145,26,34,38,30,40,44,0,4
ArrayAlignedP,0,1,629145,26,34,37,30,39,42,0,4
ArrayAlignedP,0,2,629145,26,35,38,30,39,43,0,4
ArrayAlignedP,0,3,629145,26,34,36,29,39,42,0,4
ArrayUnalignedP,0,0,629145,91,146,168,160,213,248,0,23
ArrayUnalignedP,0,1,629145,134,205,253,168,277,324,0,35
ArrayUnalignedP,0,2,629145,95,146,175,156,214,251,0,23
ArrayUnalignedP,0,3,629145,143,187,207,184,273,308,0,29
ArrayLockedP,0,0,629145,21,30,32,37,46,50,0,4
ArrayLockedP,0,1,629145,21,29,31,26,35,37,0,3
ArrayLockedP,0,2,629145,21,29,33,40,45,48,0,4
ArrayLockedP,0,3,629145,21,28,32,26,34,37,0,9
ArrayAtomicP,0,0,629145,21,29,32,26,37,41,0,4
ArrayAtomicP,0,1,629145,21,27,31,27,32,36,0,15
ArrayAtomicP,0,2,629145,21,27,31,26,32,35,0,7
ArrayAtomicP,0,3,629145,21,29,31,28,33,36,0,22
TableP,0,0,629145,20,27,31,33,42,46,0,11
TableP,0,1,629145,20,27,30,27,35,37,0,5
TableP,0,2,629145,20,28,30,27,35,38,0,3
TableP,0,3,629145,21,29,32,30,39,41,0,4
ListLocal,0,0,629145,82,86,93,12,48,62,54,24
ListLocal,0,1,629145,87,89,95,45,61,66,53,9
ListLocal,0,2,629145,85,86,91,43,59,63,53,8
ListLocal,0,3,629145,79,80,85,39,55,60,52,8
ListLocked,0,0,629145,1634,1635,1636,788,789,790,51,152
ListLocked,0,1,629145,1627,1627,1628,788,789,791,51,152
ListLocked,0,2,629145,1623,1623,1624,789,789,789,51,152
ListLocked,0,3,629145,1630,1633,1634,788,790,791,51,152
ArrayAlignedF,10,0,629145,31,43,48,30,40,44,2,4
ArrayAlignedF,10,1,629145,30,41,46,29,40,43,2,4
ArrayAlignedF,10,2,629145,34,48,55,33,44,48,2,5
ArrayAlignedF,10,3,629145,30,41,46,29,41,44,2,4
ArrayUnalignedF,10,0,629145,113,170,197,158,217,246,2,25
ArrayUnalignedF,10,1,629145,155,221,251,205,304,334,2,34
ArrayUnalignedF,10,2,629145,109,169,196,155,216,245,2,25
ArrayUnalignedF,10,3,629145,155,220,252,207,303,334,2,34
ArrayLockedF,10,0,629145,25,31,33,52,57,62,2,5
ArrayLockedF,10,1,629145,25,31,34,34,41,44,2,4
ArrayLockedF,10,2,629145,25,30,33,50,54,57,2,5
ArrayLockedF,10,3,629145,25,30,32,37,45,48,2,4
ArrayAtomicF,10,0,629145,24,30,33,44,51,56,2,4
ArrayAtomicF,10,1,629145,25,30,33,41,51,56,2,4
ArrayAtomicF,10,2,629145,25,31,34,25,34,37,2,3
ArrayAtomicF,10,3,629145,25,30,33,48,53,57,2,5
TableF,10,0,629145,24,30,33,54,59,63,2,5
TableF,10,1,629145,24,30,33,26,34,38,2,3
TableF,10,2,629145,24,30,32,43,49,53,2,4
TableF,10,3,629145,26,31,34,33,37,41,2,4
ArrayAlignedP,10,0,629145,27,35,37,31,40,44,0,4
ArrayAlignedP,10,1,629145,26,34,36,29,39,42,0,4
ArrayAlignedP,10,2,629145,26,34,38,29,40,45,0,4
ArrayAlignedP,10,3,629145,27,34,37,29,40,43,0,4
ArrayUnalignedP,10,0,629145,139,157,176,173,232,277,0,25
ArrayUnalignedP,10,1,629145,146,187,212,184,282,322,0,30
ArrayUnalignedP,10,2,629145,89,141,161,160,207,241,0,22
ArrayUnalignedP,10,3,629145,145,187,212,183,281,320,0,30
ArrayLockedP,10,0,629145,21,29,32,27,35,37,0,3
ArrayLockedP,10,1,629145,21,29,32,26,34,37,0,3
ArrayLockedP,10,2,629145,21,29,31,26,34,38,0,3
ArrayLockedP,10,3,629145,21,29,32,26,34,37,0,3
ArrayAtomicP,10,0,629145,21,29,31,39,45,48,0,4
ArrayAtomicP,10,1,629145,21,29,32,41,46,49,0,4
ArrayAtomicP,10,2,629145,21,29,32,38,43,46,0,4
ArrayAtomicP,10,3,629145,21,29,32,37,42,45,0,4
TableP,10,0,629145,20,28,32,37,44,48,0,4
TableP,10,1,629145,20,28,31,25,35,39,0,3
TableP,10,2,629145,20,30,33,26,34,37,0,3
TableP,10,3,629145,20,28,31,26,34,38,0,3
ListLocal,10,0,629145,79,80,85,42,55,58,52,8
ListLocal,10,1,629145,81,82,88,42,57,62,51,8
ListLocal,10,2,629145,78,79,84,41,54,58,51,8
ListLocal,10,3,629145,78,79,86,36,54,58,51,8
ListLocked,10,0,629145,1636,1636,1637,795,796,797,51,153
ListLocked,10,1,629145,1621,1622,1623,782,785,786,51,151
ListLocked,10,2,629145,1611,1612,1613,788,790,791,51,151
ListLocked,10,3,629145,1637,1637,1638,788,791,792,51,152
ArrayAlignedF,20,0,629145,30,42,46,34,45,50,2,5
ArrayAlignedF,20,1,629145,30,41,48,31,40,45,2,5
ArrayAlignedF,20,2,629145,30,41,44,29,38,42,2,4
ArrayAlignedF,20,3,629145,30,41,45,29,40,44,2,4
ArrayUnalignedF,20,0,629145,180,206,225,206,263,291,2,30
ArrayUnalignedF,20,1,629145,155,222,253,207,304,335,2,34
ArrayUnalignedF,20,2,629145,180,206,227,199,263,293,2,30
ArrayUnalignedF,20,3,629145,160,224,254,204,307,337,2,35
ArrayLockedF,20,0,629145,25,30,33,25,33,36,2,3
ArrayLockedF,20,1,629145,25,30,33,36,45,49,2,4
ArrayLockedF,20,2,629145,25,30,33,25,32,35,2,3
ArrayLockedF,20,3,629145,25,30,32,56,61,66,2,5
ArrayAtomicF,20,0,629145,25,31,33,24,32,35,2,3
ArrayAtomicF,20,1,629145,24,30,33,47,53,57,2,5
ArrayAtomicF,20,2,629145,25,30,33,24,31,34,2,3
ArrayAtomicF,20,3,629145,25,30,33,57,60,64,2,5
TableF,20,0,629145,23,30,33,25,33,36,2,3
