alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedF,1,0,629145,136,136,136,136,136,136,0,42
ArrayAlignedF,1,1,629145,133,133,133,133,133,133,0,41
ArrayAlignedF,1,2,629145,138,138,138,138,138,138,0,43
ArrayAlignedF,1,3,629145,141,141,141,141,141,141,0,44
ArrayUnalignedF,1,0,629145,138,138,138,138,138,138,0,43
ArrayUnalignedF,1,1,629145,138,138,138,138,138,138,0,43
ArrayUnalignedF,1,2,629145,138,138,138,138,138,138,0,43
ArrayUnalignedF,1,3,629145,137,137,137,137,137,137,0,43
ArrayLockedF,1,0,629145,281,281,281,281,281,281,0,88
ArrayLockedF,1,1,629145,281,281,281,281,281,281,0,88
ArrayLockedF,1,2,629145,283,283,283,283,283,283,0,88
ArrayLockedF,1,3,629145,279,279,279,279,279,279,0,87
ArrayAtomicF,1,0,629145,283,283,283,283,283,283,0,88
ArrayAtomicF,1,1,629145,279,279,279,279,279,279,0,87
ArrayAtomicF,1,2,629145,279,279,279,279,279,279,0,87
ArrayAtomicF,1,3,629145,280,280,280,280,280,280,0,87
TableF,1,0,629145,283,283,283,283,283,283,0,88
TableF,1,1,629145,285,285,285,285,285,285,0,89
TableF,1,2,629145,285,285,285,285,285,285,0,89
TableF,1,3,629145,351,351,351,351,351,351,0,110
ArrayAlignedP,1,0,629145,75,75,75,75,75,75,0,23
ArrayAlignedP,1,1,629145,72,72,72,72,72,72,0,22
ArrayAlignedP,1,2,629145,72,72,72,72,72,72,0,22
ArrayAlignedP,1,3,629145,72,72,72,72,72,72,0,22
ArrayUnalignedP,1,0,629145,71,71,71,71,71,71,0,22
ArrayUnalignedP,1,1,629145,71,71,71,71,71,71,0,22
ArrayUnalignedP,1,2,629145,71,71,71,71,71,71,0,22
ArrayUnalignedP,1,3,629145,73,73,73,73,73,73,0,22
ArrayLockedP,1,0,629145,70,70,70,70,70,70,0,22
ArrayLockedP,1,1,629145,71,71,71,71,71,71,0,22
ArrayLockedP,1,2,629145,70,70,70,70,70,70,0,22
ArrayLockedP,1,3,629145,70,70,70,70,70,70,0,22
ArrayAtomicP,1,0,629145,71,71,71,71,71,71,0,22
ArrayAtomicP,1,1,629145,71,71,71,71,71,71,0,22
ArrayAtomicP,1,2,629145,71,71,71,71,71,71,0,22
ArrayAtomicP,1,3,629145,71,71,71,71,71,71,0,22
TableP,1,0,629145,72,72,72,72,72,72,0,22
TableP,1,1,629145,71,71,71,71,71,71,0,22
TableP,1,2,629145,72,72,72,72,72,72,0,22
TableP,1,3,629145,71,71,71,71,71,71,0,22
ListLocal,1,0,629145,32,32,32,32,32,32,5,10
ListLocal,1,1,629145,31,31,31,31,31,31,5,9
ListLocal,1,2,629145,28,28,28,28,28,28,5,9
ListLocal,1,3,629145,28,28,28,28,28,28,5,8
ListLocked,1,0,629145,52,52,52,52,52,52,5,16
ListLocked,1,1,629145,51,51,51,51,51,51,5,16
ListLocked,1,2,629145,52,52,52,52,52,52,5,16
ListLocked,1,3,629145,60,60,60,60,60,60,5,18
ArrayAlignedF,2,0,629145,151,155,159,151,155,159,0,48
ArrayAlignedF,2,1,629145,100,103,106,100,103,106,0,32
ArrayAlignedF,2,2,629145,122,123,124,122,123,124,0,38
ArrayAlignedF,2,3,629145,103,107,112,103,107,112,0,33
ArrayUnalignedF,2,0,629145,167,168,170,167,168,170,0,52
ArrayUnalignedF,2,1,629145,187,194,201,187,194,201,0,60
ArrayUnalignedF,2,2,629145,168,168,169,168,168,169,0,52
ArrayUnalignedF,2,3,629145,172,179,187,172,179,187,0,56
ArrayLockedF,2,0,629145,329,343,358,329,343,358,0,107
ArrayLockedF,2,1,629145,305,321,338,305,321,338,0,100
ArrayLockedF,2,2,629145,305,333,362,305,333,362,0,104
ArrayLockedF,2,3,629145,310,340,371,310,340,371,0,106
ArrayAtomicF,2,0,629145,312,332,352,312,332,352,0,104
ArrayAtomicF,2,1,629145,314,343,373,314,343,373,0,107
ArrayAtomicF,2,2,629145,307,341,375,307,341,375,0,106
ArrayAtomicF,2,3,629145,305,338,371,305,338,371,0,105
TableF,2,0,629145,318,349,380,318,349,380,0,109
TableF,2,1,629145,303,336,370,303,336,370,0,105
TableF,2,2,629145,298,330,363,298,330,363,0,103
TableF,2,3,629145,301,333,366,301,333,366,0,104
ArrayAlignedP,2,0,629145,68,69,71,68,69,71,0,21
ArrayAlignedP,2,1,629145,66,67,69,66,67,69,0,21
ArrayAlignedP,2,2,629145,67,68,69,67,68,69,0,21
ArrayAlignedP,2,3,629145,67,68,69,67,68,69,0,21
ArrayUnalignedP,2,0,629145,179,180,182,179,180,182,0,56
ArrayUnalignedP,2,1,629145,204,204,204,204,204,204,0,64
ArrayUnalignedP,2,2,629145,204,207,211,204,207,211,0,65
ArrayUnalignedP,2,3,629145,207,210,213,207,210,213,0,66
ArrayLockedP,2,0,629145,123,123,123,123,123,123,0,38
ArrayLockedP,2,1,629145,152,155,158,152,155,158,0,48
ArrayLockedP,2,2,629145,114,117,121,114,117,121,0,36
ArrayLockedP,2,3,629145,114,118,123,114,118,123,0,37
ArrayAtomicP,2,0,629145,118,121,124,118,121,124,0,38
ArrayAtomicP,2,1,629145,102,107,113,102,107,113,0,33
ArrayAtomicP,2,2,629145,110,112,115,110,112,115,0,35
ArrayAtomicP,2,3,629145,101,101,102,101,101,102,0,31
TableP,2,0,629145,92,94,96,92,94,96,0,29
TableP,2,1,629145,94,94,95,94,94,95,0,29
TableP,2,2,629145,93,95,97,93,95,97,0,29
TableP,2,3,629145,95,96,98,95,96,98,0,30
ListLocal,2,0,629145,40,40,41,40,40,41,10,12
ListLocal,2,1,629145,40,41,42,40,41,42,10,12
ListLocal,2,2,629145,39,40,41,39,40,41,10,12
ListLocal,2,3,629145,40,40,41,40,40,41,10,12
ListLocked,2,0,629145,368,368,368,368,368,368,10,115
ListLocked,2,1,629145,368,368,368,368,368,368,10,115
ListLocked,2,2,629145,365,365,366,365,365,366,10,115
ListLocked,2,3,629145,365,365,365,365,365,365,10,114
ArrayAlignedF,4,0,629145,159,166,184,159,166,184,0,52
ArrayAlignedF,4,1,629145,153,160,179,153,160,179,0,50
ArrayAlignedF,4,2,629145,151,158,176,151,158,176,0,49
ArrayAlignedF,4,3,629145,153,160,178,153,160,178,0,49
ArrayUnalignedF,4,0,629145,269,301,317,269,301,317,0,94
ArrayUnalignedF,4,1,629145,310,328,338,310,328,338,0,102
ArrayUnalignedF,4,2,629145,282,304,315,282,304,315,0,95
ArrayUnalignedF,4,3,629145,305,313,322,305,313,322,0,98
ArrayLockedF,4,0,629145,344,379,474,344,379,474,0,118
ArrayLockedF,4,1,629145,379,417,505,379,417,505,0,130
ArrayLockedF,4,2,629145,347,381,479,347,381,479,0,119
ArrayLockedF,4,3,629145,353,388,487,353,388,487,0,121
ArrayAtomicF,4,0,629145,348,383,483,348,383,483,0,120
ArrayAtomicF,4,1,629145,346,379,474,346,379,474,0,118
ArrayAtomicF,4,2,629145,346,382,481,346,382,481,0,119
ArrayAtomicF,4,3,629145,349,382,480,349,382,480,0,119
TableF,4,0,629145,354,386,478,354,386,478,0,121
TableF,4,1,629145,350,389,484,350,389,484,0,122
TableF,4,2,629145,362,392,483,362,392,483,0,122
TableF,4,3,629145,357,392,483,357,392,483,0,122
ArrayAlignedP,4,0,629145,78,78,79,78,78,79,0,24
ArrayAlignedP,4,1,629145,73,75,80,73,75,80,0,23
ArrayAlignedP,4,2,629145,74,76,79,74,76,79,0,23
ArrayAlignedP,4,3,629145,75,77,83,75,77,83,0,24
ArrayUnalignedP,4,0,629145,219,227,236,219,227,236,0,71
ArrayUnalignedP,4,1,629145,287,300,306,287,300,306,0,94
ArrayUnalignedP,4,2,629145,228,236,246,228,236,246,0,73
ArrayUnalignedP,4,3,629145,304,312,315,304,312,315,0,97
ArrayLockedP,4,0,629145,105,108,113,105,108,113,0,33
ArrayLockedP,4,1,629145,110,113,119,110,113,119,0,35
ArrayLockedP,4,2,629145,113,116,122,113,116,122,0,36
ArrayLockedP,4,3,629145,109,112,120,109,112,120,0,35
ArrayAtomicP,4,0,629145,109,111,117,109,111,117,0,34
ArrayAtomicP,4,1,629145,110,112,118,110,112,118,0,35
ArrayAtomicP,4,2,629145,107,109,115,107,109,115,0,34
ArrayAtomicP,4,3,629145,112,115,122,112,115,122,0,36
TableP,4,0,629145,111,113,119,111,113,119,0,35
TableP,4,1,629145,110,111,115,110,111,115,0,34
TableP,4,2,629145,110,113,119,110,113,119,0,35
TableP,4,3,629145,111,114,120,111,114,120,0,35
ListLocal,4,0,629145,82,82,84,82,82,84,20,25
ListLocal,4,1,629145,79,80,82,79,80,82,20,25
ListLocal,4,2,629145,79,79,81,79,79,81,20,24
ListLocal,4,3,629145,80,81,83,80,81,83,20,25
ListLocked,4,0,629145,1045,1047,1050,1045,1047,1050,20,329
ListLocked,4,1,629145,912,913,914,912,913,914,21,287
ListLocked,4,2,629145,913,913,914,913,913,914,20,287
ListLocked,4,3,629145,911,911,912,911,911,912,20,286
ArrayAlignedF,6,0,629145,178,188,226,178,188,226,1,58
