alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedF,1,0,629145,45,45,45,45,45,45,0,0
ArrayAlignedF,1,1,629145,65,65,65,65,65,65,0,0
ArrayAlignedF,1,2,629145,44,44,44,44,44,44,0,0
ArrayAlignedF,1,3,629145,48,48,48,48,48,48,0,0
ArrayUnalignedF,1,0,629145,43,43,43,43,43,43,0,0
ArrayUnalignedF,1,1,629145,42,42,42,42,42,42,0,0
ArrayUnalignedF,1,2,629145,41,41,41,41,41,41,0,0
ArrayUnalignedF,1,3,629145,43,43,43,43,43,43,0,0
ArrayLockedF,1,0,629145,93,93,93,93,93,93,0,0
ArrayLockedF,1,1,629145,93,93,93,93,93,93,0,0
ArrayLockedF,1,2,629145,93,93,93,93,93,93,0,0
ArrayLockedF,1,3,629145,91,91,91,91,91,91,0,0
ArrayAtomicF,1,0,629145,94,94,94,94,94,94,0,0
ArrayAtomicF,1,1,629145,93,93,93,93,93,93,0,0
ArrayAtomicF,1,2,629145,93,93,93,93,93,93,0,0
ArrayAtomicF,1,3,629145,94,94,94,94,94,94,0,0
TableF,1,0,629145,96,96,96,96,96,96,0,0
TableF,1,1,629145,95,95,95,95,95,95,0,0
TableF,1,2,629145,95,95,95,95,95,95,0,0
TableF,1,3,629145,94,94,94,94,94,94,0,0
ArrayAlignedP,1,0,629145,45,45,45,45,45,45,0,0
ArrayAlignedP,1,1,629145,45,45,45,45,45,45,0,0
ArrayAlignedP,1,2,629145,44,44,44,44,44,44,0,0
ArrayAlignedP,1,3,629145,43,43,43,43,43,43,0,0
ArrayUnalignedP,1,0,629145,46,46,46,46,46,46,0,0
ArrayUnalignedP,1,1,629145,45,45,45,45,45,45,0,0
ArrayUnalignedP,1,2,629145,45,45,45,45,45,45,0,0
ArrayUnalignedP,1,3,629145,44,44,44,44,44,44,0,0
ArrayLockedP,1,0,629145,105,105,105,105,105,105,0,0
ArrayLockedP,1,1,629145,104,104,104,104,104,104,0,0
ArrayLockedP,1,2,629145,105,105,105,105,105,105,0,0
ArrayLockedP,1,3,629145,106,106,106,106,106,106,0,0
ArrayAtomicP,1,0,629145,107,107,107,107,107,107,0,0
ArrayAtomicP,1,1,629145,105,105,105,105,105,105,0,0
ArrayAtomicP,1,2,629145,107,107,107,107,107,107,0,0
ArrayAtomicP,1,3,629145,106,106,106,106,106,106,0,0
TableP,1,0,629145,108,108,108,108,108,108,0,0
TableP,1,1,629145,159,159,159,159,159,159,0,0
TableP,1,2,629145,107,107,107,107,107,107,0,0
TableP,1,3,629145,106,106,106,106,106,106,0,0
ArrayAlignedF,2,0,629145,45,45,45,45,45,45,0,0
ArrayAlignedF,2,1,629145,44,44,45,44,44,45,0,0
ArrayAlignedF,2,2,629145,45,45,45,45,45,45,0,0
ArrayAlignedF,2,3,629145,44,44,45,44,44,45,0,0
ArrayUnalignedF,2,0,629145,44,44,45,44,44,45,0,0
ArrayUnalignedF,2,1,629145,43,43,44,43,43,44,0,0
