alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedF,1,0,629145,49,49,49,49,49,49,0,15
ArrayAlignedF,1,1,629145,49,49,49,49,49,49,0,15
ArrayAlignedF,1,2,629145,49,49,49,49,49,49,0,15
ArrayAlignedF,1,3,629145,49,49,49,49,49,49,0,15
ArrayUnalignedF,1,0,629145,48,48,48,48,48,48,0,15
ArrayUnalignedF,1,1,629145,49,49,49,49,49,49,0,15
ArrayUnalignedF,1,2,629145,48,48,48,48,48,48,0,15
ArrayUnalignedF,1,3,629145,49,49,49,49,49,49,0,15
ArrayLockedF,1,0,629145,41,41,41,41,41,41,0,13
ArrayLockedF,1,1,629145,42,42,42,42,42,42,0,13
ArrayLockedF,1,2,629145,42,42,42,42,42,42,0,13
ArrayLockedF,1,3,629145,42,42,42,42,42,42,0,13
ArrayAtomicF,1,0,629145,42,42,42,42,42,42,0,13
ArrayAtomicF,1,1,629145,42,42,42,42,42,42,0,13
ArrayAtomicF,1,2,629145,42,42,42,42,42,42,0,13
ArrayAtomicF,1,3,629145,42,42,42,42,42,42,0,13
TableF,1,0,629145,41,41,41,41,41,41,0,13
TableF,1,1,629145,41,41,41,41,41,41,0,13
TableF,1,2,629145,41,41,41,41,41,41,0,13
TableF,1,3,629145,41,41,41,41,41,41,0,13
ArrayAlignedP,1,0,629145,54,54,54,54,54,54,0,17
ArrayAlignedP,1,1,629145,54,54,54,54,54,54,0,17
ArrayAlignedP,1,2,629145,54,54,54,54,54,54,0,17
ArrayAlignedP,1,3,629145,54,54,54,54,54,54,0,17
ArrayUnalignedP,1,0,629145,52,52,52,52,52,52,0,16
ArrayUnalignedP,1,1,629145,53,53,53,53,53,53,0,16
ArrayUnalignedP,1,2,629145,53,53,53,53,53,53,0,16
ArrayUnalignedP,1,3,629145,53,53,53,53,53,53,0,16
ArrayLockedP,1,0,629145,46,46,46,46,46,46,0,14
ArrayLockedP,1,1,629145,46,46,46,46,46,46,0,14
ArrayLockedP,1,2,629145,46,46,46,46,46,46,0,14
ArrayLockedP,1,3,629145,46,46,46,46,46,46,0,14
ArrayAtomicP,1,0,629145,46,46,46,46,46,46,0,14
ArrayAtomicP,1,1,629145,46,46,46,46,46,46,0,14
ArrayAtomicP,1,2,629145,46,46,46,46,46,46,0,14
ArrayAtomicP,1,3,629145,44,44,44,44,44,44,0,13
TableP,1,0,629145,44,44,44,44,44,44,0,14
TableP,1,1,629145,43,43,43,43,43,43,0,13
TableP,1,2,629145,44,44,44,44,44,44,0,14
TableP,1,3,629145,43,43,43,43,43,43,0,13
ListLocal,1,0,629145,4,4,4,4,4,4,5,1
ListLocal,1,1,629145,4,4,4,4,4,4,5,1
ListLocal,1,2,629145,4,4,4,4,4,4,5,1
ListLocal,1,3,629145,4,4,4,4,4,4,5,1
ListLocked,1,0,629145,26,26,26,26,26,26,5,8
ListLocked,1,1,629145,26,26,26,26,26,26,5,8
ListLocked,1,2,629145,26,26,26,26,26,26,5,8
ListLocked,1,3,629145,26,26,26,26,26,26,5,8
ArrayAlignedF,2,0,629145,49,51,54,49,51,54,0,16
ArrayAlignedF,2,1,629145,49,49,49,49,49,49,0,15
ArrayAlignedF,2,2,629145,50,53,56,50,53,56,0,16
ArrayAlignedF,2,3,629145,50,50,50,50,50,50,0,15
ArrayUnalignedF,2,0,629145,49,49,49,49,49,49,0,15
ArrayUnalignedF,2,1,629145,145,145,145,145,145,145,0,45
ArrayUnalignedF,2,2,629145,48,48,48,48,48,48,0,15
ArrayUnalignedF,2,3,629145,146,146,146,146,146,146,0,46
ArrayLockedF,2,0,629145,42,42,42,42,42,42,0,13
ArrayLockedF,2,1,629145,41,41,42,41,41,42,0,13
ArrayLockedF,2,2,629145,48,54,61,48,54,61,0,17
ArrayLockedF,2,3,629145,52,53,54,52,53,54,0,16
ArrayAtomicF,2,0,629145,42,47,52,42,47,52,0,14
ArrayAtomicF,2,1,629145,42,43,44,42,43,44,0,13
ArrayAtomicF,2,2,629145,41,41,42,41,41,42,0,13
ArrayAtomicF,2,3,629145,42,43,44,42,43,44,0,13
TableF,2,0,629145,41,41,41,41,41,41,0,13
TableF,2,1,629145,41,41,41,41,41,41,0,13
TableF,2,2,629145,41,41,41,41,41,41,0,13
TableF,2,3,629145,42,42,42,42,42,42,0,13
ArrayAlignedP,2,0,629145,54,54,54,54,54,54,0,17
ArrayAlignedP,2,1,629145,53,53,54,53,53,54,0,16
ArrayAlignedP,2,2,629145,54,54,55,54,54,55,0,17
ArrayAlignedP,2,3,629145,54,54,54,54,54,54,0,17
ArrayUnalignedP,2,0,629145,184,184,185,184,184,185,0,57
ArrayUnalignedP,2,1,629145,195,195,195,195,195,195,0,61
ArrayUnalignedP,2,2,629145,184,184,185,184,184,185,0,57
ArrayUnalignedP,2,3,629145,191,191,191,191,191,191,0,60
ArrayLockedP,2,0,629145,46,46,46,46,46,46,0,14
ArrayLockedP,2,1,629145,66,67,68,66,67,68,0,20
ArrayLockedP,2,2,629145,46,46,46,46,46,46,0,14
ArrayLockedP,2,3,629145,56,56,56,56,56,56,0,17
ArrayAtomicP,2,0,629145,55,55,55,55,55,55,0,17
ArrayAtomicP,2,1,629145,56,56,56,56,56,56,0,17
ArrayAtomicP,2,2,629145,46,46,46,46,46,46,0,14
ArrayAtomicP,2,3,629145,46,46,46,46,46,46,0,14
TableP,2,0,629145,46,46,46,46,46,46,0,14
TableP,2,1,629145,46,46,46,46,46,46,0,14
TableP,2,2,629145,46,46,46,46,46,46,0,14
TableP,2,3,629145,46,46,46,46,46,46,0,14
ListLocal,2,0,629145,4,4,4,4,4,4,10,1
ListLocal,2,1,629145,4,4,4,4,4,4,10,1
ListLocal,2,2,629145,4,4,4,4,4,4,10,1
ListLocal,2,3,629145,4,4,4,4,4,4,10,1
ListLocked,2,0,629145,286,286,286,286,286,286,10,89
ListLocked,2,1,629145,284,284,284,284,284,284,10,89
ListLocked,2,2,629145,285,285,285,285,285,285,10,89
ListLocked,2,3,629145,286,286,286,286,286,286,10,89
ArrayAlignedF,4,0,629145,50,50,52,50,50,52,0,15
ArrayAlignedF,4,1,629145,49,49,49,49,49,49,0,15
ArrayAlignedF,4,2,629145,49,49,49,49,49,49,0,15
ArrayAlignedF,4,3,629145,50,50,50,50,50,50,0,15
ArrayUnalignedF,4,0,629145,302,307,313,302,307,313,0,96
ArrayUnalignedF,4,1,629145,307,313,317,307,313,317,0,98
ArrayUnalignedF,4,2,629145,299,305,310,299,305,310,0,95
ArrayUnalignedF,4,3,629145,306,313,317,306,313,317,0,98
ArrayLockedF,4,0,629145,42,42,42,42,42,42,0,13
ArrayLockedF,4,1,629145,42,42,43,42,42,43,0,13
ArrayLockedF,4,2,629145,42,42,42,42,42,42,0,13
ArrayLockedF,4,3,629145,43,43,43,43,43,43,0,13
ArrayAtomicF,4,0,629145,42,42,42,42,42,42,0,13
ArrayAtomicF,4,1,629145,43,43,43,43,43,43,0,13
ArrayAtomicF,4,2,629145,42,42,42,42,42,42,0,13
ArrayAtomicF,4,3,629145,44,44,44,44,44,44,0,13
TableF,4,0,629145,42,42,42,42,42,42,0,13
TableF,4,1,629145,43,44,46,43,44,46,0,13
TableF,4,2,629145,43,43,43,43,43,43,0,13
TableF,4,3,629145,43,43,44,43,43,44,0,13
ArrayAlignedP,4,0,629145,54,54,54,54,54,54,0,17
ArrayAlignedP,4,1,629145,54,54,54,54,54,54,0,17
ArrayAlignedP,4,2,629145,56,56,56,56,56,56,0,17
ArrayAlignedP,4,3,629145,54,54,54,54,54,54,0,17
ArrayUnalignedP,4,0,629145,162,174,181,162,174,181,0,54
ArrayUnalignedP,4,1,629145,328,334,341,328,334,341,0,104
ArrayUnalignedP,4,2,629145,163,176,183,163,176,183,0,55
ArrayUnalignedP,4,3,629145,326,332,338,326,332,338,0,104
ArrayLockedP,4,0,629145,46,46,47,46,46,47,0,14
ArrayLockedP,4,1,629145,46,46,46,46,46,46,0,14
ArrayLockedP,4,2,629145,46,46,46,46,46,46,0,14
ArrayLockedP,4,3,629145,46,46,46,46,46,46,0,14
ArrayAtomicP,4,0,629145,46,46,47,46,46,47,0,14
ArrayAtomicP,4,1,629145,46,46,46,46,46,46,0,14
ArrayAtomicP,4,2,629145,47,47,48,47,47,48,0,14
ArrayAtomicP,4,3,629145,46,46,46,46,46,46,0,14
TableP,4,0,629145,46,46,46,46,46,46,0,14
TableP,4,1,629145,46,46,46,46,46,46,0,14
TableP,4,2,629145,46,46,46,46,46,46,0,14
TableP,4,3,629145,47,47,47,47,47,47,0,14
ListLocal,4,0,629145,4,4,4,4,4,4,20,1
ListLocal,4,1,629145,4,4,4,4,4,4,20,1
ListLocal,4,2,629145,4,4,4,4,4,4,20,1
ListLocal,4,3,629145,4,4,4,4,4,4,20,1
ListLocked,4,0,629145,641,641,642,641,641,642,20,201
ListLocked,4,1,629145,676,677,678,676,677,678,20,212
ListLocked,4,2,629145,674,674,674,674,674,674,21,212
ListLocked,4,3,629145,655,656,657,655,656,657,21,206
ArrayAlignedF,6,0,629145,50,50,50,50,50,50,1,15
ArrayAlignedF,6,1,629145,50,51,52,50,51,52,1,16
ArrayAlignedF,6,2,629145,50,50,52,50,50,52,1,15
ArrayAlignedF,6,3,629145,50,50,50,50,50,50,1,15
ArrayUnalignedF,6,0,629145,333,349,356,333,349,356,1,109
ArrayUnalignedF,6,1,629145,355,364,371,355,364,371,1,114
ArrayUnalignedF,6,2,629145,336,350,357,336,350,357,1,109
ArrayUnalignedF,6,3,629145,316,353,363,316,353,363,1,110
ArrayLockedF,6,0,629145,43,43,45,43,43,45,1,13
ArrayLockedF,6,1,629145,43,43,43,43,43,43,1,13
ArrayLockedF,6,2,629145,42,42,43,42,42,43,1,13
ArrayLockedF,6,3,629145,43,43,44,43,43,44,1,13
ArrayAtomicF,6,0,629145,42,42,43,42,42,43,1,13
ArrayAtomicF,6,1,629145,43,43,44,43,43,44,1,13
ArrayAtomicF,6,2,629145,43,43,44,43,43,44,1,13
ArrayAtomicF,6,3,629145,43,43,43,43,43,43,1,13
TableF,6,0,629145,42,42,42,42,42,42,1,13
TableF,6,1,629145,42,42,43,42,42,43,1,13
TableF,6,2,629145,42,42,43,42,42,43,1,13
TableF,6,3,629145,42,42,43,42,42,43,1,13
ArrayAlignedP,6,0,629145,55,55,56,55,55,56,0,17
ArrayAlignedP,6,1,629145,55,56,62,55,56,62,0,17
ArrayAlignedP,6,2,629145,55,55,56,55,55,56,0,17
ArrayAlignedP,6,3,629145,55,55,55,55,55,55,0,17
ArrayUnalignedP,6,0,629145,231,405,443,231,405,443,0,126
ArrayUnalignedP,6,1,629145,353,366,379,353,366,379,0,114
ArrayUnalignedP,6,2,629145,220,396,436,220,396,436,0,124
ArrayUnalignedP,6,3,629145,352,364,376,352,364,376,0,114
ArrayLockedP,6,0,629145,47,47,48,47,47,48,0,14
ArrayLockedP,6,1,629145,47,47,50,47,47,50,0,14
ArrayLockedP,6,2,629145,47,47,48,47,47,48,0,14
ArrayLockedP,6,3,629145,47,47,48,47,47,48,0,14
ArrayAtomicP,6,0,629145,47,47,47,47,47,47,0,14
ArrayAtomicP,6,1,629145,47,47,47,47,47,47,0,14
ArrayAtomicP,6,2,629145,47,47,47,47,47,47,0,14
ArrayAtomicP,6,3,629145,47,47,48,47,47,48,0,14
TableP,6,0,629145,47,47,48,47,47,48,0,14
TableP,6,1,629145,47,47,48,47,47,48,0,14
TableP,6,2,629145,47,47,47,47,47,47,0,14
TableP,6,3,629145,47,47,47,47,47,47,0,14
ListLocal,6,0,629145,4,4,4,4,4,4,31,1
ListLocal,6,1,629145,4,4,4,4,4,4,31,1
ListLocal,6,2,629145,4,4,5,4,4,5,31,1
ListLocal,6,3,629145,4,4,4,4,4,4,31,1
ListLocked,6,0,629145,1061,1061,1062,1061,1061,1062,31,333
ListLocked,6,1,629145,1057,1057,1057,1057,1057,1057,31,332
ListLocked,6,2,629145,1058,1058,1059,1058,1058,1059,31,333
ListLocked,6,3,629145,1056,1056,1056,1056,1056,1056,32,332
ArrayAlignedF,8,0,629145,50,61,76,50,61,76,1,18
ArrayAlignedF,8,1,629145,50,61,75,50,61,75,1,18
ArrayAlignedF,8,2,629145,50,61,73,50,61,73,1,18
ArrayAlignedF,8,3,629145,50,61,75,50,61,75,1,18
ArrayUnalignedF,8,0,629145,332,412,448,332,412,448,1,129
