alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedF,1,0,629145,33,33,33,33,33,33,0,0
ArrayAlignedF,1,1,629145,33,33,33,33,33,33,0,0
ArrayAlignedF,1,2,629145,33,33,33,33,33,33,0,0
ArrayAlignedF,1,3,629145,33,33,33,33,33,33,0,0
ArrayUnalignedF,1,0,629145,33,33,33,33,33,33,0,0
ArrayUnalignedF,1,1,629145,33,33,33,33,33,33,0,0
ArrayUnalignedF,1,2,629145,33,33,33,33,33,33,0,0
ArrayUnalignedF,1,3,629145,33,33,33,33,33,33,0,0
ArrayLockedF,1,0,629145,26,26,26,26,26,26,0,0
ArrayLockedF,1,1,629145,26,26,26,26,26,26,0,0
ArrayLockedF,1,2,629145,27,27,27,27,27,27,0,0
ArrayLockedF,1,3,629145,26,26,26,26,26,26,0,0
ArrayAtomicF,1,0,629145,26,26,26,26,26,26,0,0
ArrayAtomicF,1,1,629145,26,26,26,26,26,26,0,0
ArrayAtomicF,1,2,629145,26,26,26,26,26,26,0,0
ArrayAtomicF,1,3,629145,26,26,26,26,26,26,0,0
TableF,1,0,629145,42,42,42,42,42,42,0,0
TableF,1,1,629145,26,26,26,26,26,26,0,0
TableF,1,2,629145,25,25,25,25,25,25,0,0
TableF,1,3,629145,26,26,26,26,26,26,0,0
ArrayAlignedP,1,0,629145,35,35,35,35,35,35,0,0
ArrayAlignedP,1,1,629145,40,40,40,40,40,40,0,0
ArrayAlignedP,1,2,629145,34,34,34,34,34,34,0,0
ArrayAlignedP,1,3,629145,34,34,34,34,34,34,0,0
ArrayUnalignedP,1,0,629145,34,34,34,34,34,34,0,0
ArrayUnalignedP,1,1,629145,34,34,34,34,34,34,0,0
ArrayUnalignedP,1,2,629145,34,34,34,34,34,34,0,0
ArrayUnalignedP,1,3,629145,34,34,34,34,34,34,0,0
ArrayLockedP,1,0,629145,27,27,27,27,27,27,0,0
ArrayLockedP,1,1,629145,27,27,27,27,27,27,0,0
ArrayLockedP,1,2,629145,27,27,27,27,27,27,0,0
ArrayLockedP,1,3,629145,27,27,27,27,27,27,0,0
ArrayAtomicP,1,0,629145,27,27,27,27,27,27,0,0
ArrayAtomicP,1,1,629145,27,27,27,27,27,27,0,0
ArrayAtomicP,1,2,629145,27,27,27,27,27,27,0,0
ArrayAtomicP,1,3,629145,27,27,27,27,27,27,0,0
TableP,1,0,629145,27,27,27,27,27,27,0,0
TableP,1,1,629145,27,27,27,27,27,27,0,0
TableP,1,2,629145,27,27,27,27,27,27,0,0
TableP,1,3,629145,27,27,27,27,27,27,0,0
ArrayAlignedF,2,0,629145,33,33,34,33,33,34,0,0
ArrayAlignedF,2,1,629145,33,34,35,33,34,35,0,0
ArrayAlignedF,2,2,629145,33,34,36,33,34,36,0,0
ArrayAlignedF,2,3,629145,34,35,36,34,35,36,0,0
ArrayUnalignedF,2,0,629145,33,33,33,33,33,33,0,0
ArrayUnalignedF,2,1,629145,132,146,161,132,146,161,0,0
ArrayUnalignedF,2,2,629145,33,33,33,33,33,33,0,0
ArrayUnalignedF,2,3,629145,33,33,33,33,33,33,0,0
ArrayLockedF,2,0,629145,29,29,29,29,29,29,0,0
ArrayLockedF,2,1,629145,27,27,27,27,27,27,0,0
ArrayLockedF,2,2,629145,26,26,27,26,26,27,0,0
ArrayLockedF,2,3,629145,27,27,27,27,27,27,0,0
ArrayAtomicF,2,0,629145,26,26,26,26,26,26,0,0
ArrayAtomicF,2,1,629145,27,27,28,27,27,28,0,0
ArrayAtomicF,2,2,629145,26,26,26,26,26,26,0,0
ArrayAtomicF,2,3,629145,26,26,26,26,26,26,0,0
TableF,2,0,629145,26,26,26,26,26,26,0,0
TableF,2,1,629145,25,25,26,25,25,26,0,0
TableF,2,2,629145,26,26,26,26,26,26,0,0
TableF,2,3,629145,26,26,26,26,26,26,0,0
ArrayAlignedP,2,0,629145,35,35,35,35,35,35,0,0
ArrayAlignedP,2,1,629145,35,35,35,35,35,35,0,0
ArrayAlignedP,2,2,629145,35,35,35,35,35,35,0,0
ArrayAlignedP,2,3,629145,35,35,35,35,35,35,0,0
ArrayUnalignedP,2,0,629145,135,135,136,135,135,136,0,0
ArrayUnalignedP,2,1,629145,34,34,35,34,34,35,0,0
ArrayUnalignedP,2,2,629145,135,135,136,135,135,136,0,0
ArrayUnalignedP,2,3,629145,34,34,35,34,34,35,0,0
ArrayLockedP,2,0,629145,27,27,27,27,27,27,0,0
ArrayLockedP,2,1,629145,27,124,221,27,124,221,0,0
ArrayLockedP,2,2,629145,27,27,27,27,27,27,0,0
ArrayLockedP,2,3,629145,27,27,27,27,27,27,0,0
ArrayAtomicP,2,0,629145,27,27,27,27,27,27,0,0
ArrayAtomicP,2,1,629145,27,27,27,27,27,27,0,0
ArrayAtomicP,2,2,629145,27,27,27,27,27,27,0,0
ArrayAtomicP,2,3,629145,30,30,30,30,30,30,0,0
TableP,2,0,629145,27,27,27,27,27,27,0,0
TableP,2,1,629145,27,27,27,27,27,27,0,0
TableP,2,2,629145,27,27,27,27,27,27,0,0
TableP,2,3,629145,28,28,28,28,28,28,0,0
ArrayAlignedF,4,0,629145,33,33,34,33,33,34,0,0
ArrayAlignedF,4,1,629145,33,33,35,33,33,35,0,0
ArrayAlignedF,4,2,629145,33,34,36,33,34,36,0,0
ArrayAlignedF,4,3,629145,33,33,34,33,33,34,0,0
ArrayUnalignedF,4,0,629145,34,131,178,34,131,178,0,0
ArrayUnalignedF,4,1,629145,33,52,73,33,52,73,0,0
ArrayUnalignedF,4,2,629145,148,164,195,148,164,195,0,0
ArrayUnalignedF,4,3,629145,33,120,176,33,120,176,0,0
ArrayLockedF,4,0,629145,26,26,28,26,26,28,0,0
ArrayLockedF,4,1,629145,26,26,27,26,26,27,0,0
ArrayLockedF,4,2,629145,26,26,27,26,26,27,0,0
ArrayLockedF,4,3,629145,26,26,27,26,26,27,0,0
ArrayAtomicF,4,0,629145,26,26,26,26,26,26,0,0
ArrayAtomicF,4,1,629145,26,27,30,26,27,30,0,0
ArrayAtomicF,4,2,629145,26,35,48,26,35,48,0,0
ArrayAtomicF,4,3,629145,26,26,26,26,26,26,0,0
TableF,4,0,629145,26,26,26,26,26,26,0,0
TableF,4,1,629145,26,26,26,26,26,26,0,0
TableF,4,2,629145,26,28,35,26,28,35,0,0
TableF,4,3,629145,27,27,28,27,27,28,0,0
ArrayAlignedP,4,0,629145,35,35,35,35,35,35,0,0
ArrayAlignedP,4,1,629145,35,35,35,35,35,35,0,0
ArrayAlignedP,4,2,629145,35,35,35,35,35,35,0,0
ArrayAlignedP,4,3,629145,35,35,35,35,35,35,0,0
ArrayUnalignedP,4,0,629145,127,154,174,127,154,174,0,0
ArrayUnalignedP,4,1,629145,34,164,210,34,164,210,0,0
ArrayUnalignedP,4,2,629145,38,203,263,38,203,263,0,0
ArrayUnalignedP,4,3,629145,34,122,171,34,122,171,0,0
ArrayLockedP,4,0,629145,27,27,27,27,27,27,0,0
ArrayLockedP,4,1,629145,27,27,28,27,27,28,0,0
ArrayLockedP,4,2,629145,27,27,28,27,27,28,0,0
ArrayLockedP,4,3,629145,29,31,33,29,31,33,0,0
ArrayAtomicP,4,0,629145,27,33,54,27,33,54,0,0
ArrayAtomicP,4,1,629145,27,38,49,27,38,49,0,0
ArrayAtomicP,4,2,629145,27,27,27,27,27,27,0,0
ArrayAtomicP,4,3,629145,27,27,28,27,27,28,0,0
TableP,4,0,629145,28,28,28,28,28,28,0,0
TableP,4,1,629145,27,28,31,27,28,31,0,0
TableP,4,2,629145,27,33,54,27,33,54,0,0
TableP,4,3,629145,34,38,47,34,38,47,0,0
ArrayAlignedF,6,0,629145,37,62,71,37,62,71,1,0
ArrayAlignedF,6,1,629145,33,38,59,33,38,59,1,0
ArrayAlignedF,6,2,629145,34,41,74,34,41,74,1,0
ArrayAlignedF,6,3,629145,33,39,64,33,39,64,1,0
ArrayUnalignedF,6,0,629145,259,300,322,259,300,322,1,0
ArrayUnalignedF,6,1,629145,33,228,324,33,228,324,1,0
ArrayUnalignedF,6,2,629145,33,267,351,33,267,351,1,0
ArrayUnalignedF,6,3,629145,188,353,423,188,353,423,1,0
ArrayLockedF,6,0,629145,26,33,61,26,33,61,1,0
ArrayLockedF,6,1,629145,26,33,60,26,33,60,1,0
ArrayLockedF,6,2,629145,28,33,60,28,33,60,1,0
ArrayLockedF,6,3,629145,27,37,57,27,37,57,1,0
ArrayAtomicF,6,0,629145,26,32,61,26,32,61,1,0
ArrayAtomicF,6,1,629145,26,34,63,26,34,63,1,0
ArrayAtomicF,6,2,629145,37,39,41,37,39,41,1,0
ArrayAtomicF,6,3,629145,26,30,49,26,30,49,1,0
TableF,6,0,629145,26,32,60,26,32,60,1,0
TableF,6,1,629145,26,32,60,26,32,60,1,0
TableF,6,2,629145,26,33,65,26,33,65,1,0
TableF,6,3,629145,26,47,52,26,47,52,1,0
ArrayAlignedP,6,0,629145,35,39,58,35,39,58,0,0
ArrayAlignedP,6,1,629145,35,56,74,35,56,74,0,0
ArrayAlignedP,6,2,629145,35,56,70,35,56,70,0,0
ArrayAlignedP,6,3,629145,35,45,67,35,45,67,0,0
ArrayUnalignedP,6,0,629145,145,256,322,145,256,322,0,0
ArrayUnalignedP,6,1,629145,34,192,295,34,192,295,0,0
ArrayUnalignedP,6,2,629145,35,182,266,35,182,266,0,0
ArrayUnalignedP,6,3,629145,224,320,365,224,320,365,0,0
ArrayLockedP,6,0,629145,27,43,66,27,43,66,0,0
ArrayLockedP,6,1,629145,28,28,28,28,28,28,0,0
ArrayLockedP,6,2,629145,27,31,49,27,31,49,0,0
ArrayLockedP,6,3,629145,28,28,28,28,28,28,0,0
ArrayAtomicP,6,0,629145,27,37,60,27,37,60,0,0
ArrayAtomicP,6,1,629145,27,39,54,27,39,54,0,0
ArrayAtomicP,6,2,629145,28,28,28,28,28,28,0,0
ArrayAtomicP,6,3,629145,27,36,57,27,36,57,0,0
TableP,6,0,629145,27,27,28,27,27,28,0,0
TableP,6,1,629145,25,31,56,25,31,56,0,0
TableP,6,2,629145,27,50,65,27,50,65,0,0
TableP,6,3,629145,28,28,29,28,28,29,0,0
ArrayAlignedF,8,0,629145,34,57,82,34,57,82,1,0
ArrayAlignedF,8,1,629145,33,57,75,33,57,75,1,0
ArrayAlignedF,8,2,629145,37,52,83,37,52,83,1,0
ArrayAlignedF,8,3,629145,38,59,84,38,59,84,1,0
ArrayUnalignedF,8,0,629145,151,350,428,151,350,428,1,0
ArrayUnalignedF,8,1,629145,118,250,299,118,250,299,1,0
ArrayUnalignedF,8,2,629145,91,281,352,91,281,352,1,0
ArrayUnalignedF,8,3,629145,298,321,341,298,321,341,1,0
ArrayLockedF,8,0,629145,40,69,81,40,69,81,1,0
ArrayLockedF,8,1,629145,40,48,57,40,48,57,1,0
ArrayLockedF,8,2,629145,31,47,65,31,47,65,1,0
ArrayLockedF,8,3,629145,32,53,71,32,53,71,1,0
ArrayAtomicF,8,0,629145,29,64,104,29,64,104,1,0
ArrayAtomicF,8,1,629145,31,58,90,31,58,90,1,0
ArrayAtomicF,8,2,629145,27,37,51,27,37,51,1,0
ArrayAtomicF,8,3,629145,27,37,48,27,37,48,1,0
TableF,8,0,629145,26,37,50,26,37,50,1,0
TableF,8,1,629145,31,41,52,31,41,52,1,0
TableF,8,2,629145,26,38,52,26,38,52,1,0
TableF,8,3,629145,27,37,49,27,37,49,1,0
ArrayAlignedP,8,0,629145,36,45,57,36,45,57,0,0
ArrayAlignedP,8,1,629145,38,44,52,38,44,52,0,0
ArrayAlignedP,8,2,629145,35,44,55,35,44,55,0,0
ArrayAlignedP,8,3,629145,36,47,57,36,47,57,0,0
ArrayUnalignedP,8,0,629145,144,236,310,144,236,310,0,0
ArrayUnalignedP,8,1,629145,217,271,312,217,271,312,0,0
ArrayUnalignedP,8,2,629145,209,240,282,209,240,282,0,0
ArrayUnalignedP,8,3,629145,80,259,375,80,259,375,0,0
ArrayLockedP,8,0,629145,28,38,49,28,38,49,0,0
ArrayLockedP,8,1,629145,28,39,52,28,39,52,0,0
ArrayLockedP,8,2,629145,28,37,49,28,37,49,0,0
ArrayLockedP,8,3,629145,28,38,51,28,38,51,0,0
ArrayAtomicP,8,0,629145,28,36,47,28,36,47,0,0
ArrayAtomicP,8,1,629145,28,38,48,28,38,48,0,0
ArrayAtomicP,8,2,629145,28,37,47,28,37,47,0,0
ArrayAtomicP,8,3,629145,53,57,67,53,57,67,0,0
TableP,8,0,629145,28,39,51,28,39,51,0,0
TableP,8,1,629145,28,38,50,28,38,50,0,0
TableP,8,2,629145,26,37,49,26,37,49,0,0
TableP,8,3,629145,43,55,69,43,55,69,0,0
ArrayAlignedF,10,0,629145,34,45,50,34,45,50,2,0
ArrayAlignedF,10,1,629145,34,47,53,34,47,53,2,0
ArrayAlignedF,10,2,629145,34,47,55,34,47,55,2,0
ArrayAlignedF,10,3,629145,34,46,52,34,46,52,2,0
ArrayUnalignedF,10,0,629145,49,205,288,49,205,288,2,0
ArrayUnalignedF,10,1,629145,67,259,357,67,259,357,2,0
ArrayUnalignedF,10,2,629145,52,195,294,52,195,294,2,0
ArrayUnalignedF,10,3,629145,104,251,316,104,251,316,2,0
ArrayLockedF,10,0,629145,29,43,51,29,43,51,2,0
ArrayLockedF,10,1,629145,27,43,58,27,43,58,2,0
ArrayLockedF,10,2,629145,26,43,50,26,43,50,2,0
ArrayLockedF,10,3,629145,27,42,49,27,42,49,2,0
ArrayAtomicF,10,0,629145,27,43,55,27,43,55,2,0
ArrayAtomicF,10,1,629145,35,59,70,35,59,70,2,0
ArrayAtomicF,10,2,629145,29,44,52,29,44,52,2,0
ArrayAtomicF,10,3,629145,27,43,49,27,43,49,2,0
TableF,10,0,629145,27,40,52,27,40,52,2,0
TableF,10,1,629145,26,44,52,26,44,52,2,0
TableF,10,2,629145,26,44,50,26,44,50,2,0
TableF,10,3,629145,26,43,51,26,43,51,2,0
ArrayAlignedP,10,0,629145,36,49,57,36,49,57,0,0
ArrayAlignedP,10,1,629145,36,48,57,36,48,57,0,0
ArrayAlignedP,10,2,629145,36,48,54,36,48,54,0,0
ArrayAlignedP,10,3,629145,36,51,57,36,51,57,0,0
ArrayUnalignedP,10,0,629145,282,328,390,282,328,390,0,0
ArrayUnalignedP,10,1,629145,257,321,384,257,321,384,0,0
ArrayUnalignedP,10,2,629145,226,321,373,226,321,373,0,0
ArrayUnalignedP,10,3,629145,237,322,366,237,322,366,0,0
ArrayLockedP,10,0,629145,28,43,48,28,43,48,0,0
ArrayLockedP,10,1,629145,38,65,74,38,65,74,0,0
ArrayLockedP,10,2,629145,28,43,50,28,43,50,0,0
ArrayLockedP,10,3,629145,28,42,49,28,42,49,0,0
ArrayAtomicP,10,0,629145,29,45,51,29,45,51,0,0
ArrayAtomicP,10,1,629145,28,41,47,28,41,47,0,0
ArrayAtomicP,10,2,629145,28,44,54,28,44,54,0,0
ArrayAtomicP,10,3,629145,28,44,54,28,44,54,0,0
TableP,10,0,629145,28,43,50,28,43,50,0,0
TableP,10,1,629145,28,46,54,28,46,54,0,0
TableP,10,2,629145,36,63,72,36,63,72,0,0
TableP,10,3,629145,29,44,49,29,44,49,0,0
