alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedF,1,0,1398101,57,57,57,32,32,32,3,62
ArrayAlignedF,1,1,1398101,38,38,38,31,31,31,1,48
ArrayAlignedF,1,2,1398101,35,35,35,31,31,31,0,47
ArrayAlignedF,1,3,1398101,35,35,35,31,31,31,1,46
ArrayLockedF,1,0,1398101,29,29,29,28,28,28,1,40
ArrayLockedF,1,1,1398101,29,29,29,29,29,29,1,41
ArrayLockedF,1,2,1398101,30,30,30,28,28,28,1,41
ArrayLockedF,1,3,1398101,30,30,30,28,28,28,1,41
ArrayAtomicF,1,0,1398101,29,29,29,28,28,28,1,40
ArrayAtomicF,1,1,1398101,29,29,29,28,28,28,1,40
ArrayAtomicF,1,2,1398101,29,29,29,27,27,27,1,40
ArrayAtomicF,1,3,1398101,29,29,29,28,28,28,1,40
TableF,1,0,1398101,28,28,28,29,29,29,1,40
TableF,1,1,1398101,28,28,28,28,28,28,1,39
TableF,1,2,1398101,29,29,29,28,28,28,1,40
TableF,1,3,1398101,28,28,28,28,28,28,1,40
ArrayAlignedD,1,0,1398101,53,53,53,33,33,33,7,61
ArrayAlignedD,1,1,1398101,51,51,51,33,33,33,7,59
ArrayAlignedD,1,2,1398101,53,53,53,32,32,32,7,59
ArrayAlignedD,1,3,1398101,50,50,50,32,32,32,7,58
ArrayLockedD,1,0,1398101,44,44,44,27,27,27,7,50
ArrayLockedD,1,1,1398101,48,48,48,28,28,28,7,53
ArrayLockedD,1,2,1398101,47,47,47,27,27,27,7,52
ArrayLockedD,1,3,1398101,46,46,46,27,27,27,7,51
ArrayAtomicD,1,0,1398101,47,47,47,28,28,28,7,52
ArrayAtomicD,1,1,1398101,47,47,47,27,27,27,7,52
ArrayAtomicD,1,2,1398101,47,47,47,27,27,27,7,52
ArrayAtomicD,1,3,1398101,46,46,46,28,28,28,7,52
TableD,1,0,1398101,44,44,44,28,28,28,7,51
TableD,1,1,1398101,43,43,43,28,28,28,7,50
TableD,1,2,1398101,43,43,43,28,28,28,7,50
TableD,1,3,1398101,45,45,45,28,28,28,7,51
ArrayAlignedP,1,0,1398101,31,31,31,34,34,34,0,46
ArrayAlignedP,1,1,1398101,31,31,31,34,34,34,0,46
ArrayAlignedP,1,2,1398101,31,31,31,34,34,34,0,46
ArrayAlignedP,1,3,1398101,31,31,31,35,35,35,0,46
ArrayLockedP,1,0,1398101,24,24,24,31,31,31,0,39
ArrayLockedP,1,1,1398101,25,25,25,30,30,30,0,39
ArrayLockedP,1,2,1398101,25,25,25,31,31,31,0,39
