alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedF,1,0,2097152,1736,1736,1736,1236,1236,1236,4,0
ArrayAlignedF,1,1,2097152,1347,1347,1347,1250,1250,1250,2,0
ArrayAlignedF,1,2,2097152,1139,1139,1139,1055,1055,1055,0,0
ArrayAlignedF,1,3,2097152,1083,1083,1083,861,861,861,0,0
ArrayLockedF,1,0,2097152,1333,1333,1333,1139,1139,1139,0,0
ArrayLockedF,1,1,2097152,1111,1111,1111,1041,1041,1041,0,0
ArrayLockedF,1,2,2097152,1014,1014,1014,1000,1000,1000,0,0
ArrayLockedF,1,3,2097152,1069,1069,1069,972,972,972,0,0
ArrayAtomicF,1,0,2097152,1278,1278,1278,1264,1264,1264,0,0
ArrayAtomicF,1,1,2097152,1194,1194,1194,1027,1027,1027,0,0
ArrayAtomicF,1,2,2097152,1180,1180,1180,1000,1000,1000,0,0
ArrayAtomicF,1,3,2097152,1083,1083,1083,1000,1000,1000,0,0
TableF,1,0,2097152,1389,1389,1389,1250,1250,1250,0,0
TableF,1,1,2097152,1194,1194,1194,1041,1041,1041,0,0
TableF,1,2,2097152,1305,1305,1305,1083,1083,1083,0,0
TableF,1,3,2097152,1166,1166,1166,1027,1027,1027,0,0
ArrayAlignedD,1,0,2097152,1472,1472,1472,1386862,1386862,1386862,10,4
ArrayAlignedD,1,1,2097152,1430,1430,1430,1372805,1372805,1372805,10,4
ArrayAlignedD,1,2,2097152,1389,1389,1389,1378667,1378667,1378667,10,4
ArrayAlignedD,1,3,2097152,1236,1236,1236,1361235,1361235,1361235,10,4
ArrayLockedD,1,0,2097152,1333,1333,1333,1370138,1370138,1370138,10,4
ArrayLockedD,1,1,2097152,1361,1361,1361,1358804,1358804,1358804,10,4
ArrayLockedD,1,2,2097152,1305,1305,1305,1390376,1390376,1390376,10,4
ArrayLockedD,1,3,2097152,1361,1361,1361,1414281,1414281,1414281,10,4
ArrayAtomicD,1,0,2097152,1333,1333,1333,1359888,1359888,1359888,10,4
ArrayAtomicD,1,1,2097152,1375,1375,1375,1401669,1401669,1401669,10,4
ArrayAtomicD,1,2,2097152,1319,1319,1319,1408822,1408822,1408822,10,4
ArrayAtomicD,1,3,2097152,1305,1305,1305,1358874,1358874,1358874,10,4
TableD,1,0,2097152,1597,1597,1597,1390390,1390390,1390390,10,4
TableD,1,1,2097152,1528,1528,1528,1353623,1353623,1353623,10,4
TableD,1,2,2097152,1389,1389,1389,1395974,1395974,1395974,10,4
TableD,1,3,2097152,1639,1639,1639,1359624,1359624,1359624,10,4
ArrayAlignedF,2,0,2097152,2055,2215,2375,1222,1430,1639,13,0
ArrayAlignedF,2,1,2097152,1569,1798,2028,1319,1458,1597,8,0
ArrayAlignedF,2,2,2097152,1889,1993,2097,1167,1333,1500,7,0
ArrayAlignedF,2,3,2097152,1111,1416,1722,1194,1340,1486,6,0
ArrayLockedF,2,0,2097152,1111,1347,1583,1264,1368,1472,3,0
ArrayLockedF,2,1,2097152,1027,1249,1472,1167,1382,1597,3,0
ArrayLockedF,2,2,2097152,1055,1291,1528,1139,1298,1458,3,0
ArrayLockedF,2,3,2097152,1055,1277,1500,1167,1292,1417,3,0
ArrayAtomicF,2,0,2097152,1041,1492,1944,1166,1381,1597,3,0
ArrayAtomicF,2,1,2097152,1042,1354,1666,1139,1326,1514,3,0
ArrayAtomicF,2,2,2097152,1041,1340,1639,1180,1340,1500,2,0
ArrayAtomicF,2,3,2097152,1153,1451,1750,1444,1499,1555,2,0
TableF,2,0,2097152,1083,1493,1903,1166,1423,1680,3,0
TableF,2,1,2097152,1708,1777,1847,1208,1340,1472,2,0
TableF,2,2,2097152,1750,1791,1833,1180,1326,1472,2,0
TableF,2,3,2097152,1041,1076,1111,1167,1319,1472,2,0
ArrayAlignedD,2,0,2097152,1597,1770,1944,1627451,2618100,3608750,21,7
ArrayAlignedD,2,1,2097152,916,992,1069,1626923,2583563,3540203,21,7
