alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedF,1,0,524288,88,88,88,32,32,32,0,32
ArrayAlignedF,1,1,524288,36,36,36,31,31,31,0,17
ArrayAlignedF,1,2,524288,35,35,35,31,31,31,0,17
ArrayAlignedF,1,3,524288,35,35,35,31,31,31,0,17
ArrayLockedF,1,0,524288,29,29,29,27,27,27,0,14
ArrayLockedF,1,1,524288,28,28,28,27,27,27,0,14
ArrayLockedF,1,2,524288,29,29,29,27,27,27,0,14
ArrayLockedF,1,3,524288,29,29,29,27,27,27,0,14
ArrayAtomicF,1,0,524288,28,28,28,27,27,27,0,14
ArrayAtomicF,1,1,524288,28,28,28,29,29,29,0,15
ArrayAtomicF,1,2,524288,29,29,29,27,27,27,0,14
ArrayAtomicF,1,3,524288,29,29,29,27,27,27,0,14
TableF,1,0,524288,28,28,28,28,28,28,0,14
TableF,1,1,524288,28,28,28,28,28,28,0,15
TableF,1,2,524288,28,28,28,28,28,28,0,14
TableF,1,3,524288,28,28,28,28,28,28,0,14
ArrayAlignedD,1,0,524288,54,54,54,30,30,30,1,22
ArrayAlignedD,1,1,524288,50,50,50,29,29,29,0,21
ArrayAlignedD,1,2,524288,50,50,50,29,29,29,0,21
ArrayAlignedD,1,3,524288,50,50,50,29,29,29,0,21
ArrayLockedD,1,0,524288,44,44,44,25,25,25,0,18
ArrayLockedD,1,1,524288,43,43,43,25,25,25,0,18
ArrayLockedD,1,2,524288,43,43,43,25,25,25,0,18
ArrayLockedD,1,3,524288,43,43,43,25,25,25,0,18
ArrayAtomicD,1,0,524288,43,43,43,25,25,25,0,18
ArrayAtomicD,1,1,524288,43,43,43,25,25,25,0,18
ArrayAtomicD,1,2,524288,43,43,43,25,25,25,0,18
ArrayAtomicD,1,3,524288,43,43,43,25,25,25,0,18
TableD,1,0,524288,42,42,42,25,25,25,0,18
TableD,1,1,524288,42,42,42,25,25,25,0,18
TableD,1,2,524288,42,42,42,25,25,25,0,18
TableD,1,3,524288,44,44,44,25,25,25,0,18
ArrayAlignedP,1,0,524288,31,31,31,34,34,34,0,17
ArrayAlignedP,1,1,524288,31,31,31,34,34,34,0,17
ArrayAlignedP,1,2,524288,31,31,31,34,34,34,0,17
ArrayAlignedP,1,3,524288,31,31,31,34,34,34,0,17
ArrayLockedP,1,0,524288,25,25,25,30,30,30,0,14
ArrayLockedP,1,1,524288,24,24,24,31,31,31,0,14
ArrayLockedP,1,2,524288,25,25,25,31,31,31,0,14
ArrayLockedP,1,3,524288,25,25,25,31,31,31,0,14
ArrayAtomicP,1,0,524288,25,25,25,30,30,30,0,14
ArrayAtomicP,1,1,524288,25,25,25,30,30,30,0,14
ArrayAtomicP,1,2,524288,24,24,24,30,30,30,0,14
ArrayAtomicP,1,3,524288,24,24,24,32,32,32,0,15
TableP,1,0,524288,24,24,24,32,32,32,0,14
TableP,1,1,524288,24,24,24,32,32,32,0,14
TableP,1,2,524288,24,24,24,32,32,32,0,14
TableP,1,3,524288,24,24,24,31,31,31,0,14
ListLocal,1,0,524288,106,106,106,51,51,51,20,41
ListLocal,1,1,524288,100,100,100,51,51,51,20,39
ListLocal,1,2,524288,99,99,99,50,50,50,20,39
ListLocal,1,3,524288,100,100,100,51,51,51,20,39
ArrayAlignedF,2,0,524288,35,59,84,31,54,77,1,36
ArrayAlignedF,2,1,524288,38,58,78,31,45,60,1,32
ArrayAlignedF,2,2,524288,36,57,78,32,49,66,1,32
ArrayAlignedF,2,3,524288,35,57,80,31,49,68,1,34
ArrayLockedF,2,0,524288,31,50,69,32,46,61,1,30
ArrayLockedF,2,1,524288,29,42,56,29,30,32,1,22
ArrayLockedF,2,2,524288,30,36,42,30,30,31,1,19
ArrayLockedF,2,3,524288,29,29,30,31,31,32,1,16
ArrayAtomicF,2,0,524288,29,35,42,30,30,30,1,19
ArrayAtomicF,2,1,524288,28,28,29,33,34,35,1,16
ArrayAtomicF,2,2,524288,29,30,32,31,31,32,1,16
ArrayAtomicF,2,3,524288,29,36,44,29,29,29,1,19
TableF,2,0,524288,28,34,41,30,31,32,1,18
TableF,2,1,524288,29,29,30,31,32,33,1,16
TableF,2,2,524288,30,36,43,31,31,31,1,19
TableF,2,3,524288,29,30,31,30,31,33,1,16
ArrayAlignedD,2,0,524288,52,55,58,28,28,29,1,22
ArrayAlignedD,2,1,524288,51,52,53,29,30,31,1,21
ArrayAlignedD,2,2,524288,52,58,64,30,30,30,1,24
ArrayAlignedD,2,3,524288,53,54,56,28,29,30,1,22
ArrayLockedD,2,0,524288,44,45,46,27,27,28,1,19
ArrayLockedD,2,1,524288,45,46,48,26,26,26,1,19
ArrayLockedD,2,2,524288,45,46,47,26,26,27,1,19
ArrayLockedD,2,3,524288,44,45,47,26,26,26,1,19
