alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedF,1,0,1048576,4667,4667,4667,3667,3667,3667,1,0
ArrayAlignedF,1,1,1048576,3334,3334,3334,3291,3291,3291,0,0
ArrayAlignedF,1,2,1048576,3084,3084,3084,2917,2917,2917,0,0
ArrayAlignedF,1,3,1048576,3500,3500,3500,2875,2875,2875,0,0
ArrayLockedF,1,0,1048576,3667,3667,3667,3334,3334,3334,0,0
ArrayLockedF,1,1,1048576,3334,3334,3334,3000,3000,3000,0,0
ArrayLockedF,1,2,1048576,3208,3208,3208,2834,2834,2834,0,0
ArrayLockedF,1,3,1048576,3083,3083,3083,3125,3125,3125,0,0
ArrayAtomicF,1,0,1048576,3625,3625,3625,3417,3417,3417,0,0
ArrayAtomicF,1,1,1048576,3250,3250,3250,3000,3000,3000,0,0
ArrayAtomicF,1,2,1048576,3126,3126,3126,3000,3000,3000,0,0
ArrayAtomicF,1,3,1048576,3084,3084,3084,3000,3000,3000,0,0
TableF,1,0,1048576,3875,3875,3875,3750,3750,3750,0,0
TableF,1,1,1048576,3334,3334,3334,3167,3167,3167,0,0
TableF,1,2,1048576,3208,3208,3208,3001,3001,3001,0,0
TableF,1,3,1048576,3459,3459,3459,3000,3000,3000,0,0
ArrayAlignedD,1,0,1048576,3792,3792,3792,458704,458704,458704,1,0
ArrayAlignedD,1,1,1048576,3875,3875,3875,431160,431160,431160,1,0
ArrayAlignedD,1,2,1048576,3167,3167,3167,348653,348653,348653,0,0
ArrayAlignedD,1,3,1048576,3001,3001,3001,347070,347070,347070,0,0
ArrayLockedD,1,0,1048576,3667,3667,3667,348570,348570,348570,0,0
ArrayLockedD,1,1,1048576,3250,3250,3250,366738,366738,366738,0,0
ArrayLockedD,1,2,1048576,3167,3167,3167,346653,346653,346653,0,0
ArrayLockedD,1,3,1048576,3042,3042,3042,346278,346278,346278,0,0
ArrayAtomicD,1,0,1048576,3417,3417,3417,346945,346945,346945,0,0
ArrayAtomicD,1,1,1048576,3042,3042,3042,347237,347237,347237,0,0
ArrayAtomicD,1,2,1048576,3292,3292,3292,346112,346112,346112,0,0
ArrayAtomicD,1,3,1048576,3250,3250,3250,346403,346403,346403,0,0
TableD,1,0,1048576,4001,4001,4001,353362,353362,353362,0,0
TableD,1,1,1048576,3750,3750,3750,350111,350111,350111,0,0
TableD,1,2,1048576,3334,3334,3334,349361,349361,349361,0,0
TableD,1,3,1048576,3667,3667,3667,363988,363988,363988,0,0
ArrayAlignedF,2,0,1048576,4542,5104,5667,3876,4084,4292,3,0
ArrayAlignedF,2,1,1048576,2917,3646,4375,3125,3500,3875,1,0
ArrayAlignedF,2,2,1048576,3167,3209,3251,3041,3437,3834,1,0
ArrayAlignedF,2,3,1048576,3250,3417,3584,2751,3417,4084,0,0
ArrayLockedF,2,0,1048576,3000,3542,4084,2750,3583,4417,0,0
ArrayLockedF,2,1,1048576,3000,3250,3501,2583,3312,4042,0,0
ArrayLockedF,2,2,1048576,3416,3812,4209,3334,3730,4126,0,0
ArrayLockedF,2,3,1048576,2667,3167,3667,2750,3083,3417,0,0
ArrayAtomicF,2,0,1048576,2916,3416,3917,2750,3666,4583,0,0
ArrayAtomicF,2,1,1048576,2708,3062,3416,3500,3833,4167,0,0
ArrayAtomicF,2,2,1048576,3000,3250,3500,2750,3500,4250,0,0
ArrayAtomicF,2,3,1048576,3000,3145,3291,2751,3459,4167,0,0
TableF,2,0,1048576,2750,3333,3917,2709,3709,4709,0,0
TableF,2,1,1048576,2917,3479,4042,2834,3625,4417,0,0
TableF,2,2,1048576,3000,3250,3500,2792,3479,4167,0,0
TableF,2,3,1048576,3000,3208,3417,2833,3604,4375,0,0
ArrayAlignedD,2,0,1048576,3458,4208,4959,520584,662324,804065,3,0
ArrayAlignedD,2,1,1048576,3000,3041,3083,500707,633176,765645,3,0
ArrayAlignedD,2,2,1048576,2834,3042,3250,510958,639343,767728,3,0
ArrayAlignedD,2,3,1048576,2875,2917,2959,506291,634468,762645,3,0
ArrayLockedD,2,0,1048576,2709,2854,3000,481914,614696,747478,3,0
ArrayLockedD,2,1,1048576,2750,3333,3917,477455,608591,739727,3,0
ArrayLockedD,2,2,1048576,2834,3208,3583,476247,610174,744102,3,0
ArrayLockedD,2,3,1048576,2834,3459,4084,473997,607841,741685,3,0
ArrayAtomicD,2,0,1048576,2958,3812,4667,469830,605737,741644,3,0
ArrayAtomicD,2,1,1048576,2917,3583,4250,468247,603862,739477,3,0
ArrayAtomicD,2,2,1048576,2583,2770,2958,476039,616092,756145,3,0
ArrayAtomicD,2,3,1048576,2500,2750,3000,468163,605840,743518,3,0
TableD,2,0,1048576,2917,4167,5417,459245,614320,769396,3,0
TableD,2,1,1048576,3000,4000,5000,431868,578359,724850,3,0
TableD,2,2,1048576,2917,3917,4917,421867,573504,725142,3,0
TableD,2,3,1048576,2916,3895,4875,418576,572942,727309,3,0
ArrayAlignedF,4,0,1048576,2917,4646,5542,3333,3760,4750,6,0
ArrayAlignedF,4,1,1048576,2417,3896,4458,2917,3042,3167,5,0
ArrayAlignedF,4,2,1048576,5417,5510,5542,2917,3667,3917,4,0
ArrayAlignedF,4,3,1048576,2667,3916,4458,2917,3271,3500,4,0
ArrayLockedF,4,0,1048576,2667,3583,5834,2833,3125,3584,4,0
ArrayLockedF,4,1,1048576,2959,4490,5001,3042,3208,3376,3,0
ArrayLockedF,4,2,1048576,2917,5021,7834,3083,3489,3667,3,0
ArrayLockedF,4,3,1048576,2917,3490,4042,2833,3625,4333,3,0
ArrayAtomicF,4,0,1048576,2834,3760,4083,2916,2999,3167,3,0
ArrayAtomicF,4,1,1048576,2917,3542,4000,3000,4312,4750,3,0
ArrayAtomicF,4,2,1048576,2876,3573,3917,3000,3291,3458,3,0
ArrayAtomicF,4,3,1048576,2916,3833,4251,2959,4114,4500,3,0
TableF,4,0,1048576,3250,4469,5001,3000,3354,3500,3,0
TableF,4,1,1048576,2751,4271,5667,2667,4354,4917,3,0
TableF,4,2,1048576,2792,3729,4792,3000,3136,3292,3,0
TableF,4,3,1048576,2584,2708,2958,2583,3312,4001,3,0
ArrayAlignedD,4,0,1048576,4792,4969,5500,600173,769218,949327,7,0
ArrayAlignedD,4,1,1048576,3000,3000,3000,584631,739935,930242,7,0
ArrayAlignedD,4,2,1048576,2917,3625,5250,561545,713703,881571,6,0
ArrayAlignedD,4,3,1048576,2667,4000,4542,553045,711932,880613,6,0
ArrayLockedD,4,0,1048576,2833,3500,3917,552503,707557,874529,6,0
ArrayLockedD,4,1,1048576,2834,4083,4500,551420,710140,876154,6,0
ArrayLockedD,4,2,1048576,2875,4635,6375,558670,722235,909532,6,0
ArrayLockedD,4,3,1048576,2750,3416,4333,550044,711661,872904,6,0
ArrayAtomicD,4,0,1048576,2875,3427,4750,550212,707682,873279,6,0
ArrayAtomicD,4,1,1048576,2917,4072,4458,552378,712162,876613,6,0
ArrayAtomicD,4,2,1048576,2916,3333,4500,550878,714818,881447,6,0
ArrayAtomicD,4,3,1048576,2750,3698,4084,554170,712985,881321,6,0
TableD,4,0,1048576,2750,3708,4542,532876,660011,816774,6,0
TableD,4,1,1048576,2875,3875,4417,505750,662960,872196,7,0
TableD,4,2,1048576,3000,3666,4167,457870,648906,850986,7,0
TableD,4,3,1048576,2750,4125,4917,474705,655271,843027,6,0
ArrayAlignedF,8,0,1048576,2583,3531,5458,2917,3396,3792,13,0
ArrayAlignedF,8,1,1048576,3083,4240,4584,2834,3115,3834,13,0
ArrayAlignedF,8,2,1048576,2834,4193,4500,2584,3271,3501,13,0
ArrayAlignedF,8,3,1048576,2667,3578,4875,2959,3146,3500,13,0
ArrayLockedF,8,0,1048576,2834,3677,6584,3000,4239,6209,13,0
ArrayLockedF,8,1,1048576,2876,3870,4917,3084,3828,6667,13,0
ArrayLockedF,8,2,1048576,2917,3990,6418,3000,3817,6292,13,0
ArrayLockedF,8,3,1048576,2667,4042,4667,3000,4072,6083,13,0
