alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedF,1,0,1398101,283,283,283,283,283,283,3,0
ArrayAlignedF,1,1,1398101,279,279,279,279,279,279,1,0
ArrayAlignedF,1,2,1398101,277,277,277,277,277,277,0,0
ArrayAlignedF,1,3,1398101,272,272,272,272,272,272,0,0
ArrayLockedF,1,0,1398101,263,263,263,263,263,263,0,0
ArrayLockedF,1,1,1398101,261,261,261,261,261,261,0,0
ArrayLockedF,1,2,1398101,259,259,259,259,259,259,0,0
ArrayLockedF,1,3,1398101,256,256,256,256,256,256,0,0
ArrayAtomicF,1,0,1398101,272,272,272,272,272,272,0,0
ArrayAtomicF,1,1,1398101,271,271,271,271,271,271,0,0
ArrayAtomicF,1,2,1398101,268,268,268,268,268,268,0,0
ArrayAtomicF,1,3,1398101,284,284,284,284,284,284,0,0
TableF,1,0,1398101,317,317,317,317,317,317,0,0
TableF,1,1,1398101,286,286,286,286,286,286,0,0
TableF,1,2,1398101,283,283,283,283,283,283,0,0
TableF,1,3,1398101,281,281,281,281,281,281,0,0
ArrayAlignedD,1,0,1398101,2903,2903,2903,2903,2903,2903,6,3
ArrayAlignedD,1,1,1398101,2857,2857,2857,2857,2857,2857,7,3
ArrayAlignedD,1,2,1398101,2820,2820,2820,2820,2820,2820,7,3
ArrayAlignedD,1,3,1398101,2790,2790,2790,2790,2790,2790,7,3
ArrayLockedD,1,0,1398101,2674,2674,2674,2674,2674,2674,7,3
ArrayLockedD,1,1,1398101,2724,2724,2724,2724,2724,2724,7,3
ArrayLockedD,1,2,1398101,2809,2809,2809,2809,2809,2809,6,3
ArrayLockedD,1,3,1398101,2865,2865,2865,2865,2865,2865,7,3
ArrayAtomicD,1,0,1398101,2794,2794,2794,2794,2794,2794,7,3
ArrayAtomicD,1,1,1398101,2877,2877,2877,2877,2877,2877,7,3
ArrayAtomicD,1,2,1398101,2745,2745,2745,2745,2745,2745,7,3
ArrayAtomicD,1,3,1398101,2780,2780,2780,2780,2780,2780,6,3
TableD,1,0,1398101,2752,2752,2752,2752,2752,2752,7,3
TableD,1,1,1398101,2761,2761,2761,2761,2761,2761,6,3
TableD,1,2,1398101,2709,2709,2709,2709,2709,2709,7,3
TableD,1,3,1398101,2798,2798,2798,2798,2798,2798,6,3
ArrayAlignedF,2,0,1398101,563,585,607,563,585,607,7,0
ArrayAlignedF,2,1,1398101,483,514,546,483,514,546,4,0
ArrayAlignedF,2,2,1398101,543,620,698,543,620,698,3,0
ArrayAlignedF,2,3,1398101,572,609,647,572,609,647,1,0
ArrayLockedF,2,0,1398101,413,447,482,413,447,482,1,0
ArrayLockedF,2,1,1398101,491,500,510,491,500,510,1,0
ArrayLockedF,2,2,1398101,505,524,543,505,524,543,1,0
ArrayLockedF,2,3,1398101,474,486,499,474,486,499,1,0
ArrayAtomicF,2,0,1398101,514,516,519,514,516,519,1,0
ArrayAtomicF,2,1,1398101,478,506,535,478,506,535,1,0
ArrayAtomicF,2,2,1398101,502,502,502,502,502,502,1,0
ArrayAtomicF,2,3,1398101,492,512,532,492,512,532,1,0
TableF,2,0,1398101,482,536,591,482,536,591,1,0
TableF,2,1,1398101,545,584,624,545,584,624,1,0
TableF,2,2,1398101,522,575,629,522,575,629,1,0
TableF,2,3,1398101,571,601,631,571,601,631,1,0
ArrayAlignedD,2,0,1398101,3595,5226,6858,3595,5226,6858,14,6
ArrayAlignedD,2,1,1398101,3490,5142,6794,3490,5142,6794,14,6
ArrayAlignedD,2,2,1398101,3431,5098,6766,3431,5098,6766,14,6
ArrayAlignedD,2,3,1398101,3467,5190,6913,3467,5190,6913,14,6
ArrayLockedD,2,0,1398101,3475,5186,6898,3475,5186,6898,14,6
ArrayLockedD,2,1,1398101,3490,5123,6757,3490,5123,6757,14,6
ArrayLockedD,2,2,1398101,3388,5093,6799,3388,5093,6799,14,6
ArrayLockedD,2,3,1398101,3431,5142,6854,3431,5142,6854,14,6
ArrayAtomicD,2,0,1398101,3377,5159,6941,3377,5159,6941,14,6
ArrayAtomicD,2,1,1398101,3323,5010,6698,3323,5010,6698,14,6
ArrayAtomicD,2,2,1398101,3418,5080,6743,3418,5080,6743,14,6
ArrayAtomicD,2,3,1398101,3522,5181,6840,3522,5181,6840,14,6
TableD,2,0,1398101,3370,4965,6561,3370,4965,6561,15,6
TableD,2,1,1398101,3304,4942,6580,3304,4942,6580,14,6
TableD,2,2,1398101,3456,5132,6809,3456,5132,6809,14,6
TableD,2,3,1398101,3299,4991,6684,3299,4991,6684,14,6
ArrayAlignedF,4,0,1398101,694,768,853,694,768,853,21,0
ArrayAlignedF,4,1,1398101,632,715,772,632,715,772,20,0
ArrayAlignedF,4,2,1398101,726,772,818,726,772,818,19,0
ArrayAlignedF,4,3,1398101,631,745,826,631,745,826,18,0
ArrayLockedF,4,0,1398101,815,862,909,815,862,909,18,1
ArrayLockedF,4,1,1398101,849,885,918,849,885,918,18,1
ArrayLockedF,4,2,1398101,829,862,896,829,862,896,17,1
ArrayLockedF,4,3,1398101,793,834,880,793,834,880,17,1
ArrayAtomicF,4,0,1398101,482,562,644,482,562,644,17,0
ArrayAtomicF,4,1,1398101,567,666,755,567,666,755,17,0
ArrayAtomicF,4,2,1398101,606,677,731,606,677,731,17,0
ArrayAtomicF,4,3,1398101,591,738,832,591,738,832,17,0
TableF,4,0,1398101,810,991,1107,810,991,1107,17,1
TableF,4,1,1398101,948,1011,1084,948,1011,1084,16,1
TableF,4,2,1398101,956,1025,1093,956,1025,1093,17,1
TableF,4,3,1398101,888,1016,1104,888,1016,1104,16,1
ArrayAlignedD,4,0,1398101,8767,10944,13115,8767,10944,13115,28,14
ArrayAlignedD,4,1,1398101,8488,10803,12873,8488,10803,12873,28,14
ArrayAlignedD,4,2,1398101,7922,10614,12944,7922,10614,12944,28,14
ArrayAlignedD,4,3,1398101,7872,10353,12729,7872,10353,12729,29,13
ArrayLockedD,4,0,1398101,7235,10100,12664,7235,10100,12664,28,13
ArrayLockedD,4,1,1398101,8784,10638,12585,8784,10638,12585,28,14
ArrayLockedD,4,2,1398101,9475,11351,13201,9475,11351,13201,28,15
ArrayLockedD,4,3,1398101,8320,10893,12993,8320,10893,12993,28,14
ArrayAtomicD,4,0,1398101,7998,10448,12833,7998,10448,12833,29,13
ArrayAtomicD,4,1,1398101,9357,11760,13917,9357,11760,13917,29,15
ArrayAtomicD,4,2,1398101,7873,10483,13086,7873,10483,13086,28,13
ArrayAtomicD,4,3,1398101,7567,10237,12855,7567,10237,12855,29,13
TableD,4,0,1398101,7983,10269,12639,7983,10269,12639,29,13
TableD,4,1,1398101,7279,10064,12659,7279,10064,12659,29,13
TableD,4,2,1398101,7657,10119,12544,7657,10119,12544,28,13
TableD,4,3,1398101,7783,10300,12864,7783,10300,12864,29,13
ArrayAlignedF,8,0,1398101,768,900,1022,768,900,1022,40,1
ArrayAlignedF,8,1,1398101,870,920,989,870,920,989,41,1
ArrayAlignedF,8,2,1398101,717,806,903,717,806,903,41,0
ArrayAlignedF,8,3,1398101,630,850,936,630,850,936,41,0
ArrayLockedF,8,0,1398101,576,980,1161,576,980,1161,41,0
ArrayLockedF,8,1,1398101,791,978,1071,791,978,1071,41,1
ArrayLockedF,8,2,1398101,635,988,1128,635,988,1128,41,0
ArrayLockedF,8,3,1398101,449,1051,1191,449,1051,1191,41,0
ArrayAtomicF,8,0,1398101,928,1020,1144,928,1020,1144,41,1
ArrayAtomicF,8,1,1398101,790,1038,1225,790,1038,1225,41,1
ArrayAtomicF,8,2,1398101,788,1007,1113,788,1007,1113,40,1
ArrayAtomicF,8,3,1398101,954,1121,1277,954,1121,1277,40,1
TableF,8,0,1398101,557,1235,1483,557,1235,1483,41,1
TableF,8,1,1398101,556,1215,1533,556,1215,1533,41,1
TableF,8,2,1398101,784,1192,1442,784,1192,1442,41,1
TableF,8,3,1398101,903,1237,1472,903,1237,1472,40,1
ArrayAlignedD,8,0,1398101,29493,31277,32435,29493,31277,32435,56,42
ArrayAlignedD,8,1,1398101,28909,30554,32094,28909,30554,32094,56,41
ArrayAlignedD,8,2,1398101,29396,31468,32472,29396,31468,32472,56,42
ArrayAlignedD,8,3,1398101,29651,31094,32230,29651,31094,32230,56,41
ArrayLockedD,8,0,1398101,21985,27758,32800,21985,27758,32800,56,37
ArrayLockedD,8,1,1398101,23766,27232,30659,23766,27232,30659,57,36
ArrayLockedD,8,2,1398101,22031,28709,32021,22031,28709,32021,57,38
ArrayLockedD,8,3,1398101,22145,28172,31752,22145,28172,31752,57,38
ArrayAtomicD,8,0,1398101,24471,28304,32188,24471,28304,32188,56,38
ArrayAtomicD,8,1,1398101,17761,26088,32530,17761,26088,32530,57,35
ArrayAtomicD,8,2,1398101,21707,27787,33198,21707,27787,33198,57,37
ArrayAtomicD,8,3,1398101,19496,27235,33626,19496,27235,33626,57,36
TableD,8,0,1398101,18989,26954,32866,18989,26954,32866,56,36
TableD,8,1,1398101,24711,28097,31454,24711,28097,31454,56,37
TableD,8,2,1398101,18530,26912,32120,18530,26912,32120,57,36
TableD,8,3,1398101,23908,27519,31360,23908,27519,31360,57,37
