alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedF,1,0,524288,710,710,710,710,710,710,0,0
ArrayAlignedF,1,1,524288,707,707,707,707,707,707,0,0
ArrayAlignedF,1,2,524288,706,706,706,706,706,706,0,0
ArrayAlignedF,1,3,524288,707,707,707,707,707,707,0,0
ArrayLockedF,1,0,524288,687,687,687,687,687,687,0,0
ArrayLockedF,1,1,524288,686,686,686,686,686,686,0,0
ArrayLockedF,1,2,524288,684,684,684,684,684,684,0,0
ArrayLockedF,1,3,524288,685,685,685,685,685,685,0,0
ArrayAtomicF,1,0,524288,686,686,686,686,686,686,0,0
ArrayAtomicF,1,1,524288,683,683,683,683,683,683,0,0
ArrayAtomicF,1,2,524288,722,722,722,722,722,722,0,0
ArrayAtomicF,1,3,524288,683,683,683,683,683,683,0,0
TableF,1,0,524288,692,692,692,692,692,692,0,0
TableF,1,1,524288,691,691,691,691,691,691,0,0
TableF,1,2,524288,691,691,691,691,691,691,0,0
TableF,1,3,524288,551,551,551,551,551,551,0,0
ArrayAlignedD,1,0,524288,1433,1433,1433,1433,1433,1433,0,0
ArrayAlignedD,1,1,524288,1323,1323,1323,1323,1323,1323,0,0
ArrayAlignedD,1,2,524288,1320,1320,1320,1320,1320,1320,0,0
ArrayAlignedD,1,3,524288,1344,1344,1344,1344,1344,1344,0,0
ArrayLockedD,1,0,524288,1218,1218,1218,1218,1218,1218,0,0
ArrayLockedD,1,1,524288,1211,1211,1211,1211,1211,1211,0,0
ArrayLockedD,1,2,524288,1292,1292,1292,1292,1292,1292,0,0
ArrayLockedD,1,3,524288,1215,1215,1215,1215,1215,1215,0,0
ArrayAtomicD,1,0,524288,945,945,945,945,945,945,0,0
ArrayAtomicD,1,1,524288,935,935,935,935,935,935,0,0
ArrayAtomicD,1,2,524288,973,973,973,973,973,973,0,0
ArrayAtomicD,1,3,524288,936,936,936,936,936,936,0,0
TableD,1,0,524288,950,950,950,950,950,950,0,0
TableD,1,1,524288,982,982,982,982,982,982,0,0
TableD,1,2,524288,933,933,933,933,933,933,0,0
TableD,1,3,524288,936,936,936,936,936,936,0,0
ArrayAlignedF,2,0,524288,338,520,703,338,520,703,1,0
ArrayAlignedF,2,1,524288,258,479,701,258,479,701,0,0
ArrayAlignedF,2,2,524288,256,478,700,256,478,700,0,0
ArrayAlignedF,2,3,524288,256,478,701,256,478,701,0,0
ArrayLockedF,2,0,524288,250,465,681,250,465,681,1,0
ArrayLockedF,2,1,524288,252,466,681,252,466,681,0,0
ArrayLockedF,2,2,524288,250,464,679,250,464,679,0,0
ArrayLockedF,2,3,524288,251,466,682,251,466,682,0,0
ArrayAtomicF,2,0,524288,686,692,699,686,692,699,0,0
ArrayAtomicF,2,1,524288,678,686,695,678,686,695,0,0
ArrayAtomicF,2,2,524288,684,690,696,684,690,696,0,0
ArrayAtomicF,2,3,524288,678,685,693,678,685,693,0,0
TableF,2,0,524288,689,692,696,689,692,696,0,0
TableF,2,1,524288,688,692,696,688,692,696,0,0
TableF,2,2,524288,687,690,694,687,690,694,0,0
TableF,2,3,524288,687,690,694,687,690,694,0,0
ArrayAlignedD,2,0,524288,1982,2117,2252,1982,2117,2252,1,1
ArrayAlignedD,2,1,524288,1827,2015,2203,1827,2015,2203,1,0
ArrayAlignedD,2,2,524288,1835,2020,2206,1835,2020,2206,1,0
ArrayAlignedD,2,3,524288,1682,1941,2201,1682,1941,2201,1,0
ArrayLockedD,2,0,524288,1504,1785,2066,1504,1785,2066,1,0
ArrayLockedD,2,1,524288,1536,1681,1826,1536,1681,1826,1,0
ArrayLockedD,2,2,524288,1642,1769,1896,1642,1769,1896,0,0
ArrayLockedD,2,3,524288,1589,1859,2129,1589,1859,2129,0,0
ArrayAtomicD,2,0,524288,1421,1649,1878,1421,1649,1878,1,0
ArrayAtomicD,2,1,524288,1404,1461,1519,1404,1461,1519,1,0
ArrayAtomicD,2,2,524288,1392,1476,1560,1392,1476,1560,0,0
ArrayAtomicD,2,3,524288,1395,1725,2055,1395,1725,2055,0,0
TableD,2,0,524288,1276,1603,1930,1276,1603,1930,0,0
TableD,2,1,524288,1261,1447,1633,1261,1447,1633,0,0
TableD,2,2,524288,1285,1471,1657,1285,1471,1657,0,0
TableD,2,3,524288,1270,1332,1394,1270,1332,1394,1,0
ArrayAlignedF,4,0,524288,550,659,711,550,659,711,3,0
ArrayAlignedF,4,1,524288,546,657,707,546,657,707,1,0
ArrayAlignedF,4,2,524288,547,657,706,547,657,706,1,0
ArrayAlignedF,4,3,524288,547,657,705,547,657,705,1,0
ArrayLockedF,4,0,524288,657,679,693,657,679,693,0,0
ArrayLockedF,4,1,524288,655,680,693,655,680,693,1,0
ArrayLockedF,4,2,524288,653,680,700,653,680,700,0,0
ArrayLockedF,4,3,524288,653,678,689,653,678,689,0,0
ArrayAtomicF,4,0,524288,662,679,687,662,679,687,0,0
ArrayAtomicF,4,1,524288,656,678,687,656,678,687,0,0
ArrayAtomicF,4,2,524288,656,678,688,656,678,688,0,0
ArrayAtomicF,4,3,524288,653,686,709,653,686,709,0,0
TableF,4,0,524288,660,681,692,660,681,692,1,0
TableF,4,1,524288,657,681,692,657,681,692,0,0
TableF,4,2,524288,707,722,735,707,722,735,0,0
TableF,4,3,524288,658,682,694,658,682,694,0,0
ArrayAlignedD,4,0,524288,2015,2235,2465,2015,2235,2465,3,1
ArrayAlignedD,4,1,524288,1939,2153,2370,1939,2153,2370,3,0
ArrayAlignedD,4,2,524288,1920,2180,2426,1920,2180,2426,3,0
ArrayAlignedD,4,3,524288,1907,2156,2462,1907,2156,2462,2,0
ArrayLockedD,4,0,524288,1732,1987,2219,1732,1987,2219,2,0
