alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedF,1,0,1398101,59,59,59,59,59,59,3,41
ArrayAlignedF,1,1,1398101,58,58,58,58,58,58,1,41
ArrayAlignedF,1,2,1398101,58,58,58,58,58,58,1,41
ArrayAlignedF,1,3,1398101,59,59,59,59,59,59,1,41
ArrayLockedF,1,0,1398101,49,49,49,49,49,49,1,34
ArrayLockedF,1,1,1398101,50,50,50,50,50,50,1,35
ArrayLockedF,1,2,1398101,50,50,50,50,50,50,1,35
ArrayLockedF,1,3,1398101,50,50,50,50,50,50,1,35
ArrayAtomicF,1,0,1398101,50,50,50,50,50,50,1,35
ArrayAtomicF,1,1,1398101,50,50,50,50,50,50,1,35
ArrayAtomicF,1,2,1398101,50,50,50,50,50,50,1,35
ArrayAtomicF,1,3,1398101,49,49,49,49,49,49,1,34
TableF,1,0,1398101,50,50,50,50,50,50,1,34
TableF,1,1,1398101,50,50,50,50,50,50,1,34
TableF,1,2,1398101,50,50,50,50,50,50,1,34
TableF,1,3,1398101,51,51,51,51,51,51,1,35
ArrayAlignedD,1,0,1398101,80,80,80,80,80,80,7,56
ArrayAlignedD,1,1,1398101,77,77,77,77,77,77,7,54
ArrayAlignedD,1,2,1398101,77,77,77,77,77,77,7,54
ArrayAlignedD,1,3,1398101,77,77,77,77,77,77,7,54
ArrayLockedD,1,0,1398101,68,68,68,68,68,68,7,47
ArrayLockedD,1,1,1398101,66,66,66,66,66,66,7,46
ArrayLockedD,1,2,1398101,68,68,68,68,68,68,7,47
ArrayLockedD,1,3,1398101,67,67,67,67,67,67,7,47
ArrayAtomicD,1,0,1398101,65,65,65,65,65,65,7,45
ArrayAtomicD,1,1,1398101,65,65,65,65,65,65,7,45
ArrayAtomicD,1,2,1398101,65,65,65,65,65,65,7,45
ArrayAtomicD,1,3,1398101,65,65,65,65,65,65,7,45
TableD,1,0,1398101,62,62,62,62,62,62,7,43
TableD,1,1,1398101,61,61,61,61,61,61,7,43
TableD,1,2,1398101,62,62,62,62,62,62,7,43
TableD,1,3,1398101,61,61,61,61,61,61,7,43
ArrayAlignedP,1,0,1398101,65,65,65,65,65,65,0,45
ArrayAlignedP,1,1,1398101,65,65,65,65,65,65,0,45
ArrayAlignedP,1,2,1398101,64,64,64,64,64,64,0,45
ArrayAlignedP,1,3,1398101,64,64,64,64,64,64,0,45
ArrayLockedP,1,0,1398101,55,55,55,55,55,55,0,38
ArrayLockedP,1,1,1398101,55,55,55,55,55,55,0,38
ArrayLockedP,1,2,1398101,55,55,55,55,55,55,0,38
ArrayLockedP,1,3,1398101,55,55,55,55,55,55,0,38
ArrayAtomicP,1,0,1398101,56,56,56,56,56,56,0,39
ArrayAtomicP,1,1,1398101,55,55,55,55,55,55,0,38
ArrayAtomicP,1,2,1398101,55,55,55,55,55,55,0,38
ArrayAtomicP,1,3,1398101,55,55,55,55,55,55,0,38
TableP,1,0,1398101,57,57,57,57,57,57,0,39
TableP,1,1,1398101,57,57,57,57,57,57,0,39
TableP,1,2,1398101,56,56,56,56,56,56,0,39
TableP,1,3,1398101,55,55,55,55,55,55,0,38
ListLocal,1,0,1398101,5,5,5,5,5,5,112,3
ListLocal,1,1,1398101,5,5,5,5,5,5,111,3
ListLocal,1,2,1398101,5,5,5,5,5,5,111,3
ListLocal,1,3,1398101,5,5,5,5,5,5,111,3
ArrayAlignedF,2,0,1398101,63,66,69,63,66,69,9,45
ArrayAlignedF,2,1,1398101,63,67,71,63,67,71,7,46
ArrayAlignedF,2,2,1398101,63,68,73,63,68,73,5,47
ArrayAlignedF,2,3,1398101,63,67,72,63,67,72,4,47
ArrayLockedF,2,0,1398101,54,55,56,54,55,56,4,38
ArrayLockedF,2,1,1398101,54,61,68,54,61,68,6,42
ArrayLockedF,2,2,1398101,53,61,70,53,61,70,6,42
ArrayLockedF,2,3,1398101,54,60,66,54,60,66,5,41
ArrayAtomicF,2,0,1398101,53,61,69,53,61,69,4,42
ArrayAtomicF,2,1,1398101,53,60,67,53,60,67,4,41
ArrayAtomicF,2,2,1398101,53,61,70,53,61,70,4,42
ArrayAtomicF,2,3,1398101,53,60,67,53,60,67,4,41
TableF,2,0,1398101,53,55,57,53,55,57,4,38
TableF,2,1,1398101,53,53,54,53,53,54,5,37
TableF,2,2,1398101,50,51,53,50,51,53,5,36
TableF,2,3,1398101,50,54,58,50,54,58,4,37
ArrayAlignedD,2,0,1398101,70,70,71,70,70,71,14,49
ArrayAlignedD,2,1,1398101,70,75,80,70,75,80,14,52
ArrayAlignedD,2,2,1398101,71,76,81,71,76,81,14,53
ArrayAlignedD,2,3,1398101,71,74,78,71,74,78,14,51
ArrayLockedD,2,0,1398101,62,62,63,62,62,63,14,43
ArrayLockedD,2,1,1398101,62,64,67,62,64,67,14,44
ArrayLockedD,2,2,1398101,61,68,75,61,68,75,14,47
ArrayLockedD,2,3,1398101,62,70,78,62,70,78,14,48
ArrayAtomicD,2,0,1398101,61,66,72,61,66,72,14,46
ArrayAtomicD,2,1,1398101,60,60,60,60,60,60,14,42
ArrayAtomicD,2,2,1398101,62,70,78,62,70,78,14,48
ArrayAtomicD,2,3,1398101,61,66,71,61,66,71,14,45
TableD,2,0,1398101,63,63,64,63,63,64,14,44
TableD,2,1,1398101,61,68,76,61,68,76,14,47
TableD,2,2,1398101,61,68,76,61,68,76,14,47
TableD,2,3,1398101,61,68,76,61,68,76,15,47
ArrayAlignedP,2,0,1398101,68,72,77,68,72,77,0,50
ArrayAlignedP,2,1,1398101,65,66,67,65,66,67,0,46
ArrayAlignedP,2,2,1398101,65,66,68,65,66,68,0,46
ArrayAlignedP,2,3,1398101,65,66,67,65,66,67,0,46
ArrayLockedP,2,0,1398101,55,55,55,55,55,55,0,38
ArrayLockedP,2,1,1398101,55,55,56,55,55,56,0,38
ArrayLockedP,2,2,1398101,55,55,56,55,55,56,0,38
ArrayLockedP,2,3,1398101,55,55,56,55,55,56,0,38
ArrayAtomicP,2,0,1398101,55,55,55,55,55,55,0,38
