alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedF,1,0,2097152,1444,1444,1444,1444,1444,1444,4,0
ArrayAlignedF,1,1,2097152,1444,1444,1444,1444,1444,1444,2,0
ArrayAlignedF,1,2,2097152,1125,1125,1125,1125,1125,1125,0,0
ArrayAlignedF,1,3,2097152,1041,1041,1041,1041,1041,1041,0,0
ArrayLockedF,1,0,2097152,1153,1153,1153,1153,1153,1153,0,0
ArrayLockedF,1,1,2097152,1083,1083,1083,1083,1083,1083,0,0
ArrayLockedF,1,2,2097152,1083,1083,1083,1083,1083,1083,0,0
ArrayLockedF,1,3,2097152,1083,1083,1083,1083,1083,1083,0,0
ArrayAtomicF,1,0,2097152,1194,1194,1194,1194,1194,1194,0,0
ArrayAtomicF,1,1,2097152,1111,1111,1111,1111,1111,1111,0,0
ArrayAtomicF,1,2,2097152,1125,1125,1125,1125,1125,1125,0,0
ArrayAtomicF,1,3,2097152,1180,1180,1180,1180,1180,1180,0,0
TableF,1,0,2097152,1444,1444,1444,1444,1444,1444,0,0
TableF,1,1,2097152,1222,1222,1222,1222,1222,1222,0,0
TableF,1,2,2097152,1139,1139,1139,1139,1139,1139,0,0
TableF,1,3,2097152,1139,1139,1139,1139,1139,1139,0,0
ArrayAlignedD,1,0,2097152,1356068,1356068,1356068,1356068,1356068,1356068,10,4
ArrayAlignedD,1,1,2097152,1370805,1370805,1370805,1370805,1370805,1370805,10,4
ArrayAlignedD,1,2,2097152,1337663,1337663,1337663,1337663,1337663,1337663,10,4
ArrayAlignedD,1,3,2097152,1343900,1343900,1343900,1343900,1343900,1343900,10,4
ArrayLockedD,1,0,2097152,1381792,1381792,1381792,1381792,1381792,1381792,10,4
ArrayLockedD,1,1,2097152,1373097,1373097,1373097,1373097,1373097,1373097,10,4
ArrayLockedD,1,2,2097152,1366777,1366777,1366777,1366777,1366777,1366777,10,4
ArrayLockedD,1,3,2097152,1339178,1339178,1339178,1339178,1339178,1339178,10,4
ArrayAtomicD,1,0,2097152,1363193,1363193,1363193,1363193,1363193,1363193,10,4
ArrayAtomicD,1,1,2097152,1303133,1303133,1303133,1303133,1303133,1303133,10,3
ArrayAtomicD,1,2,2097152,1352581,1352581,1352581,1352581,1352581,1352581,10,4
ArrayAtomicD,1,3,2097152,1331857,1331857,1331857,1331857,1331857,1331857,10,3
TableD,1,0,2097152,1336302,1336302,1336302,1336302,1336302,1336302,10,4
TableD,1,1,2097152,1342928,1342928,1342928,1342928,1342928,1342928,10,4
TableD,1,2,2097152,1389557,1389557,1389557,1389557,1389557,1389557,10,4
TableD,1,3,2097152,1350790,1350790,1350790,1350790,1350790,1350790,10,4
ArrayAlignedF,2,0,2097152,1111,1465,1819,1111,1465,1819,13,0
ArrayAlignedF,2,1,2097152,1111,1382,1653,1111,1382,1653,10,0
ArrayAlignedF,2,2,2097152,1055,1340,1625,1055,1340,1625,8,0
ArrayAlignedF,2,3,2097152,1028,1326,1625,1028,1326,1625,5,0
ArrayLockedF,2,0,2097152,1055,1319,1583,1055,1319,1583,3,0
ArrayLockedF,2,1,2097152,1139,1403,1667,1139,1403,1667,3,0
ArrayLockedF,2,2,2097152,1027,1374,1722,1027,1374,1722,3,0
ArrayLockedF,2,3,2097152,1028,1347,1666,1028,1347,1666,3,0
ArrayAtomicF,2,0,2097152,1097,1423,1750,1097,1423,1750,3,0
ArrayAtomicF,2,1,2097152,1041,1360,1680,1041,1360,1680,3,0
ArrayAtomicF,2,2,2097152,1055,1361,1667,1055,1361,1667,3,0
ArrayAtomicF,2,3,2097152,1014,1312,1611,1014,1312,1611,3,0
TableF,2,0,2097152,1861,1944,2028,1861,1944,2028,3,0
TableF,2,1,2097152,944,1347,1750,944,1347,1750,3,0
TableF,2,2,2097152,1027,1381,1736,1027,1381,1736,3,0
TableF,2,3,2097152,1180,1555,1930,1180,1555,1930,3,0
ArrayAlignedD,2,0,2097152,1522067,2500070,3478073,1522067,2500070,3478073,21,7
ArrayAlignedD,2,1,2097152,1500982,2455955,3410929,1500982,2455955,3410929,21,7
ArrayAlignedD,2,2,2097152,1511775,2471255,3430736,1511775,2471255,3430736,21,7
ArrayAlignedD,2,3,2097152,1592976,2560533,3528091,1592976,2560533,3528091,21,7
ArrayLockedD,2,0,2097152,1617825,2560047,3502269,1617825,2560047,3502269,21,7
ArrayLockedD,2,1,2097152,1591281,2559005,3526730,1591281,2559005,3526730,21,7
ArrayLockedD,2,2,2097152,1568613,2528427,3488241,1568613,2528427,3488241,21,7
ArrayLockedD,2,3,2097152,1557779,2526864,3495950,1557779,2526864,3495950,21,7
ArrayAtomicD,2,0,2097152,1577433,2527357,3477281,1577433,2527357,3477281,21,7
ArrayAtomicD,2,1,2097152,1521609,2469255,3416901,1521609,2469255,3416901,21,7
ArrayAtomicD,2,2,2097152,1567335,2510231,3453127,1567335,2510231,3453127,21,7
ArrayAtomicD,2,3,2097152,1511775,2486722,3461669,1511775,2486722,3461669,21,7
TableD,2,0,2097152,1590892,1669357,1747822,1590892,1669357,1747822,21,4
TableD,2,1,2097152,2118338,2199004,2279670,2118338,2199004,2279670,20,6
TableD,2,2,2097152,1933781,2025983,2118185,1933781,2025983,2118185,21,5
TableD,2,3,2097152,1899668,1978153,2056638,1899668,1978153,2056638,21,5
ArrayAlignedF,4,0,2097152,944,1427,1764,944,1427,1764,31,0
ArrayAlignedF,4,1,2097152,1139,2451,2889,1139,2451,2889,30,0
ArrayAlignedF,4,2,2097152,1000,1697,2333,1000,1697,2333,30,0
ArrayAlignedF,4,3,2097152,1069,1569,1736,1069,1569,1736,30,0
ArrayLockedF,4,0,2097152,1000,3211,4833,1000,3211,4833,30,0
ArrayLockedF,4,1,2097152,1167,2750,3972,1167,2750,3972,30,0
ArrayLockedF,4,2,2097152,944,3059,4320,944,3059,4320,30,0
ArrayLockedF,4,3,2097152,1000,5698,7264,1000,5698,7264,30,0
ArrayAtomicF,4,0,2097152,1028,1225,1361,1028,1225,1361,30,0
ArrayAtomicF,4,1,2097152,1083,1777,2430,1083,1777,2430,30,0
ArrayAtomicF,4,2,2097152,1000,1430,2222,1000,1430,2222,30,0
ArrayAtomicF,4,3,2097152,972,1485,1916,972,1485,1916,30,0
TableF,4,0,2097152,1166,1722,2014,1166,1722,2014,30,0
TableF,4,1,2097152,1083,1409,2208,1083,1409,2208,30,0
TableF,4,2,2097152,1361,2055,2458,1361,2055,2458,30,0
TableF,4,3,2097152,1972,2180,2250,1972,2180,2250,30,0
ArrayAlignedD,4,0,2097152,5547574,5928080,6267410,5547574,5928080,6267410,42,17
ArrayAlignedD,4,1,2097152,5539170,5844802,6128385,5539170,5844802,6128385,42,17
ArrayAlignedD,4,2,2097152,5506626,5853383,6173791,5506626,5853383,6173791,42,17
ArrayAlignedD,4,3,2097152,5406174,5770241,6128941,5406174,5770241,6128941,42,17
ArrayLockedD,4,0,2097152,5333404,5728099,6095021,5333404,5728099,6095021,42,17
ArrayLockedD,4,1,2097152,5203755,5614885,5993166,5203755,5614885,5993166,42,16
ArrayLockedD,4,2,2097152,5129623,5606759,6079742,5129623,5606759,6079742,42,16
ArrayLockedD,4,3,2097152,5389422,5761435,6112495,5389422,5761435,6112495,42,17
ArrayAtomicD,4,0,2097152,5054256,5583851,6052365,5054256,5583851,6052365,42,16
ArrayAtomicD,4,1,2097152,5194031,5611867,5992985,5194031,5611867,5992985,43,16
ArrayAtomicD,4,2,2097152,5262718,5692065,6093160,5262718,5692065,6093160,42,16
ArrayAtomicD,4,3,2097152,5367476,5787249,6177722,5367476,5787249,6177722,42,17
TableD,4,0,2097152,2997020,3299926,3603166,2997020,3299926,3603166,42,9
TableD,4,1,2097152,3226219,3229636,3233886,3226219,3229636,3233886,41,9
TableD,4,2,2097152,2200261,2997075,3489157,2200261,2997075,3489157,41,8
TableD,4,3,2097152,2317257,3031578,3273515,2317257,3031578,3273515,42,8
ArrayAlignedF,8,0,2097152,972,1475,2194,972,1475,2194,61,0
ArrayAlignedF,8,1,2097152,889,1371,2069,889,1371,2069,61,0
ArrayAlignedF,8,2,2097152,944,1595,2930,944,1595,2930,61,0
ArrayAlignedF,8,3,2097152,930,1519,2000,930,1519,2000,61,0
ArrayLockedF,8,0,2097152,1028,11130,13820,1028,11130,13820,61,0
ArrayLockedF,8,1,2097152,1000,1871,3139,1000,1871,3139,61,0
ArrayLockedF,8,2,2097152,1028,8309,12264,1028,8309,12264,61,0
ArrayLockedF,8,3,2097152,944,2581,4222,944,2581,4222,61,0
ArrayAtomicF,8,0,2097152,1014,2027,2458,1014,2027,2458,61,0
ArrayAtomicF,8,1,2097152,1041,6982,10681,1041,6982,10681,61,0
ArrayAtomicF,8,2,2097152,1083,4449,6806,1083,4449,6806,61,0
ArrayAtomicF,8,3,2097152,1069,7172,10376,1069,7172,10376,61,0
TableF,8,0,2097152,1750,2321,3125,1750,2321,3125,61,0
TableF,8,1,2097152,1083,2319,3639,1083,2319,3639,61,0
TableF,8,2,2097152,2014,2671,3958,2014,2671,3958,61,0
TableF,8,3,2097152,1305,2201,2472,1305,2201,2472,61,0
ArrayAlignedD,8,0,2097152,11214102,12466097,13742446,11214102,12466097,13742446,84,37
ArrayAlignedD,8,1,2097152,11268551,12504272,13770406,11268551,12504272,13770406,85,36
ArrayAlignedD,8,2,2097152,11359267,12544451,13727292,11359267,12544451,13727292,85,37
ArrayAlignedD,8,3,2097152,11747632,12969065,14122838,11747632,12969065,14122838,84,38
ArrayLockedD,8,0,2097152,11356350,12584076,13826842,11356350,12584076,13826842,85,37
ArrayLockedD,8,1,2097152,11464164,12652967,13875290,11464164,12652967,13875290,84,37
ArrayLockedD,8,2,2097152,11306652,12486865,13712583,11306652,12486865,13712583,84,37
ArrayLockedD,8,3,2097152,11371615,12594360,13867762,11371615,12594360,13867762,84,37
ArrayAtomicD,8,0,2097152,11428564,12671673,13907418,11428564,12671673,13907418,85,37
ArrayAtomicD,8,1,2097152,11428272,12666450,13921502,11428272,12666450,13921502,83,37
ArrayAtomicD,8,2,2097152,11528142,12787351,14035470,11528142,12787351,14035470,84,37
ArrayAtomicD,8,3,2097152,11565492,12762276,13989133,11565492,12762276,13989133,85,37
TableD,8,0,2097152,3666019,4823513,5097982,3666019,4823513,5097982,85,14
TableD,8,1,2097152,1961936,3674185,4413760,1961936,3674185,4413760,84,10
TableD,8,2,2097152,3366383,4413042,4565439,3366383,4413042,4565439,85,12
TableD,8,3,2097152,2326008,4131082,4784609,2326008,4131082,4784609,84,12
ArrayAlignedF,16,0,2097152,833,1585,3000,833,1585,3000,125,0
