alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedF,1,0,524288,65,65,65,65,65,65,0,17
ArrayAlignedF,1,1,524288,62,62,62,62,62,62,0,16
ArrayAlignedF,1,2,524288,63,63,63,63,63,63,0,16
ArrayAlignedF,1,3,524288,63,63,63,63,63,63,0,16
ArrayLockedF,1,0,524288,53,53,53,53,53,53,0,14
ArrayLockedF,1,1,524288,55,55,55,55,55,55,0,14
ArrayLockedF,1,2,524288,54,54,54,54,54,54,0,14
ArrayLockedF,1,3,524288,53,53,53,53,53,53,0,14
ArrayAtomicF,1,0,524288,53,53,53,53,53,53,0,14
ArrayAtomicF,1,1,524288,53,53,53,53,53,53,0,14
ArrayAtomicF,1,2,524288,54,54,54,54,54,54,0,14
ArrayAtomicF,1,3,524288,53,53,53,53,53,53,0,14
TableF,1,0,524288,53,53,53,53,53,53,0,13
TableF,1,1,524288,53,53,53,53,53,53,0,14
TableF,1,2,524288,54,54,54,54,54,54,0,14
TableF,1,3,524288,53,53,53,53,53,53,0,13
ArrayAlignedD,1,0,524288,70,70,70,70,70,70,1,18
ArrayAlignedD,1,1,524288,70,70,70,70,70,70,0,18
ArrayAlignedD,1,2,524288,70,70,70,70,70,70,0,18
ArrayAlignedD,1,3,524288,70,70,70,70,70,70,0,18
ArrayLockedD,1,0,524288,62,62,62,62,62,62,0,16
ArrayLockedD,1,1,524288,63,63,63,63,63,63,0,16
ArrayLockedD,1,2,524288,61,61,61,61,61,61,0,16
ArrayLockedD,1,3,524288,61,61,61,61,61,61,0,16
ArrayAtomicD,1,0,524288,60,60,60,60,60,60,0,15
ArrayAtomicD,1,1,524288,60,60,60,60,60,60,0,15
ArrayAtomicD,1,2,524288,60,60,60,60,60,60,0,15
ArrayAtomicD,1,3,524288,60,60,60,60,60,60,0,15
TableD,1,0,524288,64,64,64,64,64,64,0,16
TableD,1,1,524288,61,61,61,61,61,61,0,16
TableD,1,2,524288,61,61,61,61,61,61,0,16
TableD,1,3,524288,62,62,62,62,62,62,0,16
ArrayAlignedP,1,0,524288,66,66,66,66,66,66,0,17
ArrayAlignedP,1,1,524288,65,65,65,65,65,65,0,17
ArrayAlignedP,1,2,524288,65,65,65,65,65,65,0,17
ArrayAlignedP,1,3,524288,65,65,65,65,65,65,0,17
ArrayLockedP,1,0,524288,56,56,56,56,56,56,0,14
ArrayLockedP,1,1,524288,55,55,55,55,55,55,0,14
