alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedF,1,0,1048576,4167,4167,4167,4167,4167,4167,1,0
ArrayAlignedF,1,1,1048576,3209,3209,3209,3209,3209,3209,0,0
ArrayAlignedF,1,2,1048576,3334,3334,3334,3334,3334,3334,0,0
ArrayAlignedF,1,3,1048576,3000,3000,3000,3000,3000,3000,0,0
ArrayLockedF,1,0,1048576,3542,3542,3542,3542,3542,3542,0,0
ArrayLockedF,1,1,1048576,3001,3001,3001,3001,3001,3001,0,0
ArrayLockedF,1,2,1048576,3000,3000,3000,3000,3000,3000,0,0
ArrayLockedF,1,3,1048576,3000,3000,3000,3000,3000,3000,0,0
ArrayAtomicF,1,0,1048576,3417,3417,3417,3417,3417,3417,0,0
ArrayAtomicF,1,1,1048576,3167,3167,3167,3167,3167,3167,0,0
ArrayAtomicF,1,2,1048576,3001,3001,3001,3001,3001,3001,0,0
ArrayAtomicF,1,3,1048576,3000,3000,3000,3000,3000,3000,0,0
TableF,1,0,1048576,3834,3834,3834,3834,3834,3834,0,0
TableF,1,1,1048576,3167,3167,3167,3167,3167,3167,0,0
TableF,1,2,1048576,3000,3000,3000,3000,3000,3000,0,0
TableF,1,3,1048576,2500,2500,2500,2500,2500,2500,0,0
ArrayAlignedD,1,0,1048576,456162,456162,456162,456162,456162,456162,1,0
ArrayAlignedD,1,1,1048576,426993,426993,426993,426993,426993,426993,1,0
ArrayAlignedD,1,2,1048576,420034,420034,420034,420034,420034,420034,0,0
ArrayAlignedD,1,3,1048576,382489,382489,382489,382489,382489,382489,0,0
ArrayLockedD,1,0,1048576,392740,392740,392740,392740,392740,392740,0,0
ArrayLockedD,1,1,1048576,372405,372405,372405,372405,372405,372405,0,0
ArrayLockedD,1,2,1048576,368654,368654,368654,368654,368654,368654,0,0
ArrayLockedD,1,3,1048576,366238,366238,366238,366238,366238,366238,0,0
ArrayAtomicD,1,0,1048576,367113,367113,367113,367113,367113,367113,0,0
ArrayAtomicD,1,1,1048576,363905,363905,363905,363905,363905,363905,0,0
ArrayAtomicD,1,2,1048576,361696,361696,361696,361696,361696,361696,0,0
ArrayAtomicD,1,3,1048576,393907,393907,393907,393907,393907,393907,0,0
TableD,1,0,1048576,361154,361154,361154,361154,361154,361154,0,0
TableD,1,1,1048576,362363,362363,362363,362363,362363,362363,0,0
TableD,1,2,1048576,359945,359945,359945,359945,359945,359945,0,0
TableD,1,3,1048576,342611,342611,342611,342611,342611,342611,0,0
ArrayAlignedF,2,0,1048576,3250,4209,5168,3250,4209,5168,3,0
ArrayAlignedF,2,1,1048576,3167,3604,4042,3167,3604,4042,1,0
ArrayAlignedF,2,2,1048576,3167,3542,3917,3167,3542,3917,1,0
ArrayAlignedF,2,3,1048576,3333,3708,4083,3333,3708,4083,0,0
ArrayLockedF,2,0,1048576,3334,3709,4084,3334,3709,4084,0,0
ArrayLockedF,2,1,1048576,3250,3583,3917,3250,3583,3917,0,0
ArrayLockedF,2,2,1048576,3542,3854,4167,3542,3854,4167,0,0
ArrayLockedF,2,3,1048576,3334,3605,3876,3334,3605,3876,0,0
ArrayAtomicF,2,0,1048576,3292,3875,4459,3292,3875,4459,0,0
ArrayAtomicF,2,1,1048576,3417,3708,4000,3417,3708,4000,0,0
ArrayAtomicF,2,2,1048576,3334,3542,3750,3334,3542,3750,0,0
ArrayAtomicF,2,3,1048576,3292,3438,3584,3292,3438,3584,0,0
TableF,2,0,1048576,3334,3875,4417,3334,3875,4417,0,0
TableF,2,1,1048576,3250,3646,4042,3250,3646,4042,0,0
TableF,2,2,1048576,3333,3520,3708,3333,3520,3708,0,0
TableF,2,3,1048576,3334,3542,3751,3334,3542,3751,0,0
ArrayAlignedD,2,0,1048576,418451,593506,768562,418451,593506,768562,3,0
ArrayAlignedD,2,1,1048576,391615,536106,680597,391615,536106,680597,2,0
ArrayAlignedD,2,2,1048576,412200,559628,707057,412200,559628,707057,2,0
ArrayAlignedD,2,3,1048576,377739,525292,672846,377739,525292,672846,2,0
ArrayLockedD,2,0,1048576,357196,515667,674138,357196,515667,674138,2,0
ArrayLockedD,2,1,1048576,356238,524272,692306,356238,524272,692306,2,0
ArrayLockedD,2,2,1048576,353320,514958,676597,353320,514958,676597,2,0
ArrayLockedD,2,3,1048576,387406,549419,711433,387406,549419,711433,2,0
ArrayAtomicD,2,0,1048576,352528,513520,674513,352528,513520,674513,2,0
ArrayAtomicD,2,1,1048576,352028,513854,675680,352028,513854,675680,2,0
ArrayAtomicD,2,2,1048576,349403,517104,684805,349403,517104,684805,2,0
ArrayAtomicD,2,3,1048576,366654,533334,700015,366654,533334,700015,2,0
TableD,2,0,1048576,711016,808586,906157,711016,808586,906157,2,0
TableD,2,1,1048576,700348,785501,870654,700348,785501,870654,1,0
TableD,2,2,1048576,698890,782688,866487,698890,782688,866487,1,0
TableD,2,3,1048576,659012,756040,853069,659012,756040,853069,1,0
ArrayAlignedF,4,0,1048576,3000,3667,4750,3000,3667,4750,6,0
ArrayAlignedF,4,1,1048576,3000,3500,3750,3000,3500,3750,5,0
ArrayAlignedF,4,2,1048576,2917,3802,4417,2917,3802,4417,4,0
ArrayAlignedF,4,3,1048576,3251,3615,3917,3251,3615,3917,3,0
ArrayLockedF,4,0,1048576,2958,3469,3834,2958,3469,3834,3,0
ArrayLockedF,4,1,1048576,2792,4083,5084,2792,4083,5084,3,0
ArrayLockedF,4,2,1048576,2583,4374,7333,2583,4374,7333,3,0
ArrayLockedF,4,3,1048576,2876,3823,6209,2876,3823,6209,3,0
ArrayAtomicF,4,0,1048576,3084,5583,6417,3084,5583,6417,3,0
ArrayAtomicF,4,1,1048576,2583,4083,5333,2583,4083,5333,3,0
ArrayAtomicF,4,2,1048576,3001,3708,4959,3001,3708,4959,3,0
ArrayAtomicF,4,3,1048576,3167,3260,3376,3167,3260,3376,3,0
TableF,4,0,1048576,2750,3771,6167,2750,3771,6167,3,0
TableF,4,1,1048576,2542,4000,5084,2542,4000,5084,4,0
TableF,4,2,1048576,2958,5145,5875,2958,5145,5875,3,0
TableF,4,3,1048576,2916,3698,4251,2916,3698,4251,3,0
ArrayAlignedD,4,0,1048576,519876,746165,933826,519876,746165,933826,7,0
ArrayAlignedD,4,1,1048576,562546,710349,859611,562546,710349,859611,7,0
ArrayAlignedD,4,2,1048576,498457,695483,894739,498457,695483,894739,6,0
ArrayAlignedD,4,3,1048576,480622,675950,858278,480622,675950,858278,6,0
ArrayLockedD,4,0,1048576,477330,676377,864403,477330,676377,864403,6,0
ArrayLockedD,4,1,1048576,477497,682555,847527,477497,682555,847527,6,0
ArrayLockedD,4,2,1048576,539668,678919,849528,539668,678919,849528,6,0
ArrayLockedD,4,3,1048576,495123,682951,856445,495123,682951,856445,6,0
ArrayAtomicD,4,0,1048576,479956,675919,862820,479956,675919,862820,6,0
ArrayAtomicD,4,1,1048576,476872,676429,864820,476872,676429,864820,6,0
ArrayAtomicD,4,2,1048576,505666,671002,853569,505666,671002,853569,6,0
ArrayAtomicD,4,3,1048576,506583,667554,852361,506583,667554,852361,6,0
TableD,4,0,1048576,519417,759613,877654,519417,759613,877654,6,0
TableD,4,1,1048576,512417,736487,876029,512417,736487,876029,6,0
TableD,4,2,1048576,767145,837432,895197,767145,837432,895197,5,0
TableD,4,3,1048576,515000,726892,868696,515000,726892,868696,6,0
ArrayAlignedF,8,0,1048576,3000,3468,3750,3000,3468,3750,13,0
ArrayAlignedF,8,1,1048576,2667,3375,3584,2667,3375,3584,13,0
ArrayAlignedF,8,2,1048576,2876,3073,3833,2876,3073,3833,13,0
ArrayAlignedF,8,3,1048576,3083,3734,5750,3083,3734,5750,13,0
ArrayLockedF,8,0,1048576,2958,4786,6334,2958,4786,6334,12,0
ArrayLockedF,8,1,1048576,2667,6338,7917,2667,6338,7917,12,0
ArrayLockedF,8,2,1048576,3375,6359,8584,3375,6359,8584,13,0
ArrayLockedF,8,3,1048576,3209,6094,9668,3209,6094,9668,12,0
ArrayAtomicF,8,0,1048576,2917,3937,4833,2917,3937,4833,12,0
ArrayAtomicF,8,1,1048576,2833,10115,29961,2833,10115,29961,12,0
ArrayAtomicF,8,2,1048576,3209,5037,6418,3209,5037,6418,12,0
ArrayAtomicF,8,3,1048576,2917,3469,3750,2917,3469,3750,12,0
TableF,8,0,1048576,2875,4865,6876,2875,4865,6876,12,0
TableF,8,1,1048576,2875,4635,6168,2875,4635,6168,12,0
TableF,8,2,1048576,3000,3344,3667,3000,3344,3667,12,0
TableF,8,3,1048576,2834,4547,6042,2834,4547,6042,12,0
