alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedF,0,0,2621440,49,53,72,47,61,74,224,34
ArrayAlignedF,0,1,2621440,54,57,77,49,51,55,228,34
ArrayAlignedF,0,2,2621440,39,50,67,40,45,78,233,31
ArrayAlignedF,0,3,2621440,48,52,68,39,52,71,232,32
ArrayLockedF,0,0,2621440,44,49,68,41,46,58,233,30
ArrayLockedF,0,1,2621440,45,48,67,32,53,73,230,31
ArrayLockedF,0,2,2621440,41,47,60,46,51,56,231,28
ArrayLockedF,0,3,2621440,44,47,61,37,53,64,232,31
ArrayAtomicF,0,0,2621440,47,58,69,45,50,65,230,32
ArrayAtomicF,0,1,2621440,46,53,72,32,54,75,229,33
ArrayAtomicF,0,2,2621440,45,50,69,47,53,68,230,32
ArrayAtomicF,0,3,2621440,37,41,56,44,45,49,228,27
TableF,0,0,2621440,37,47,66,45,46,48,231,29
TableF,0,1,2621440,39,50,75,40,43,47,230,31
TableF,0,2,2621440,48,58,74,63,68,72,228,37
TableF,0,3,2621440,51,60,70,50,55,63,228,33
ArrayAlignedD,0,0,2621440,203,280,308,362,386,398,319,181
ArrayAlignedD,0,1,2621440,264,291,318,346,370,383,316,180
ArrayAlignedD,0,2,2621440,262,291,317,347,371,387,317,180
ArrayAlignedD,0,3,2621440,249,282,307,352,372,385,316,178
ArrayLockedD,0,0,2621440,244,295,323,350,372,386,315,182
ArrayLockedD,0,1,2621440,271,297,323,371,393,407,316,187
ArrayLockedD,0,2,2621440,268,303,328,367,387,399,314,187
ArrayLockedD,0,3,2621440,263,296,327,351,373,386,314,183
ArrayAtomicD,0,0,2621440,261,294,322,370,390,402,316,186
ArrayAtomicD,0,1,2621440,294,331,356,350,376,389,315,192
ArrayAtomicD,0,2,2621440,257,307,333,338,363,377,315,182
ArrayAtomicD,0,3,2621440,237,299,325,365,394,406,315,188
TableD,0,0,2621440,289,315,343,350,368,380,314,186
TableD,0,1,2621440,281,310,334,351,372,385,316,185
TableD,0,2,2621440,277,312,340,355,377,389,314,188
TableD,0,3,2621440,257,289,314,352,374,386,314,180
ListLocal,0,0,2621440,648,679,710,688,771,855,4794,388
ListLocal,0,1,2621440,653,683,714,681,766,850,4793,388
ListLocal,0,2,2621440,652,682,712,678,763,855,4796,386
ListLocal,0,3,2621440,655,686,718,681,766,848,4854,389
ArrayAlignedF,10,0,2621440,42,50,87,39,45,53,226,34
ArrayAlignedF,10,1,2621440,59,73,98,72,74,77,230,45
ArrayAlignedF,10,2,2621440,53,56,90,38,58,79,230,38
ArrayAlignedF,10,3,2621440,42,49,60,50,51,54,231,29
ArrayLockedF,10,0,2621440,33,45,74,35,43,52,232,31
ArrayLockedF,10,1,2621440,45,50,75,33,43,56,230,30
ArrayLockedF,10,2,2621440,32,44,74,43,50,59,230,32
ArrayLockedF,10,3,2621440,56,61,71,45,53,63,231,33
ArrayAtomicF,10,0,2621440,32,54,74,44,51,59,232,33
ArrayAtomicF,10,1,2621440,39,49,75,40,46,51,231,31
ArrayAtomicF,10,2,2621440,34,46,76,35,39,49,230,30
ArrayAtomicF,10,3,2621440,36,48,74,34,45,69,228,31
TableF,10,0,2621440,35,48,72,36,42,64,229,30
TableF,10,1,2621440,42,50,77,42,48,62,229,32
TableF,10,2,2621440,32,45,74,34,50,65,231,32
