alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedF,1,0,1398101,197,197,197,197,197,197,3,137
ArrayAlignedF,1,1,1398101,195,195,195,195,195,195,1,136
ArrayAlignedF,1,2,1398101,194,194,194,194,194,194,1,135
ArrayAlignedF,1,3,1398101,194,194,194,194,194,194,1,135
ArrayLockedF,1,0,1398101,398,398,398,398,398,398,1,277
ArrayLockedF,1,1,1398101,389,389,389,389,389,389,1,271
ArrayLockedF,1,2,1398101,389,389,389,389,389,389,1,271
ArrayLockedF,1,3,1398101,389,389,389,389,389,389,1,271
ArrayAtomicF,1,0,1398101,390,390,390,390,390,390,1,272
ArrayAtomicF,1,1,1398101,389,389,389,389,389,389,1,271
ArrayAtomicF,1,2,1398101,389,389,389,389,389,389,1,271
ArrayAtomicF,1,3,1398101,398,398,398,398,398,398,1,277
TableF,1,0,1398101,391,391,391,391,391,391,1,273
TableF,1,1,1398101,389,389,389,389,389,389,1,272
TableF,1,2,1398101,390,390,390,390,390,390,1,272
TableF,1,3,1398101,390,390,390,390,390,390,1,272
ArrayAlignedD,1,0,1398101,375,375,375,375,375,375,7,262
ArrayAlignedD,1,1,1398101,364,364,364,364,364,364,7,254
ArrayAlignedD,1,2,1398101,373,373,373,373,373,373,7,261
ArrayAlignedD,1,3,1398101,367,367,367,367,367,367,7,256
ArrayLockedD,1,0,1398101,769,769,769,769,769,769,7,537
ArrayLockedD,1,1,1398101,763,763,763,763,763,763,7,533
ArrayLockedD,1,2,1398101,764,764,764,764,764,764,7,534
ArrayLockedD,1,3,1398101,775,775,775,775,775,775,7,541
ArrayAtomicD,1,0,1398101,764,764,764,764,764,764,7,534
ArrayAtomicD,1,1,1398101,763,763,763,763,763,763,7,533
ArrayAtomicD,1,2,1398101,776,776,776,776,776,776,7,542
ArrayAtomicD,1,3,1398101,763,763,763,763,763,763,7,533
TableD,1,0,1398101,767,767,767,767,767,767,7,536
TableD,1,1,1398101,763,763,763,763,763,763,8,533
TableD,1,2,1398101,774,774,774,774,774,774,7,541
TableD,1,3,1398101,762,762,762,762,762,762,7,533
ArrayAlignedP,1,0,1398101,102,102,102,102,102,102,0,71
ArrayAlignedP,1,1,1398101,99,99,99,99,99,99,0,69
ArrayAlignedP,1,2,1398101,100,100,100,100,100,100,0,70
ArrayAlignedP,1,3,1398101,100,100,100,100,100,100,0,69
ArrayLockedP,1,0,1398101,105,105,105,105,105,105,0,73
ArrayLockedP,1,1,1398101,104,104,104,104,104,104,0,73
