alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedF,1,0,2097152,1611,1611,1611,1611,1611,1611,4,0
ArrayAlignedF,1,1,2097152,1472,1472,1472,1472,1472,1472,2,0
ArrayAlignedF,1,2,2097152,1000,1000,1000,1000,1000,1000,0,0
ArrayAlignedF,1,3,2097152,1139,1139,1139,1139,1139,1139,0,0
ArrayLockedF,1,0,2097152,1305,1305,1305,1305,1305,1305,0,0
ArrayLockedF,1,1,2097152,1083,1083,1083,1083,1083,1083,0,0
ArrayLockedF,1,2,2097152,1180,1180,1180,1180,1180,1180,0,0
ArrayLockedF,1,3,2097152,1111,1111,1111,1111,1111,1111,0,0
ArrayAtomicF,1,0,2097152,1319,1319,1319,1319,1319,1319,0,0
ArrayAtomicF,1,1,2097152,1222,1222,1222,1222,1222,1222,0,0
ArrayAtomicF,1,2,2097152,1166,1166,1166,1166,1166,1166,0,0
ArrayAtomicF,1,3,2097152,1166,1166,1166,1166,1166,1166,0,0
TableF,1,0,2097152,1458,1458,1458,1458,1458,1458,0,0
TableF,1,1,2097152,1222,1222,1222,1222,1222,1222,0,0
TableF,1,2,2097152,1166,1166,1166,1166,1166,1166,0,0
TableF,1,3,2097152,1166,1166,1166,1166,1166,1166,0,0
ArrayAlignedD,1,0,2097152,1351318,1351318,1351318,1351318,1351318,1351318,10,4
ArrayAlignedD,1,1,2097152,1359026,1359026,1359026,1359026,1359026,1359026,10,4
ArrayAlignedD,1,2,2097152,1360957,1360957,1360957,1360957,1360957,1360957,10,4
ArrayAlignedD,1,3,2097152,1359082,1359082,1359082,1359082,1359082,1359082,10,4
ArrayLockedD,1,0,2097152,1376611,1376611,1376611,1376611,1376611,1376611,10,4
ArrayLockedD,1,1,2097152,1360221,1360221,1360221,1360221,1360221,1360221,10,4
ArrayLockedD,1,2,2097152,1355290,1355290,1355290,1355290,1355290,1355290,10,4
ArrayLockedD,1,3,2097152,1348262,1348262,1348262,1348262,1348262,1348262,10,4
ArrayAtomicD,1,0,2097152,1371277,1371277,1371277,1371277,1371277,1371277,10,4
ArrayAtomicD,1,1,2097152,1342206,1342206,1342206,1342206,1342206,1342206,10,4
ArrayAtomicD,1,2,2097152,1378986,1378986,1378986,1378986,1378986,1378986,10,4
ArrayAtomicD,1,3,2097152,1365527,1365527,1365527,1365527,1365527,1365527,10,4
TableD,1,0,2097152,1347234,1347234,1347234,1347234,1347234,1347234,10,4
TableD,1,1,2097152,1319593,1319593,1319593,1319593,1319593,1319593,10,3
TableD,1,2,2097152,1388709,1388709,1388709,1388709,1388709,1388709,10,4
TableD,1,3,2097152,1359096,1359096,1359096,1359096,1359096,1359096,10,4
ArrayAlignedF,2,0,2097152,1111,1402,1694,1111,1402,1694,12,0
ArrayAlignedF,2,1,2097152,1055,1284,1514,1055,1284,1514,8,0
ArrayAlignedF,2,2,2097152,1027,1298,1569,1027,1298,1569,7,0
ArrayAlignedF,2,3,2097152,1027,1312,1597,1027,1312,1597,5,0
ArrayLockedF,2,0,2097152,1139,1437,1736,1139,1437,1736,3,0
ArrayLockedF,2,1,2097152,1027,1346,1666,1027,1346,1666,4,0
ArrayLockedF,2,2,2097152,1069,1367,1666,1069,1367,1666,3,0
ArrayLockedF,2,3,2097152,1014,1340,1666,1014,1340,1666,3,0
ArrayAtomicF,2,0,2097152,1055,1499,1944,1055,1499,1944,3,0
ArrayAtomicF,2,1,2097152,1069,1423,1778,1069,1423,1778,3,0
ArrayAtomicF,2,2,2097152,1041,1472,1903,1041,1472,1903,3,0
ArrayAtomicF,2,3,2097152,1055,1472,1889,1055,1472,1889,3,0
TableF,2,0,2097152,1847,1902,1958,1847,1902,1958,3,0
TableF,2,1,2097152,916,1291,1666,916,1291,1666,3,0
TableF,2,2,2097152,1166,1444,1722,1166,1444,1722,3,0
TableF,2,3,2097152,1028,1423,1819,1028,1423,1819,3,0
ArrayAlignedD,2,0,2097152,1566085,2554540,3542995,1566085,2554540,3542995,21,7
ArrayAlignedD,2,1,2097152,1574863,2551796,3528730,1574863,2551796,3528730,21,7
ArrayAlignedD,2,2,2097152,1701151,2659131,3617112,1701151,2659131,3617112,21,7
ArrayAlignedD,2,3,2097152,1521206,2503466,3485726,1521206,2503466,3485726,21,7
ArrayLockedD,2,0,2097152,1676580,2669021,3661463,1676580,2669021,3661463,21,7
ArrayLockedD,2,1,2097152,1765198,2735360,3705522,1765198,2735360,3705522,22,8
ArrayLockedD,2,2,2097152,1736126,2731901,3727676,1736126,2731901,3727676,23,8
ArrayLockedD,2,3,2097152,1763851,2766161,3768472,1763851,2766161,3768472,22,8
ArrayAtomicD,2,0,2097152,1582142,2572256,3562371,1582142,2572256,3562371,22,7
ArrayAtomicD,2,1,2097152,1617422,2563846,3510270,1617422,2563846,3510270,21,7
ArrayAtomicD,2,2,2097152,1625437,2585633,3545829,1625437,2585633,3545829,21,7
ArrayAtomicD,2,3,2097152,1586781,2564659,3542537,1586781,2564659,3542537,22,7
TableD,2,0,2097152,1597754,2422598,3247443,1597754,2422598,3247443,21,6
TableD,2,1,2097152,1656648,2484527,3312407,1656648,2484527,3312407,21,6
TableD,2,2,2097152,1552195,2519808,3487421,1552195,2519808,3487421,21,7
TableD,2,3,2097152,1575794,2409667,3243540,1575794,2409667,3243540,21,6
ArrayAlignedF,4,0,2097152,1028,1632,2125,1028,1632,2125,30,0
