alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedF,1,0,1398101,150,150,150,150,150,150,10,0
ArrayAlignedF,1,1,1398101,149,149,149,149,149,149,2,0
ArrayAlignedF,1,2,1398101,149,149,149,149,149,149,0,0
ArrayAlignedF,1,3,1398101,149,149,149,149,149,149,0,0
ArrayLockedF,1,0,1398101,115,115,115,115,115,115,1,0
ArrayLockedF,1,1,1398101,116,116,116,116,116,116,1,0
ArrayLockedF,1,2,1398101,115,115,115,115,115,115,0,0
ArrayLockedF,1,3,1398101,114,114,114,114,114,114,0,0
ArrayAtomicF,1,0,1398101,122,122,122,122,122,122,0,0
ArrayAtomicF,1,1,1398101,122,122,122,122,122,122,0,0
ArrayAtomicF,1,2,1398101,122,122,122,122,122,122,0,0
ArrayAtomicF,1,3,1398101,122,122,122,122,122,122,0,0
TableF,1,0,1398101,120,120,120,120,120,120,1,0
TableF,1,1,1398101,119,119,119,119,119,119,0,0
TableF,1,2,1398101,120,120,120,120,120,120,1,0
TableF,1,3,1398101,120,120,120,120,120,120,0,0
ArrayAlignedD,1,0,1398101,311,311,311,311,311,311,14,0
ArrayAlignedD,1,1,1398101,311,311,311,311,311,311,15,0
ArrayAlignedD,1,2,1398101,311,311,311,311,311,311,15,0
ArrayAlignedD,1,3,1398101,316,316,316,316,316,316,15,0
ArrayLockedD,1,0,1398101,283,283,283,283,283,283,15,0
ArrayLockedD,1,1,1398101,284,284,284,284,284,284,15,0
ArrayLockedD,1,2,1398101,275,275,275,275,275,275,15,0
ArrayLockedD,1,3,1398101,273,273,273,273,273,273,15,0
ArrayAtomicD,1,0,1398101,279,279,279,279,279,279,15,0
ArrayAtomicD,1,1,1398101,274,274,274,274,274,274,15,0
ArrayAtomicD,1,2,1398101,274,274,274,274,274,274,15,0
ArrayAtomicD,1,3,1398101,274,274,274,274,274,274,15,0
TableD,1,0,1398101,284,284,284,284,284,284,15,0
TableD,1,1,1398101,283,283,283,283,283,283,15,0
TableD,1,2,1398101,289,289,289,289,289,289,15,0
TableD,1,3,1398101,283,283,283,283,283,283,15,0
ArrayAlignedF,2,0,1398101,42,95,149,42,95,149,21,0
ArrayAlignedF,2,1,1398101,41,95,149,41,95,149,5,0
ArrayAlignedF,2,2,1398101,41,95,149,41,95,149,2,0
ArrayAlignedF,2,3,1398101,41,98,155,41,98,155,1,0
ArrayLockedF,2,0,1398101,32,73,115,32,73,115,1,0
ArrayLockedF,2,1,1398101,32,74,116,32,74,116,1,0
ArrayLockedF,2,2,1398101,32,74,116,32,74,116,1,0
ArrayLockedF,2,3,1398101,32,74,116,32,74,116,1,0
ArrayAtomicF,2,0,1398101,122,122,122,122,122,122,1,0
ArrayAtomicF,2,1,1398101,34,78,122,34,78,122,1,0
ArrayAtomicF,2,2,1398101,34,78,122,34,78,122,1,0
ArrayAtomicF,2,3,1398101,34,78,122,34,78,122,1,0
TableF,2,0,1398101,37,79,121,37,79,121,1,0
TableF,2,1,1398101,34,77,121,34,77,121,1,0
TableF,2,2,1398101,34,77,120,34,77,120,1,0
TableF,2,3,1398101,33,77,121,33,77,121,1,0
ArrayAlignedD,2,0,1398101,87,199,311,87,199,311,30,0
ArrayAlignedD,2,1,1398101,95,204,314,95,204,314,30,0
ArrayAlignedD,2,2,1398101,87,197,307,87,197,307,30,0
ArrayAlignedD,2,3,1398101,89,200,312,89,200,312,30,0
ArrayLockedD,2,0,1398101,78,178,278,78,178,278,30,0
ArrayLockedD,2,1,1398101,79,175,272,79,175,272,30,0
ArrayLockedD,2,2,1398101,80,178,276,80,178,276,30,0
ArrayLockedD,2,3,1398101,79,179,280,79,179,280,30,0
ArrayAtomicD,2,0,1398101,79,176,274,79,176,274,30,0
ArrayAtomicD,2,1,1398101,91,194,298,91,194,298,30,0
ArrayAtomicD,2,2,1398101,79,176,274,79,176,274,30,0
ArrayAtomicD,2,3,1398101,82,183,284,82,183,284,31,0
TableD,2,0,1398101,85,184,284,85,184,284,31,0
TableD,2,1,1398101,80,185,290,80,185,290,30,0
TableD,2,2,1398101,81,185,290,81,185,290,30,0
TableD,2,3,1398101,81,184,288,81,184,288,29,0
ArrayAlignedF,4,0,1398101,41,121,149,41,121,149,53,0
ArrayAlignedF,4,1,1398101,41,124,182,41,124,182,51,0
ArrayAlignedF,4,2,1398101,44,123,150,44,123,150,50,0
ArrayAlignedF,4,3,1398101,54,139,168,54,139,168,48,0
ArrayLockedF,4,0,1398101,34,94,115,34,94,115,48,0
ArrayLockedF,4,1,1398101,32,95,117,32,95,117,47,0
ArrayLockedF,4,2,1398101,49,100,122,49,100,122,47,0
ArrayLockedF,4,3,1398101,33,94,116,33,94,116,47,0
ArrayAtomicF,4,0,1398101,35,100,122,35,100,122,47,0
ArrayAtomicF,4,1,1398101,34,100,122,34,100,122,47,0
ArrayAtomicF,4,2,1398101,34,100,122,34,100,122,47,0
ArrayAtomicF,4,3,1398101,35,100,122,35,100,122,47,0
TableF,4,0,1398101,36,99,121,36,99,121,47,0
TableF,4,1,1398101,36,99,121,36,99,121,48,0
TableF,4,2,1398101,36,99,121,36,99,121,47,0
TableF,4,3,1398101,36,99,121,36,99,121,47,0
ArrayAlignedD,4,0,1398101,89,252,308,89,252,308,60,0
ArrayAlignedD,4,1,1398101,87,254,316,87,254,316,60,0
ArrayAlignedD,4,2,1398101,92,264,326,92,264,326,60,0
ArrayAlignedD,4,3,1398101,93,256,316,93,256,316,60,0
ArrayLockedD,4,0,1398101,82,226,276,82,226,276,60,0
ArrayLockedD,4,1,1398101,82,227,278,82,227,278,60,0
ArrayLockedD,4,2,1398101,84,230,280,84,230,280,60,0
ArrayLockedD,4,3,1398101,83,229,288,83,229,288,60,0
ArrayAtomicD,4,0,1398101,82,226,276,82,226,276,60,0
ArrayAtomicD,4,1,1398101,82,227,277,82,227,277,60,0
ArrayAtomicD,4,2,1398101,78,230,287,78,230,287,60,0
ArrayAtomicD,4,3,1398101,79,226,276,79,226,276,60,0
TableD,4,0,1398101,80,233,286,80,233,286,60,0
TableD,4,1,1398101,80,238,295,80,238,295,60,0
TableD,4,2,1398101,80,235,290,80,235,290,60,0
TableD,4,3,1398101,80,232,284,80,232,284,60,0
ArrayAlignedF,8,0,1398101,160,167,174,160,167,174,107,0
ArrayAlignedF,8,1,1398101,54,135,147,54,135,147,107,0
ArrayAlignedF,8,2,1398101,50,136,154,50,136,154,111,0
ArrayAlignedF,8,3,1398101,44,135,150,44,135,150,108,0
ArrayLockedF,8,0,1398101,35,105,116,35,105,116,106,0
ArrayLockedF,8,1,1398101,35,105,116,35,105,116,108,0
ArrayLockedF,8,2,1398101,35,105,115,35,105,115,107,0
ArrayLockedF,8,3,1398101,35,104,116,35,104,116,108,0
ArrayAtomicF,8,0,1398101,37,111,122,37,111,122,108,0
ArrayAtomicF,8,1,1398101,36,111,122,36,111,122,108,0
ArrayAtomicF,8,2,1398101,36,111,123,36,111,123,108,0
ArrayAtomicF,8,3,1398101,36,110,122,36,110,122,108,0
TableF,8,0,1398101,36,110,121,36,110,121,108,0
TableF,8,1,1398101,35,109,120,35,109,120,107,0
TableF,8,2,1398101,37,109,121,37,109,121,108,0
TableF,8,3,1398101,36,109,121,36,109,121,108,0
ArrayAlignedD,8,0,1398101,95,285,320,95,285,320,121,0
ArrayAlignedD,8,1,1398101,97,287,321,97,287,321,121,0
ArrayAlignedD,8,2,1398101,93,289,340,93,289,340,120,0
ArrayAlignedD,8,3,1398101,97,289,325,97,289,325,120,0
ArrayLockedD,8,0,1398101,88,256,285,88,256,285,120,0
ArrayLockedD,8,1,1398101,85,258,289,85,258,289,124,0
ArrayLockedD,8,2,1398101,83,255,287,83,255,287,124,0
ArrayLockedD,8,3,1398101,87,260,291,87,260,291,121,0
ArrayAtomicD,8,0,1398101,84,256,287,84,256,287,121,0
ArrayAtomicD,8,1,1398101,85,256,286,85,256,286,121,0
ArrayAtomicD,8,2,1398101,85,256,285,85,256,285,120,0
ArrayAtomicD,8,3,1398101,87,256,286,87,256,286,120,0
TableD,8,0,1398101,88,263,296,88,263,296,121,0
TableD,8,1,1398101,87,264,294,87,264,294,121,0
TableD,8,2,1398101,87,266,300,87,266,300,121,0
TableD,8,3,1398101,85,264,295,85,264,295,120,0
ArrayAlignedF,16,0,1398101,44,143,166,44,143,166,210,0
ArrayAlignedF,16,1,1398101,45,143,168,45,143,168,215,0
ArrayAlignedF,16,2,1398101,45,144,171,45,144,171,215,0
ArrayAlignedF,16,3,1398101,45,143,167,45,143,167,214,0
