alloc,x,iteration,allocs,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
Kernel,1,0,314572,196,196,196,196,196,196,0,0
Kernel,1,1,314572,174,174,174,174,174,174,0,0
Kernel,1,2,314572,177,177,177,177,177,177,0,0
Kernel,1,3,314572,167,167,167,167,167,167,0,0
Kernel,2,0,314572,195,196,197,195,196,197,0,0
Kernel,2,1,314572,193,196,200,193,196,200,0,0
Kernel,2,2,314572,199,199,200,199,199,200,0,0
Kernel,2,3,314572,194,194,195,194,194,195,0,0
Kernel,4,0,314572,221,223,224,221,223,224,0,0
Kernel,4,1,314572,226,231,243,226,231,243,0,0
Kernel,4,2,314572,220,221,222,220,221,222,0,0
Kernel,4,3,314572,222,224,226,222,224,226,0,0
Kernel,6,0,314572,232,234,237,232,234,237,0,0
Kernel,6,1,314572,233,235,236,233,235,236,0,0
Kernel,6,2,314572,233,234,236,233,234,236,0,0
Kernel,6,3,314572,231,235,238,231,235,238,0,0
Kernel,8,0,314572,243,264,284,243,264,284,0,0
Kernel,8,1,314572,246,266,286,246,266,286,0,0
Kernel,8,2,314572,245,264,284,245,264,284,0,0
Kernel,8,3,314572,245,265,285,245,265,285,0,0
Kernel,10,0,314572,255,285,296,255,285,296,0,0
Kernel,10,1,314572,256,285,295,256,285,295,0,0
Kernel,10,2,314572,256,285,297,256,285,297,0,0
Kernel,10,3,314572,254,285,296,254,285,296,0,0
