alloc,x,iteration,allocs,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
Kernel,1,0,314572,79,79,79,79,79,79,0,0
Kernel,1,1,314572,78,78,78,78,78,78,0,0
Kernel,1,2,314572,78,78,78,78,78,78,0,0
Kernel,1,3,314572,78,78,78,78,78,78,0,0
Kernel,2,0,314572,78,78,79,78,78,79,0,0
Kernel,2,1,314572,77,77,78,77,77,78,0,0
Kernel,2,2,314572,77,77,78,77,77,78,0,0
Kernel,2,3,314572,77,77,78,77,77,78,0,0
Kernel,4,0,314572,79,80,82,79,80,82,0,0
Kernel,4,1,314572,80,81,83,80,81,83,0,0
Kernel,4,2,314572,78,79,81,78,79,81,0,0
Kernel,4,3,314572,78,78,79,78,78,79,0,0
Kernel,6,0,314572,79,79,81,79,79,81,0,0
Kernel,6,1,314572,78,79,82,78,79,82,0,0
Kernel,6,2,314572,79,81,90,79,81,90,0,0
Kernel,6,3,314572,78,79,82,78,79,82,0,0
Kernel,8,0,314572,79,115,151,79,115,151,0,0
Kernel,8,1,314572,79,116,154,79,116,154,0,0
Kernel,8,2,314572,79,116,153,79,116,153,0,0
Kernel,8,3,314572,79,115,152,79,115,152,0,0
Kernel,10,0,314572,81,138,153,81,138,153,0,0
Kernel,10,1,314572,81,138,154,81,138,154,0,0
Kernel,10,2,314572,82,139,154,82,139,154,0,0
Kernel,10,3,314572,81,138,154,81,138,154,0,0
