alloc,x,iteration,allocs,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
Kernel,1,0,314572,981,981,981,60,60,60,0,0
Kernel,1,1,314572,881,881,881,59,59,59,0,0
Kernel,1,2,314572,880,880,880,58,58,58,0,0
Kernel,1,3,314572,886,886,886,60,60,60,0,0
Kernel,2,0,314572,867,870,874,60,63,66,0,0
Kernel,2,1,314572,853,864,875,60,63,67,0,0
Kernel,2,2,314572,851,863,876,63,64,65,0,0
Kernel,2,3,314572,850,861,872,60,66,73,0,0
Kernel,4,0,314572,861,871,883,70,77,84,0,0
Kernel,4,1,314572,854,864,879,70,70,71,0,0
Kernel,4,2,314572,854,865,881,70,77,93,0,0
Kernel,4,3,314572,858,868,882,68,69,71,0,0
Kernel,8,0,314572,869,878,893,112,113,115,0,0
Kernel,8,1,314572,866,874,891,113,119,125,0,0
Kernel,8,2,314572,866,876,895,112,121,132,0,0
Kernel,8,3,314572,866,876,894,113,120,128,0,0
Kernel,16,0,314572,909,918,930,224,226,228,0,0
Kernel,16,1,314572,909,914,929,226,227,229,0,0
Kernel,16,2,314572,909,918,937,231,231,232,0,0
Kernel,16,3,314572,909,917,934,225,228,231,0,0
Kernel,24,0,314572,979,989,1004,348,353,359,0,0
Kernel,24,1,314572,976,985,1001,345,348,352,0,0
Kernel,24,2,314572,976,984,1001,342,346,351,0,0
Kernel,24,3,314572,976,984,1001,344,347,352,0,0
Kernel,32,0,314572,1086,1089,1098,481,483,486,0,0
Kernel,32,1,314572,1082,1088,1099,479,487,495,0,0
Kernel,32,2,314572,1084,1088,1097,484,486,488,0,0
Kernel,32,3,314572,1081,1085,1094,479,484,489,0,0
Kernel,40,0,314572,1215,1221,1231,618,625,633,0,0
Kernel,40,1,314572,1215,1221,1232,625,630,635,0,0
Kernel,40,2,314572,1215,1221,1233,613,623,635,0,0
Kernel,40,3,314572,1214,1220,1230,627,632,638,0,0
Kernel,48,0,314572,1409,1433,1458,773,777,782,0,0
Kernel,48,1,314572,1407,1430,1457,771,780,789,0,0
Kernel,48,2,314572,1408,1430,1457,771,782,794,0,0
Kernel,48,3,314572,1408,1431,1458,769,782,795,0,0
Kernel,56,0,314572,1526,1646,1931,989,995,1001,0,0
Kernel,56,1,314572,1522,1645,1930,980,992,1006,0,0
Kernel,56,2,314572,1524,1649,1930,980,993,1007,0,0
Kernel,56,3,314572,1523,1646,1931,983,996,1011,0,0
Kernel,72,0,314572,2044,2189,2281,1385,1397,1411,0,0
Kernel,72,1,314572,2042,2186,2275,1382,1391,1402,0,0
Kernel,72,2,314572,2041,2187,2280,1375,1391,1407,0,0
Kernel,72,3,314572,2033,2181,2268,1375,1389,1403,0,0
Kernel,80,0,314572,2314,2475,2539,1579,1595,1612,0,0
Kernel,80,1,314572,2300,2472,2541,1593,1598,1603,0,0
Kernel,80,2,314572,2310,2471,2530,1580,1595,1612,0,0
Kernel,80,3,314572,2307,2470,2534,1579,1597,1615,0,0
Kernel,96,0,314572,2982,3018,3083,1984,1993,2002,0,0
Kernel,96,1,314572,2966,3018,3055,1976,1994,2014,0,0
Kernel,96,2,314572,2987,3022,3057,1980,1992,2004,0,0
Kernel,96,3,314572,2978,3011,3170,2001,2010,2021,0,0
