alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedD,1,0,1398101,72,72,72,32,32,32,6,73
ArrayAlignedD,1,1,1398101,52,52,52,32,32,32,7,59
ArrayAlignedD,1,2,1398101,50,50,50,32,32,32,7,58
ArrayAlignedD,1,3,1398101,54,54,54,33,33,33,7,61
ArrayUnalignedD,1,0,1398101,52,52,52,32,32,32,7,59
ArrayUnalignedD,1,1,1398101,51,51,51,32,32,32,7,59
ArrayUnalignedD,1,2,1398101,55,55,55,31,31,31,7,61
ArrayUnalignedD,1,3,1398101,52,52,52,32,32,32,7,59
ArrayAlignedD,2,0,1398101,57,64,71,33,41,50,14,79
ArrayAlignedD,2,1,1398101,55,61,67,33,37,41,14,73
ArrayAlignedD,2,2,1398101,59,63,68,33,33,34,14,71
ArrayAlignedD,2,3,1398101,56,62,68,33,38,44,14,75
ArrayUnalignedD,2,0,1398101,151,163,176,100,106,113,14,197
ArrayUnalignedD,2,1,1398101,174,185,197,95,99,103,14,207
ArrayUnalignedD,2,2,1398101,157,169,181,103,109,115,14,203
ArrayUnalignedD,2,3,1398101,167,179,191,93,97,102,14,202
ArrayAlignedD,4,0,1398101,75,77,80,34,34,35,29,80
ArrayAlignedD,4,1,1398101,63,67,71,34,35,39,28,74
ArrayAlignedD,4,2,1398101,65,69,78,34,36,40,28,80
ArrayAlignedD,4,3,1398101,69,69,71,34,34,34,28,73
ArrayUnalignedD,4,0,1398101,109,193,261,218,252,279,28,359
ArrayUnalignedD,4,1,1398101,426,442,459,272,287,303,28,522
ArrayUnalignedD,4,2,1398101,117,193,257,221,251,277,28,356
ArrayUnalignedD,4,3,1398101,428,450,470,269,292,312,28,534
ArrayAlignedD,8,0,1398101,78,83,89,82,87,92,56,124
ArrayAlignedD,8,1,1398101,94,96,100,90,92,94,57,135
ArrayAlignedD,8,2,1398101,75,80,83,88,93,96,57,124
ArrayAlignedD,8,3,1398101,77,86,89,89,91,95,57,126
ArrayUnalignedD,8,0,1398101,522,660,705,430,473,493,57,824
ArrayUnalignedD,8,1,1398101,603,663,729,144,407,497,57,794
ArrayUnalignedD,8,2,1398101,379,627,721,372,466,503,60,831
ArrayUnalignedD,8,3,1398101,530,667,778,258,390,461,57,817
ArrayAlignedD,16,0,1398101,111,130,147,240,251,259,113,279
ArrayAlignedD,16,1,1398101,133,153,167,229,239,247,115,284
ArrayAlignedD,16,2,1398101,102,127,139,227,244,253,112,269
ArrayAlignedD,16,3,1398101,121,140,153,223,236,245,113,273
ArrayUnalignedD,16,0,1398101,201,791,1000,81,573,785,112,1100
ArrayUnalignedD,16,1,1398101,327,999,1132,52,530,717,113,1163
ArrayUnalignedD,16,2,1398101,285,845,1041,175,569,758,113,1125
ArrayUnalignedD,16,3,1398101,289,1045,1160,40,441,631,113,1119
ArrayAlignedD,24,0,1398101,244,284,314,369,394,411,170,495
ArrayAlignedD,24,1,1398101,279,309,338,363,403,423,170,519
ArrayAlignedD,24,2,1398101,274,307,334,364,408,428,169,519
ArrayAlignedD,24,3,1398101,291,321,346,371,403,421,177,524
ArrayUnalignedD,24,0,1398101,602,956,1132,53,719,918,170,1295
ArrayUnalignedD,24,1,1398101,789,1160,1307,480,893,987,170,1539
ArrayUnalignedD,24,2,1398101,698,1068,1179,280,715,949,170,1325
ArrayUnalignedD,24,3,1398101,761,1081,1253,53,536,738,170,1251
ArrayAlignedD,32,0,1398101,373,431,477,473,531,565,227,706
ArrayAlignedD,32,1,1398101,393,450,489,473,535,569,225,717
ArrayAlignedD,32,2,1398101,406,458,494,473,524,557,226,712
ArrayAlignedD,32,3,1398101,409,464,499,463,533,567,224,722
ArrayUnalignedD,32,0,1398101,492,983,1222,87,564,780,227,1249
ArrayUnalignedD,32,1,1398101,329,1067,1385,198,558,842,225,1360
ArrayUnalignedD,32,2,1398101,505,1171,1438,107,980,1243,225,1691
ArrayUnalignedD,32,3,1398101,611,1013,1175,251,660,873,226,1283
ArrayAlignedD,40,0,1398101,492,584,635,574,665,712,283,909
ArrayAlignedD,40,1,1398101,514,592,638,551,662,710,281,909
ArrayAlignedD,40,2,1398101,529,622,669,550,642,690,282,917
ArrayAlignedD,40,3,1398101,505,588,641,589,672,719,282,919
ArrayUnalignedD,40,0,1398101,227,1264,1496,253,1091,1332,282,1810
ArrayUnalignedD,40,1,1398101,717,1356,1601,322,1178,1354,281,1943
ArrayUnalignedD,40,2,1398101,719,1270,1525,584,1161,1289,282,1879
ArrayUnalignedD,40,3,1398101,269,1026,1329,250,693,993,283,1414
ArrayAlignedD,48,0,1398101,584,712,775,624,753,811,337,1069
ArrayAlignedD,48,1,1398101,601,716,775,623,752,815,336,1068
ArrayAlignedD,48,2,1398101,578,737,795,651,784,843,339,1104
ArrayAlignedD,48,3,1398101,588,722,776,647,760,829,339,1075
ArrayUnalignedD,48,0,1398101,936,1457,1648,303,1157,1418,340,1961
ArrayUnalignedD,48,1,1398101,882,1246,1385,129,758,1049,339,1499
ArrayUnalignedD,48,2,1398101,756,1333,1438,285,1042,1332,339,1735
ArrayUnalignedD,48,3,1398101,816,1308,1497,142,1092,1382,339,1811
ArrayAlignedD,56,0,1398101,615,771,877,611,820,920,395,1187
ArrayAlignedD,56,1,1398101,645,793,894,640,831,930,399,1207
ArrayAlignedD,56,2,1398101,635,790,905,667,851,950,396,1228
