alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedD,1,0,524288,96,96,96,31,31,31,0,33
ArrayAlignedD,1,1,524288,54,54,54,30,30,30,0,22
ArrayAlignedD,1,2,524288,51,51,51,30,30,30,0,21
ArrayAlignedD,1,3,524288,52,52,52,28,28,28,0,21
ArrayUnalignedD,1,0,524288,50,50,50,28,28,28,0,20
ArrayUnalignedD,1,1,524288,51,51,51,28,28,28,0,20
ArrayUnalignedD,1,2,524288,51,51,51,28,28,28,0,20
ArrayUnalignedD,1,3,524288,50,50,50,28,28,28,0,20
ArrayAlignedD,2,0,524288,53,77,102,30,52,74,1,40
ArrayAlignedD,2,1,524288,56,81,106,30,52,75,1,41
ArrayAlignedD,2,2,524288,57,80,103,28,49,71,1,39
ArrayAlignedD,2,3,524288,54,73,93,29,49,69,1,37
ArrayUnalignedD,2,0,524288,220,229,238,109,118,127,1,93
ArrayUnalignedD,2,1,524288,171,184,197,108,117,127,1,82
ArrayUnalignedD,2,2,524288,191,201,212,109,118,128,1,86
ArrayUnalignedD,2,3,524288,176,189,203,108,117,126,1,83
ArrayAlignedD,4,0,524288,86,98,108,30,31,32,3,36
ArrayAlignedD,4,1,524288,54,60,68,30,30,31,3,26
ArrayAlignedD,4,2,524288,53,61,69,30,30,31,3,26
ArrayAlignedD,4,3,524288,55,60,65,29,31,33,3,25
ArrayUnalignedD,4,0,524288,465,503,540,335,363,391,3,236
ArrayUnalignedD,4,1,524288,464,519,563,331,365,396,4,243
ArrayUnalignedD,4,2,524288,494,525,559,337,365,392,4,242
ArrayUnalignedD,4,3,524288,469,524,567,312,347,378,4,239
ArrayAlignedD,8,0,524288,65,96,107,31,34,41,8,37
ArrayAlignedD,8,1,524288,66,80,91,31,35,42,8,33
ArrayAlignedD,8,2,524288,68,83,99,32,35,40,8,35
ArrayAlignedD,8,3,524288,67,82,93,31,35,42,9,33
ArrayUnalignedD,8,0,524288,809,889,962,627,696,752,9,434
ArrayUnalignedD,8,1,524288,785,881,966,607,682,752,9,432
ArrayUnalignedD,8,2,524288,826,899,966,592,664,722,9,427
ArrayUnalignedD,8,3,524288,734,876,971,598,681,757,9,433
ArrayAlignedD,16,0,524288,91,226,292,32,37,73,17,86
ArrayAlignedD,16,1,524288,76,115,133,33,33,45,18,43
ArrayAlignedD,16,2,524288,82,106,128,33,36,42,17,43
ArrayAlignedD,16,3,524288,133,202,244,32,37,51,16,73
ArrayUnalignedD,16,0,524288,1195,1353,1454,811,1011,1120,15,646
ArrayUnalignedD,16,1,524288,1282,1418,1510,935,1062,1161,18,674
ArrayUnalignedD,16,2,524288,1059,1388,1518,713,1012,1121,18,663
ArrayUnalignedD,16,3,524288,1201,1407,1505,767,1047,1158,18,669
ArrayAlignedD,24,0,524288,112,143,167,33,35,44,25,53
ArrayAlignedD,24,1,524288,92,183,236,33,42,67,23,72
ArrayAlignedD,24,2,524288,129,146,165,33,34,36,26,52
ArrayAlignedD,24,3,524288,95,133,159,33,36,73,24,51
ArrayUnalignedD,24,0,524288,520,1139,1398,324,871,1110,25,594
ArrayUnalignedD,24,1,524288,808,1397,1681,647,1128,1398,25,736
ArrayUnalignedD,24,2,524288,501,1140,1385,329,812,1043,25,576
ArrayUnalignedD,24,3,524288,758,1344,1655,545,1074,1361,25,715
ArrayAlignedD,32,0,524288,129,175,202,34,37,46,33,62
ArrayAlignedD,32,1,524288,107,188,215,34,40,64,33,67
ArrayAlignedD,32,2,524288,144,175,203,34,38,44,34,63
ArrayAlignedD,32,3,524288,104,183,218,35,38,52,32,67
ArrayUnalignedD,32,0,524288,795,1199,1572,681,1036,1375,33,683
ArrayUnalignedD,32,1,524288,709,1317,1717,577,1196,1547,34,763
ArrayUnalignedD,32,2,524288,724,1270,1624,521,1140,1491,33,724
ArrayUnalignedD,32,3,524288,655,1324,1701,462,1085,1413,34,730
ArrayAlignedD,40,0,524288,118,193,236,37,42,72,40,73
ArrayAlignedD,40,1,524288,117,183,223,36,54,71,38,72
ArrayAlignedD,40,2,524288,130,201,254,37,41,68,38,77
ArrayAlignedD,40,3,524288,158,199,242,37,40,46,37,73
ArrayUnalignedD,40,0,524288,989,1391,1655,894,1282,1547,38,770
ArrayUnalignedD,40,1,524288,234,1276,1572,188,1224,1530,40,733
ArrayUnalignedD,40,2,524288,678,1301,1612,463,1052,1376,41,698
ArrayUnalignedD,40,3,524288,195,1296,1570,187,1152,1463,41,713
ArrayAlignedD,48,0,524288,134,228,310,40,49,74,48,94
ArrayAlignedD,48,1,524288,124,226,274,38,43,71,45,82
ArrayAlignedD,48,2,524288,132,219,273,39,45,63,46,83
ArrayAlignedD,48,3,524288,148,214,287,40,51,64,45,88
ArrayUnalignedD,48,0,524288,613,1254,1561,373,1202,1547,45,724
ArrayUnalignedD,48,1,524288,330,1289,1567,177,1227,1538,45,732
ArrayUnalignedD,48,2,524288,708,1307,1583,495,1175,1499,49,723
ArrayUnalignedD,48,3,524288,278,1264,1539,184,1187,1500,47,714
ArrayAlignedD,56,0,524288,147,264,353,42,51,74,56,105
ArrayAlignedD,56,1,524288,144,267,353,44,59,89,53,108
ArrayAlignedD,56,2,524288,163,272,369,43,53,75,53,110
ArrayAlignedD,56,3,524288,177,277,422,43,57,86,53,125
ArrayUnalignedD,56,0,524288,462,1351,1620,384,1250,1588,56,752
ArrayUnalignedD,56,1,524288,1062,1676,2020,964,1790,2160,56,998
ArrayUnalignedD,56,2,524288,738,1374,1604,581,1330,1579,56,769
ArrayUnalignedD,56,3,524288,1064,1674,2065,921,1699,2166,55,986
ArrayAlignedD,64,0,524288,205,327,436,43,60,83,68,130
ArrayAlignedD,64,1,524288,172,359,480,44,71,103,66,144
ArrayAlignedD,64,2,524288,199,326,456,57,65,90,65,136
ArrayAlignedD,64,3,524288,175,336,426,53,72,97,66,130
ArrayUnalignedD,64,0,524288,827,1365,1636,877,1381,1665,65,791
ArrayUnalignedD,64,1,524288,875,1318,1572,956,1354,1643,68,767
ArrayUnalignedD,64,2,524288,717,1362,1636,692,1386,1680,68,792
ArrayUnalignedD,64,3,524288,867,1351,1680,789,1402,1694,65,808
ArrayAlignedD,80,0,524288,254,453,600,59,117,146,90,188
ArrayAlignedD,80,1,524288,191,456,648,60,89,114,91,193
ArrayAlignedD,80,2,524288,190,512,691,58,165,210,90,224
ArrayAlignedD,80,3,524288,227,385,515,56,70,96,91,153
ArrayUnalignedD,80,0,524288,610,1770,2066,203,1562,1855,91,951
ArrayUnalignedD,80,1,524288,547,1584,1976,455,1742,2196,91,974
ArrayUnalignedD,80,2,524288,434,1555,1841,228,1611,1963,92,905
ArrayUnalignedD,80,3,524288,687,1622,2045,392,1407,1849,90,905
ArrayAlignedD,96,0,524288,410,605,721,67,139,195,118,225
ArrayAlignedD,96,1,524288,286,565,750,62,180,263,116,244
ArrayAlignedD,96,2,524288,303,598,756,61,102,128,117,225
ArrayAlignedD,96,3,524288,297,524,719,60,87,103,117,211
ArrayUnalignedD,96,0,524288,895,1722,1978,883,1955,2269,116,1031
ArrayUnalignedD,96,1,524288,1054,1591,1939,1117,1717,2094,118,958
ArrayUnalignedD,96,2,524288,779,1441,1742,888,1523,1799,119,856
ArrayUnalignedD,96,3,524288,902,1532,1888,778,1630,2030,119,922
