alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedF,1,0,1398101,95,95,95,73,73,73,3,0
ArrayAlignedF,1,1,1398101,89,89,89,72,72,72,1,0
ArrayAlignedF,1,2,1398101,93,93,93,76,76,76,0,0
ArrayAlignedF,1,3,1398101,88,88,88,72,72,72,0,0
ArrayLockedF,1,0,1398101,64,64,64,57,57,57,0,0
ArrayLockedF,1,1,1398101,63,63,63,57,57,57,0,0
ArrayLockedF,1,2,1398101,63,63,63,57,57,57,0,0
ArrayLockedF,1,3,1398101,63,63,63,57,57,57,0,0
ArrayAtomicF,1,0,1398101,65,65,65,58,58,58,0,0
ArrayAtomicF,1,1,1398101,64,64,64,57,57,57,0,0
ArrayAtomicF,1,2,1398101,64,64,64,57,57,57,0,0
ArrayAtomicF,1,3,1398101,64,64,64,57,57,57,0,0
TableF,1,0,1398101,69,69,69,62,62,62,0,0
TableF,1,1,1398101,67,67,67,61,61,61,0,0
TableF,1,2,1398101,67,67,67,61,61,61,0,0
TableF,1,3,1398101,67,67,67,61,61,61,0,0
ArrayAlignedD,1,0,1398101,92,92,92,2786,2786,2786,6,3
ArrayAlignedD,1,1,1398101,92,92,92,2731,2731,2731,7,3
ArrayAlignedD,1,2,1398101,91,91,91,2802,2802,2802,6,3
ArrayAlignedD,1,3,1398101,91,91,91,2769,2769,2769,7,3
ArrayLockedD,1,0,1398101,68,68,68,2744,2744,2744,7,3
ArrayLockedD,1,1,1398101,67,67,67,2745,2745,2745,6,3
ArrayLockedD,1,2,1398101,67,67,67,2861,2861,2861,6,4
ArrayLockedD,1,3,1398101,61,61,61,2789,2789,2789,6,3
ArrayAtomicD,1,0,1398101,62,62,62,2733,2733,2733,7,3
ArrayAtomicD,1,1,1398101,62,62,62,2759,2759,2759,6,3
ArrayAtomicD,1,2,1398101,63,63,63,2762,2762,2762,6,3
ArrayAtomicD,1,3,1398101,63,63,63,2752,2752,2752,7,3
TableD,1,0,1398101,72,72,72,2754,2754,2754,6,3
TableD,1,1,1398101,71,71,71,2758,2758,2758,6,3
TableD,1,2,1398101,72,72,72,2822,2822,2822,6,3
TableD,1,3,1398101,71,71,71,2773,2773,2773,6,3
ArrayAlignedF,2,0,1398101,91,94,97,75,75,75,7,0
ArrayAlignedF,2,1,1398101,91,91,92,74,74,74,3,0
ArrayAlignedF,2,2,1398101,94,95,97,73,73,74,1,0
ArrayAlignedF,2,3,1398101,96,96,96,73,73,74,1,0
ArrayLockedF,2,0,1398101,74,74,75,70,70,71,1,0
ArrayLockedF,2,1,1398101,73,74,75,70,70,70,1,0
ArrayLockedF,2,2,1398101,71,72,73,70,70,71,1,0
ArrayLockedF,2,3,1398101,73,73,74,69,70,71,1,0
ArrayAtomicF,2,0,1398101,95,96,97,71,71,71,1,0
ArrayAtomicF,2,1,1398101,73,75,77,67,67,67,1,0
ArrayAtomicF,2,2,1398101,69,70,72,70,70,71,1,0
ArrayAtomicF,2,3,1398101,72,73,74,67,67,68,1,0
TableF,2,0,1398101,75,75,75,73,73,74,1,0
TableF,2,1,1398101,76,76,76,72,72,73,1,0
TableF,2,2,1398101,74,75,77,73,73,73,1,0
TableF,2,3,1398101,74,75,76,73,73,74,1,0
ArrayAlignedD,2,0,1398101,97,98,99,3226,5113,7001,13,6
ArrayAlignedD,2,1,1398101,98,99,100,3314,5178,7043,14,6
ArrayAlignedD,2,2,1398101,97,97,97,3130,4991,6852,14,6
ArrayAlignedD,2,3,1398101,98,98,99,3184,5051,6919,14,6
ArrayLockedD,2,0,1398101,74,75,76,3374,5207,7040,14,6
ArrayLockedD,2,1,1398101,76,76,77,3183,5100,7017,14,6
ArrayLockedD,2,2,1398101,75,76,77,3309,5181,7053,14,6
ArrayLockedD,2,3,1398101,77,78,80,3168,5094,7020,14,6
ArrayAtomicD,2,0,1398101,74,74,74,3199,5054,6910,14,6
ArrayAtomicD,2,1,1398101,75,77,80,3211,5134,7058,15,6
ArrayAtomicD,2,2,1398101,77,77,78,3200,5109,7018,14,6
ArrayAtomicD,2,3,1398101,77,77,78,3461,5341,7222,15,7
TableD,2,0,1398101,80,81,82,3255,5201,7147,14,6
TableD,2,1,1398101,82,82,83,3134,5114,7094,15,6
TableD,2,2,1398101,81,82,83,3167,5159,7151,15,6
TableD,2,3,1398101,83,83,83,3262,5314,7366,15,7
ArrayAlignedF,4,0,1398101,94,99,102,74,74,75,24,0
ArrayAlignedF,4,1,1398101,93,96,98,73,73,74,21,0
ArrayAlignedF,4,2,1398101,94,95,98,74,74,75,20,0
ArrayAlignedF,4,3,1398101,96,96,97,73,73,75,18,0
ArrayLockedF,4,0,1398101,72,75,77,84,84,86,18,0
ArrayLockedF,4,1,1398101,75,76,78,87,88,89,17,0
ArrayLockedF,4,2,1398101,72,75,77,91,92,94,17,0
ArrayLockedF,4,3,1398101,73,76,78,91,94,96,17,0
ArrayAtomicF,4,0,1398101,67,70,74,84,85,86,17,0
ArrayAtomicF,4,1,1398101,70,70,70,79,79,80,17,0
ArrayAtomicF,4,2,1398101,70,71,73,84,85,86,17,0
ArrayAtomicF,4,3,1398101,67,70,74,80,80,82,17,0
TableF,4,0,1398101,72,74,77,79,81,83,17,0
TableF,4,1,1398101,74,74,75,84,85,87,17,0
TableF,4,2,1398101,72,73,74,83,83,83,17,0
TableF,4,3,1398101,74,76,80,83,85,87,17,0
ArrayAlignedD,4,0,1398101,93,96,100,10346,11315,12300,28,15
ArrayAlignedD,4,1,1398101,98,98,99,10225,11065,11870,28,15
ArrayAlignedD,4,2,1398101,92,94,98,9877,10995,12077,28,14
ArrayAlignedD,4,3,1398101,93,94,96,9971,11028,11935,28,14
ArrayLockedD,4,0,1398101,69,71,74,10068,11013,11931,28,14
ArrayLockedD,4,1,1398101,72,73,74,10241,11227,12118,28,15
ArrayLockedD,4,2,1398101,71,72,74,10388,11288,12175,28,15
ArrayLockedD,4,3,1398101,71,72,74,10177,11114,12048,28,15
ArrayAtomicD,4,0,1398101,73,74,75,10064,11171,12252,28,14
ArrayAtomicD,4,1,1398101,57,69,75,10863,11662,12415,28,15
ArrayAtomicD,4,2,1398101,46,60,75,9880,10903,11867,28,14
ArrayAtomicD,4,3,1398101,40,57,73,10343,11324,12180,28,15
TableD,4,0,1398101,69,74,79,9730,10925,12068,29,14
TableD,4,1,1398101,56,68,79,9802,10972,12091,28,14
TableD,4,2,1398101,66,70,77,10059,11248,12314,28,14
TableD,4,3,1398101,74,78,86,10283,11260,12219,28,15
ArrayAlignedF,8,0,1398101,80,105,136,64,79,100,42,0
ArrayAlignedF,8,1,1398101,41,81,96,28,62,75,41,0
ArrayAlignedF,8,2,1398101,42,77,96,31,59,74,40,0
ArrayAlignedF,8,3,1398101,46,87,98,28,68,78,40,0
ArrayLockedF,8,0,1398101,81,84,87,97,105,113,41,0
ArrayLockedF,8,1,1398101,45,76,83,33,83,98,41,0
ArrayLockedF,8,2,1398101,61,79,84,103,113,127,40,0
ArrayLockedF,8,3,1398101,48,77,84,55,94,106,40,0
ArrayAtomicF,8,0,1398101,35,65,72,33,76,88,40,0
ArrayAtomicF,8,1,1398101,32,65,76,26,76,85,40,0
ArrayAtomicF,8,2,1398101,70,71,72,90,97,105,39,0
ArrayAtomicF,8,3,1398101,67,71,75,86,89,98,39,0
TableF,8,0,1398101,70,84,92,85,94,100,38,0
TableF,8,1,1398101,45,70,77,44,85,96,40,0
TableF,8,2,1398101,44,70,78,49,84,95,40,0
TableF,8,3,1398101,42,70,78,40,85,96,40,0
ArrayAlignedD,8,0,1398101,45,88,98,22620,24565,27676,60,33
ArrayAlignedD,8,1,1398101,45,88,98,22399,24262,27138,58,32
ArrayAlignedD,8,2,1398101,46,89,99,22747,24579,27455,57,33
ArrayAlignedD,8,3,1398101,46,84,97,22553,24310,27253,58,33
ArrayLockedD,8,0,1398101,42,74,126,22565,24410,27426,56,33
ArrayLockedD,8,1,1398101,41,68,74,22580,25000,27461,57,33
ArrayLockedD,8,2,1398101,71,74,77,23038,25437,27919,57,34
ArrayLockedD,8,3,1398101,69,72,77,22996,25410,27852,57,34
ArrayAtomicD,8,0,1398101,61,71,80,22307,24916,27482,57,33
ArrayAtomicD,8,1,1398101,68,70,72,22308,24904,27509,57,33
ArrayAtomicD,8,2,1398101,57,67,74,22373,24951,27429,58,33
ArrayAtomicD,8,3,1398101,66,70,73,22651,24936,27270,57,33
TableD,8,0,1398101,63,74,78,23748,25897,28150,57,35
TableD,8,1,1398101,44,65,78,22416,24912,27337,58,33
TableD,8,2,1398101,46,67,81,23476,25710,28020,57,35
TableD,8,3,1398101,74,77,82,23652,25728,28031,57,34
ArrayAlignedF,16,0,1398101,54,93,103,42,70,80,80,0
ArrayAlignedF,16,1,1398101,94,97,100,72,73,77,83,0
ArrayAlignedF,16,2,1398101,95,101,146,73,76,95,81,0
ArrayAlignedF,16,3,1398101,52,91,98,39,72,78,83,0
ArrayLockedF,16,0,1398101,87,101,108,111,123,139,82,0
ArrayLockedF,16,1,1398101,111,120,128,99,124,142,81,0
ArrayLockedF,16,2,1398101,98,104,111,176,194,206,80,0
ArrayLockedF,16,3,1398101,97,103,110,89,121,132,81,0
ArrayAtomicF,16,0,1398101,66,70,75,90,118,136,81,0
ArrayAtomicF,16,1,1398101,66,70,73,67,101,110,80,0
ArrayAtomicF,16,2,1398101,68,70,77,74,103,121,80,0
ArrayAtomicF,16,3,1398101,67,70,75,63,105,123,80,0
TableF,16,0,1398101,71,74,76,111,119,130,80,0
TableF,16,1,1398101,71,73,78,92,104,110,80,0
TableF,16,2,1398101,71,74,83,90,101,107,80,0
TableF,16,3,1398101,70,74,77,65,103,113,80,0
ArrayAlignedD,16,0,1398101,93,97,102,71198,77669,83730,112,105
ArrayAlignedD,16,1,1398101,98,107,118,70067,76485,82593,112,104
ArrayAlignedD,16,2,1398101,99,102,108,72225,78735,84667,114,107
ArrayAlignedD,16,3,1398101,91,93,98,69779,77088,83478,112,105
ArrayLockedD,16,0,1398101,38,69,79,71151,78149,84643,117,106
ArrayLockedD,16,1,1398101,45,69,74,72375,79728,85762,112,108
ArrayLockedD,16,2,1398101,68,71,77,71626,77469,83628,112,105
ArrayLockedD,16,3,1398101,41,67,77,73900,79785,85911,113,108
ArrayAtomicD,16,0,1398101,69,71,75,74699,81225,86823,112,110
ArrayAtomicD,16,1,1398101,69,71,75,71087,77819,83895,113,105
ArrayAtomicD,16,2,1398101,69,73,77,72825,78849,84757,112,107
ArrayAtomicD,16,3,1398101,39,70,75,71621,77999,84358,113,106
TableD,16,0,1398101,41,74,79,72456,78426,85050,114,106
TableD,16,1,1398101,43,73,79,74046,80212,86505,114,109
TableD,16,2,1398101,43,68,80,77039,82865,89344,114,113
TableD,16,3,1398101,50,72,79,72062,77624,83737,114,105
ArrayAlignedF,24,0,1398101,57,93,107,33,71,79,121,0
ArrayAlignedF,24,1,1398101,67,104,133,32,72,80,123,0
ArrayAlignedF,24,2,1398101,50,93,102,30,72,81,124,0
ArrayAlignedF,24,3,1398101,63,97,106,30,72,80,124,0
ArrayLockedF,24,0,1398101,80,125,137,104,140,163,123,0
ArrayLockedF,24,1,1398101,76,120,134,60,122,145,123,0
ArrayLockedF,24,2,1398101,77,118,131,70,128,154,123,0
ArrayLockedF,24,3,1398101,75,119,132,70,133,147,124,0
ArrayAtomicF,24,0,1398101,38,68,75,33,97,120,124,0
ArrayAtomicF,24,1,1398101,41,68,75,38,85,108,123,0
ArrayAtomicF,24,2,1398101,39,69,74,40,101,123,124,0
ArrayAtomicF,24,3,1398101,34,76,97,19,94,111,122,0
TableF,24,0,1398101,32,73,77,22,99,117,124,0
TableF,24,1,1398101,30,72,77,22,95,121,124,0
TableF,24,2,1398101,28,73,79,22,94,117,124,0
TableF,24,3,1398101,30,73,79,22,88,112,123,0
ArrayAlignedD,24,0,1398101,39,101,118,146062,154721,163226,175,211
ArrayAlignedD,24,1,1398101,70,101,112,140293,152091,159851,170,207
ArrayAlignedD,24,2,1398101,95,101,109,136912,147092,155935,173,200
ArrayAlignedD,24,3,1398101,80,99,107,143227,154335,162502,171,210
ArrayLockedD,24,0,1398101,45,72,78,134659,146092,155289,170,199
ArrayLockedD,24,1,1398101,29,70,75,136496,147284,156397,171,201
ArrayLockedD,24,2,1398101,29,69,79,144401,153275,161376,171,209
ArrayLockedD,24,3,1398101,36,67,75,142000,151838,160624,170,207
ArrayAtomicD,24,0,1398101,52,70,75,130659,140708,150137,169,191
ArrayAtomicD,24,1,1398101,67,71,75,141396,151618,159999,169,206
ArrayAtomicD,24,2,1398101,59,70,77,135615,146803,156118,170,200
ArrayAtomicD,24,3,1398101,68,72,77,136258,146195,155468,172,199
TableD,24,0,1398101,51,70,79,134182,143820,153134,172,196
TableD,24,1,1398101,60,75,80,132257,143040,152287,171,195
TableD,24,2,1398101,57,76,80,137660,147008,155926,171,200
TableD,24,3,1398101,59,76,84,133683,144911,153824,171,197
ArrayAlignedF,32,0,1398101,91,95,106,72,81,94,165,0
ArrayAlignedF,32,1,1398101,62,100,135,35,73,92,166,0
ArrayAlignedF,32,2,1398101,56,92,97,34,72,79,164,0
ArrayAlignedF,32,3,1398101,57,92,99,32,73,84,164,0
ArrayLockedF,32,0,1398101,120,146,161,53,121,156,165,0
ArrayLockedF,32,1,1398101,47,139,153,26,151,207,162,0
ArrayLockedF,32,2,1398101,48,143,160,27,141,162,163,0
ArrayLockedF,32,3,1398101,43,141,160,21,136,166,163,0
ArrayAtomicF,32,0,1398101,41,68,73,59,111,148,165,0
ArrayAtomicF,32,1,1398101,41,69,74,52,116,153,164,0
ArrayAtomicF,32,2,1398101,40,69,74,49,113,149,164,0
ArrayAtomicF,32,3,1398101,40,69,73,42,112,156,164,0
TableF,32,0,1398101,50,78,95,67,111,154,165,0
TableF,32,1,1398101,31,74,98,23,108,142,164,0
TableF,32,2,1398101,44,74,79,71,122,161,165,0
TableF,32,3,1398101,33,74,79,26,112,148,165,0
ArrayAlignedD,32,0,1398101,38,94,100,195731,210608,223601,232,287
ArrayAlignedD,32,1,1398101,72,93,100,190489,206843,220777,224,282
ArrayAlignedD,32,2,1398101,79,104,113,187411,204076,217085,227,278
ArrayAlignedD,32,3,1398101,89,102,144,188529,202789,216066,230,276
ArrayLockedD,32,0,1398101,58,73,79,198522,212281,224488,228,289
ArrayLockedD,32,1,1398101,58,74,81,201508,216014,228420,228,295
ArrayLockedD,32,2,1398101,68,72,77,190916,209051,221228,227,285
ArrayLockedD,32,3,1398101,50,72,87,192394,208015,220390,228,283
ArrayAtomicD,32,0,1398101,47,66,74,193185,210875,223962,229,288
ArrayAtomicD,32,1,1398101,41,69,76,202699,216398,227671,227,295
ArrayAtomicD,32,2,1398101,68,72,76,202379,218026,229691,228,297
ArrayAtomicD,32,3,1398101,47,67,75,195957,212302,225311,228,289
TableD,32,0,1398101,75,80,92,194699,221186,234297,229,301
TableD,32,1,1398101,73,77,82,186505,201461,214614,227,274
TableD,32,2,1398101,60,75,80,188657,206096,219647,226,281
TableD,32,3,1398101,75,77,81,186686,203196,216450,225,277
ArrayAlignedF,40,0,1398101,41,92,104,28,71,81,205,0
ArrayAlignedF,40,1,1398101,37,91,99,26,72,80,206,0
ArrayAlignedF,40,2,1398101,46,97,106,27,81,102,205,0
ArrayAlignedF,40,3,1398101,38,91,97,25,72,80,206,0
ArrayLockedF,40,0,1398101,44,166,179,28,150,183,205,0
ArrayLockedF,40,1,1398101,37,169,185,29,153,181,205,0
ArrayLockedF,40,2,1398101,78,171,189,31,152,191,205,0
ArrayLockedF,40,3,1398101,83,165,181,31,152,176,205,0
ArrayAtomicF,40,0,1398101,31,70,97,21,104,142,204,0
ArrayAtomicF,40,1,1398101,30,69,76,23,84,107,203,0
ArrayAtomicF,40,2,1398101,24,69,110,21,76,113,205,0
ArrayAtomicF,40,3,1398101,29,68,74,24,81,108,204,0
TableF,40,0,1398101,31,91,99,29,122,177,203,0
TableF,40,1,1398101,29,73,79,27,122,175,202,0
TableF,40,2,1398101,30,74,82,27,121,176,202,0
TableF,40,3,1398101,31,73,78,27,120,173,202,0
ArrayAlignedD,40,0,1398101,34,100,111,241095,262694,279447,281,359
ArrayAlignedD,40,1,1398101,33,99,108,230980,253866,271904,280,346
ArrayAlignedD,40,2,1398101,33,96,105,240090,259049,276128,282,353
ArrayAlignedD,40,3,1398101,33,97,110,242022,262562,279059,279,358
ArrayLockedD,40,0,1398101,26,95,107,242889,264557,281559,279,361
ArrayLockedD,40,1,1398101,28,100,110,238796,257672,274515,283,351
ArrayLockedD,40,2,1398101,28,110,122,233195,260377,277704,280,355
ArrayLockedD,40,3,1398101,25,84,130,240071,260910,278620,280,356
ArrayAtomicD,40,0,1398101,25,69,78,241043,263360,280989,280,359
ArrayAtomicD,40,1,1398101,26,71,76,243082,262250,279247,278,358
ArrayAtomicD,40,2,1398101,26,70,78,236140,261394,279176,280,357
ArrayAtomicD,40,3,1398101,25,71,80,229128,257090,275170,280,351
TableD,40,0,1398101,27,74,82,242027,264808,281384,282,361
TableD,40,1,1398101,27,76,81,241295,265006,282021,280,361
TableD,40,2,1398101,28,74,85,242702,261796,278243,280,357
TableD,40,3,1398101,25,73,81,241316,262440,278939,281,358
ArrayAlignedF,48,0,1398101,41,94,106,28,73,83,244,0
ArrayAlignedF,48,1,1398101,42,96,106,27,73,81,244,0
ArrayAlignedF,48,2,1398101,41,92,98,27,73,81,242,0
ArrayAlignedF,48,3,1398101,42,97,104,27,72,82,244,0
ArrayLockedF,48,0,1398101,50,227,252,35,187,218,247,0
ArrayLockedF,48,1,1398101,113,197,216,36,171,208,246,0
ArrayLockedF,48,2,1398101,75,196,217,31,176,203,245,0
ArrayLockedF,48,3,1398101,66,201,228,38,166,204,245,0
ArrayAtomicF,48,0,1398101,30,68,74,25,99,146,248,0
ArrayAtomicF,48,1,1398101,31,70,77,23,107,134,245,0
ArrayAtomicF,48,2,1398101,29,69,76,24,85,112,246,0
ArrayAtomicF,48,3,1398101,30,69,75,24,97,145,246,0
TableF,48,0,1398101,34,74,79,29,134,208,245,0
TableF,48,1,1398101,31,74,81,28,122,195,245,0
TableF,48,2,1398101,36,74,82,60,127,198,245,0
TableF,48,3,1398101,33,74,79,26,134,214,245,0
ArrayAlignedD,48,0,1398101,39,107,120,267553,297674,322237,340,407
ArrayAlignedD,48,1,1398101,35,98,108,268258,300840,324138,339,411
ArrayAlignedD,48,2,1398101,35,92,100,271301,301663,325715,337,412
