alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedF,1,0,524288,100,100,100,78,78,78,0,0
ArrayAlignedF,1,1,524288,97,97,97,77,77,77,0,0
ArrayAlignedF,1,2,524288,96,96,96,78,78,78,0,0
ArrayAlignedF,1,3,524288,94,94,94,77,77,77,0,0
ArrayLockedF,1,0,524288,71,71,71,61,61,61,0,0
ArrayLockedF,1,1,524288,68,68,68,60,60,60,0,0
ArrayLockedF,1,2,524288,70,70,70,60,60,60,0,0
ArrayLockedF,1,3,524288,67,67,67,60,60,60,0,0
ArrayAtomicF,1,0,524288,72,72,72,60,60,60,0,0
ArrayAtomicF,1,1,524288,69,69,69,60,60,60,0,0
ArrayAtomicF,1,2,524288,72,72,72,61,61,61,0,0
ArrayAtomicF,1,3,524288,69,69,69,60,60,60,0,0
TableF,1,0,524288,75,75,75,63,63,63,0,0
TableF,1,1,524288,73,73,73,62,62,62,0,0
TableF,1,2,524288,72,72,72,63,63,63,0,0
TableF,1,3,524288,71,71,71,62,62,62,0,0
ArrayAlignedD,1,0,524288,98,98,98,1575,1575,1575,0,0
ArrayAlignedD,1,1,524288,96,96,96,1472,1472,1472,1,0
ArrayAlignedD,1,2,524288,97,97,97,1435,1435,1435,0,0
ArrayAlignedD,1,3,524288,96,96,96,1376,1376,1376,1,0
ArrayLockedD,1,0,524288,76,76,76,1399,1399,1399,0,0
ArrayLockedD,1,1,524288,77,77,77,1388,1388,1388,0,0
ArrayLockedD,1,2,524288,76,76,76,1387,1387,1387,0,0
ArrayLockedD,1,3,524288,77,77,77,1399,1399,1399,0,0
ArrayAtomicD,1,0,524288,74,74,74,1386,1386,1386,0,0
ArrayAtomicD,1,1,524288,74,74,74,1422,1422,1422,1,0
ArrayAtomicD,1,2,524288,74,74,74,1423,1423,1423,1,0
ArrayAtomicD,1,3,524288,75,75,75,1395,1395,1395,0,0
TableD,1,0,524288,79,79,79,1460,1460,1460,1,0
TableD,1,1,524288,79,79,79,1428,1428,1428,0,0
TableD,1,2,524288,76,76,76,1483,1483,1483,0,0
TableD,1,3,524288,79,79,79,1423,1423,1423,0,0
ArrayAlignedF,2,0,524288,97,97,97,77,78,80,1,0
ArrayAlignedF,2,1,524288,98,99,101,77,86,96,0,0
ArrayAlignedF,2,2,524288,94,104,115,69,73,77,0,0
ArrayAlignedF,2,3,524288,98,99,101,76,76,77,0,0
ArrayLockedF,2,0,524288,76,76,76,62,63,64,0,0
ArrayLockedF,2,1,524288,73,75,77,62,62,62,0,0
ArrayLockedF,2,2,524288,70,70,71,61,61,62,0,0
ArrayLockedF,2,3,524288,74,74,74,62,62,63,0,0
ArrayAtomicF,2,0,524288,77,77,77,62,62,63,0,0
ArrayAtomicF,2,1,524288,74,74,75,61,61,62,0,0
ArrayAtomicF,2,2,524288,73,74,76,62,62,63,0,0
ArrayAtomicF,2,3,524288,74,74,74,61,62,63,0,0
TableF,2,0,524288,79,79,80,65,65,65,0,0
TableF,2,1,524288,77,77,78,64,64,65,0,0
TableF,2,2,524288,76,76,77,65,65,65,0,0
