alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedF,0,0,2621440,38,38,39,38,45,53,181,22
ArrayAlignedF,0,1,2621440,40,41,43,38,38,40,179,21
ArrayAlignedF,0,2,2621440,38,38,41,37,37,42,178,20
ArrayAlignedF,0,3,2621440,37,38,40,38,38,44,180,20
ArrayLockedF,0,0,2621440,32,33,34,31,38,45,179,19
ArrayLockedF,0,1,2621440,32,32,32,31,35,42,180,17
ArrayLockedF,0,2,2621440,32,32,34,30,34,40,180,17
ArrayLockedF,0,3,2621440,32,32,33,31,36,43,181,18
ArrayAtomicF,0,0,2621440,32,32,33,31,35,42,179,17
ArrayAtomicF,0,1,2621440,31,32,33,31,36,43,179,18
ArrayAtomicF,0,2,2621440,31,31,32,32,33,38,180,17
ArrayAtomicF,0,3,2621440,32,33,34,32,35,43,178,18
TableF,0,0,2621440,32,37,44,33,38,45,180,21
TableF,0,1,2621440,31,32,33,33,33,35,177,17
TableF,0,2,2621440,31,32,34,33,34,36,178,17
TableF,0,3,2621440,31,31,32,33,33,35,177,17
ArrayAlignedD,0,0,2621440,93,130,147,32,36,43,155,48
ArrayAlignedD,0,1,2621440,79,107,131,33,34,37,155,43
ArrayAlignedD,0,2,2621440,98,132,149,31,34,40,154,47
ArrayAlignedD,0,3,2621440,80,108,132,34,35,41,154,43
ArrayLockedD,0,0,2621440,105,138,162,27,29,44,156,50
ArrayLockedD,0,1,2621440,91,108,128,27,29,34,156,41
ArrayLockedD,0,2,2621440,63,96,116,27,31,42,154,38
ArrayLockedD,0,3,2621440,95,110,130,27,30,38,156,42
ArrayAtomicD,0,0,2621440,104,133,163,27,33,40,154,51
ArrayAtomicD,0,1,2621440,74,130,156,27,31,55,154,49
ArrayAtomicD,0,2,2621440,108,127,152,27,30,35,156,47
ArrayAtomicD,0,3,2621440,95,134,158,27,33,46,153,50
TableD,0,0,2621440,98,121,144,29,32,40,155,46
TableD,0,1,2621440,87,103,124,29,30,32,156,40
TableD,0,2,2621440,102,117,141,29,31,38,154,44
TableD,0,3,2621440,106,122,136,28,29,33,155,43
ListLocal,0,0,2621440,311,331,350,435,457,474,3656,212
ListLocal,0,1,2621440,305,329,350,432,453,475,3469,210
ListLocal,0,2,2621440,308,330,350,437,456,469,3645,211
ListLocal,0,3,2621440,308,329,350,434,454,485,3650,211
ArrayAlignedF,10,0,2621440,38,38,38,37,37,38,183,20
ArrayAlignedF,10,1,2621440,38,38,39,38,38,44,179,20
ArrayAlignedF,10,2,2621440,38,43,50,37,38,40,180,23
ArrayAlignedF,10,3,2621440,38,38,39,38,38,44,181,20
ArrayLockedF,10,0,2621440,31,31,32,32,37,42,179,18
ArrayLockedF,10,1,2621440,31,31,32,34,34,37,180,17
ArrayLockedF,10,2,2621440,31,33,44,31,32,38,181,20
ArrayLockedF,10,3,2621440,32,35,43,31,34,41,179,20
ArrayAtomicF,10,0,2621440,32,41,51,31,34,38,179,21
ArrayAtomicF,10,1,2621440,32,32,34,31,36,43,180,18
ArrayAtomicF,10,2,2621440,32,36,50,31,44,57,180,24
ArrayAtomicF,10,3,2621440,31,35,49,33,37,42,179,23
TableF,10,0,2621440,31,33,45,33,33,34,179,21
TableF,10,1,2621440,30,32,33,34,34,35,178,17
TableF,10,2,2621440,30,33,43,33,34,35,180,20
TableF,10,3,2621440,32,38,46,33,34,36,179,21
ArrayAlignedD,10,0,2621440,110,126,149,33,36,42,155,48
ArrayAlignedD,10,1,2621440,108,123,148,32,33,39,155,47
ArrayAlignedD,10,2,2621440,102,121,144,32,35,42,154,46
ArrayAlignedD,10,3,2621440,99,124,149,32,35,43,154,48
