alloc,x,iteration,pages,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total
ArrayAlignedF,1,0,524288,110,110,110,110,110,110,0,29
ArrayAlignedF,1,1,524288,105,105,105,105,105,105,0,27
ArrayAlignedF,1,2,524288,104,104,104,104,104,104,0,27
ArrayAlignedF,1,3,524288,103,103,103,103,103,103,0,27
ArrayLockedF,1,0,524288,404,404,404,404,404,404,0,105
ArrayLockedF,1,1,524288,406,406,406,406,406,406,0,106
ArrayLockedF,1,2,524288,404,404,404,404,404,404,0,105
ArrayLockedF,1,3,524288,406,406,406,406,406,406,0,106
ArrayAtomicF,1,0,524288,405,405,405,405,405,405,0,106
ArrayAtomicF,1,1,524288,406,406,406,406,406,406,0,106
ArrayAtomicF,1,2,524288,405,405,405,405,405,405,0,106
ArrayAtomicF,1,3,524288,406,406,406,406,406,406,0,106
TableF,1,0,524288,406,406,406,406,406,406,0,106
TableF,1,1,524288,404,404,404,404,404,404,0,105
TableF,1,2,524288,406,406,406,406,406,406,0,106
TableF,1,3,524288,404,404,404,404,404,404,0,105
ArrayAlignedD,1,0,524288,119,119,119,119,119,119,1,31
ArrayAlignedD,1,1,524288,109,109,109,109,109,109,0,28
ArrayAlignedD,1,2,524288,109,109,109,109,109,109,0,28
ArrayAlignedD,1,3,524288,109,109,109,109,109,109,0,28
ArrayLockedD,1,0,524288,486,486,486,486,486,486,0,127
ArrayLockedD,1,1,524288,489,489,489,489,489,489,1,128
ArrayLockedD,1,2,524288,489,489,489,489,489,489,1,128
ArrayLockedD,1,3,524288,495,495,495,495,495,495,1,129
ArrayAtomicD,1,0,524288,490,490,490,490,490,490,1,128
ArrayAtomicD,1,1,524288,488,488,488,488,488,488,1,128
ArrayAtomicD,1,2,524288,490,490,490,490,490,490,1,128
ArrayAtomicD,1,3,524288,491,491,491,491,491,491,1,128
TableD,1,0,524288,489,489,489,489,489,489,1,128
TableD,1,1,524288,489,489,489,489,489,489,1,128
TableD,1,2,524288,489,489,489,489,489,489,1,128
TableD,1,3,524288,489,489,489,489,489,489,1,128
ArrayAlignedP,1,0,524288,83,83,83,83,83,83,0,21
ArrayAlignedP,1,1,524288,80,80,80,80,80,80,0,21
ArrayAlignedP,1,2,524288,80,80,80,80,80,80,0,21
ArrayAlignedP,1,3,524288,80,80,80,80,80,80,0,21
ArrayLockedP,1,0,524288,91,91,91,91,91,91,0,23
ArrayLockedP,1,1,524288,91,91,91,91,91,91,0,23
ArrayLockedP,1,2,524288,92,92,92,92,92,92,0,24
ArrayLockedP,1,3,524288,91,91,91,91,91,91,0,23
ArrayAtomicP,1,0,524288,91,91,91,91,91,91,0,23
ArrayAtomicP,1,1,524288,91,91,91,91,91,91,0,23
ArrayAtomicP,1,2,524288,91,91,91,91,91,91,0,23
ArrayAtomicP,1,3,524288,91,91,91,91,91,91,0,23
TableP,1,0,524288,90,90,90,90,90,90,0,23
TableP,1,1,524288,91,91,91,91,91,91,0,24
TableP,1,2,524288,90,90,90,90,90,90,0,23
TableP,1,3,524288,90,90,90,90,90,90,0,23
ListLocal,1,0,524288,55,55,55,55,55,55,20,14
ListLocal,1,1,524288,51,51,51,51,51,51,20,13
ListLocal,1,2,524288,51,51,51,51,51,51,20,13
ListLocal,1,3,524288,51,51,51,51,51,51,20,13
ArrayAlignedF,2,0,524288,148,564,980,148,564,980,1,147
ArrayAlignedF,2,1,524288,109,547,986,109,547,986,1,143
